settlement_ru,district_ru,street_ru,housenumber,current_zone,central_km,bam_km,current_expected_km,in_city_km,outside_city_km,crosses_boundary,reenters_city,first_exit_lonlat,eq_km_A,recalculated_zone_A,qa_flag
Парканы,Парканы,Комсомольская улица,3,2,3.6279,4.3592,3.664,1.597,2.0243,True,False,"[29.491402, 46.832239]",5.0802,2,
Парканы,Парканы,Комсомольская улица,4,2,3.6233,4.3546,3.659,1.597,2.0197,True,False,"[29.491402, 46.832239]",5.0726,2,
Парканы,Парканы,Комсомольская улица,5,2,3.6472,4.3785,3.683,1.597,2.0436,True,False,"[29.491402, 46.832239]",5.1124,2,
Парканы,Парканы,Комсомольская улица,6,2,3.6467,4.378,3.682,1.597,2.0431,True,False,"[29.491402, 46.832239]",5.1116,2,
Парканы,Парканы,Комсомольская улица,7,2,3.6704,4.4017,3.706,1.597,2.0668,True,False,"[29.491402, 46.832239]",5.1511,2,
Парканы,Парканы,Комсомольская улица,8,2,3.6683,4.3995,3.703,1.597,2.0646,True,False,"[29.491402, 46.832239]",5.1474,2,
Парканы,Парканы,Комсомольская улица,9,2,3.6953,4.4266,3.731,1.597,2.0917,True,False,"[29.491402, 46.832239]",5.1926,2,
Парканы,Парканы,Комсомольская улица,10,2,3.6862,4.4175,3.722,1.597,2.0826,True,False,"[29.491402, 46.832239]",5.1774,2,
Парканы,Парканы,Комсомольская улица,11,2,3.7131,4.4444,3.749,1.597,2.1095,True,False,"[29.491402, 46.832239]",5.2222,2,
Парканы,Парканы,Комсомольская улица,12,2,3.7039,4.4352,3.739,1.597,2.1003,True,False,"[29.491402, 46.832239]",5.2069,2,
Парканы,Парканы,Комсомольская улица,13,2,3.7323,4.4636,3.767,1.597,2.1287,True,False,"[29.491402, 46.832239]",5.2542,2,
Парканы,Парканы,Комсомольская улица,14,2,3.7194,4.4507,3.755,1.597,2.1158,True,False,"[29.491402, 46.832239]",5.2327,2,
Парканы,Парканы,Комсомольская улица,15,2,3.7528,4.4841,3.788,1.597,2.1492,True,False,"[29.491402, 46.832239]",5.2884,2,
