settlement_ru,district_ru,street_ru,housenumber,current_zone,central_km,bam_km,current_expected_km,in_city_km,outside_city_km,crosses_boundary,reenters_city,first_exit_lonlat,eq_km_A,recalculated_zone_A,qa_flag
Бендеры,Борисовка,Бельцкая улица,9,3,4.5702,1.2351,4.159,4.5641,0.0,False,False,,4.0643,2,zone_move_3->2
Бендеры,Борисовка,Бельцкая улица,10,3,4.7498,1.4147,4.339,4.7432,0.0,False,False,,4.2434,2,zone_move_3->2
Бендеры,Борисовка,Бельцкая улица,11,3,4.6003,1.2652,4.19,4.5942,0.0,False,False,,4.0944,2,zone_move_3->2
Бендеры,Борисовка,Бельцкая улица,13,3,4.6262,1.2911,4.216,4.6199,0.0,False,False,,4.1201,2,zone_move_3->2
Бендеры,Борисовка,Бельцкая улица,14,3,4.8015,1.4664,4.39,4.7947,0.0,False,False,,4.2949,2,zone_move_3->2
Бендеры,Борисовка,Бельцкая улица,15,3,4.6437,1.3086,4.233,4.6374,0.0,False,False,,4.1376,2,zone_move_3->2
Бендеры,Борисовка,Бельцкая улица,16,2,4.0303,0.6952,3.619,4.0257,0.0,False,False,,3.5259,2,
Бендеры,Борисовка,Бельцкая улица,17,3,4.6628,1.3277,4.252,4.6565,0.0,False,False,,4.1567,2,zone_move_3->2
Бендеры,Борисовка,Бельцкая улица,18,2,4.0511,0.716,3.64,4.0465,0.0,False,False,,3.5467,2,
Бендеры,Борисовка,Бельцкая улица,19,3,4.6773,1.3422,4.267,4.6709,0.0,False,False,,4.1711,2,zone_move_3->2
Бендеры,Борисовка,Бельцкая улица,20,2,4.0701,0.735,3.66,4.0654,0.0,False,False,,3.5656,2,
Бендеры,Борисовка,Бельцкая улица,21,3,4.699,1.3639,4.288,4.6925,0.0,False,False,,4.1927,2,zone_move_3->2
Бендеры,Борисовка,Бельцкая улица,22,2,4.0881,0.753,3.678,4.0835,0.0,False,False,,3.5837,2,
Бендеры,Борисовка,Бельцкая улица,23,3,4.7248,1.3897,4.314,4.7182,0.0,False,False,,4.2184,2,zone_move_3->2
Бендеры,Борисовка,Бельцкая улица,24,2,4.1121,0.777,3.701,4.1073,0.0,False,False,,3.6075,2,
Бендеры,Борисовка,Бельцкая улица,25,3,4.7437,1.4086,4.332,4.7371,0.0,False,False,,4.2373,2,zone_move_3->2
Бендеры,Борисовка,Бельцкая улица,26,2,4.1307,0.7956,3.72,4.1259,0.0,False,False,,3.6261,2,
Бендеры,Борисовка,Бельцкая улица,27,3,4.8016,1.4665,4.391,4.7948,0.0,False,False,,4.295,2,zone_move_3->2
Бендеры,Борисовка,Бельцкая улица,28,2,4.1479,0.8127,3.737,4.143,0.0,False,False,,3.6432,2,
Бендеры,Борисовка,Бельцкая улица,29,4,6.664,1.3149,5.951,6.6609,0.0,False,False,,5.8586,2,zone_move_4->2
Бендеры,Борисовка,Бельцкая улица,33,2,4.0376,0.7025,3.626,4.033,0.0,False,False,,3.5332,2,
Бендеры,Борисовка,Бельцкая улица,33б,2,4.3743,1.0392,3.964,4.3686,0.0,False,False,,3.8688,2,
Бендеры,Борисовка,Бельцкая улица,34,3,4.6062,1.2711,4.195,4.6,0.0,False,False,,4.1002,2,zone_move_3->2
Бендеры,Борисовка,Бельцкая улица,35,2,4.0594,0.7243,3.648,4.0548,0.0,False,False,,3.555,2,
Бендеры,Борисовка,Бельцкая улица,36/36а,2,3.5915,0.2564,3.181,3.5879,0.0,False,False,,3.0881,1,zone_move_2->1
Бендеры,Борисовка,Бельцкая улица,37,2,4.084,0.7489,3.673,4.0794,0.0,False,False,,3.5796,2,
Бендеры,Борисовка,Бельцкая улица,41,2,4.1116,0.7765,3.701,4.1069,0.0,False,False,,3.6071,2,
Бендеры,Борисовка,Бельцкая улица,43,2,4.1371,0.802,3.726,4.1323,0.0,False,False,,3.6325,2,
Бендеры,Борисовка,Бельцкая улица,45,2,4.1568,0.8217,3.746,4.1519,0.0,False,False,,3.6521,2,
Бендеры,Борисовка,Бельцкая улица,49,2,4.1936,0.8585,3.782,4.1887,0.0,False,False,,3.6889,2,
Бендеры,Борисовка,Бельцкая улица,51,2,4.2129,0.8778,3.802,4.2079,0.0,False,False,,3.7081,2,
