uid,settlement_ru,district,street_ru,housenumber,current_zone,snap_distance_m,central_A_duration_min,central_B_distance_km,central_C_generalized_km,central_D_time_value,central_shortest_distance_km,central_segment_status,central_segment_flags,bam_B_distance_km,outer_B_distance_km
w317055539,Бендеры,Борисовка,Безымянный переулок,44,3,18.3,6.18,6.0384,6.0355,9.129,5.0822,OK,,1.7471,3.5368
w209273643,Бендеры,Борисовка,Безымянный переулок,46,3,19.6,6.16,6.0149,6.012,9.095,5.1057,OK,,1.7706,3.5602
w209273632,Бендеры,Борисовка,Безымянный переулок,48,3,15.5,6.34,6.0317,6.0287,9.203,5.1936,OK,,1.8585,3.6481
w209273614,Бендеры,Борисовка,Безымянный переулок,50в,3,14.2,6.65,6.0608,6.0576,9.387,5.2548,OWNER_REVIEW_ROUTE,segment_highway_service,1.9197,3.7093
w318090595,Бендеры,Борисовка,Безымянный переулок,63,4,21.8,6.6,6.1368,6.1335,9.435,5.2987,OK,,1.9636,3.7532
w319139357,Бендеры,Борисовка,Бельцкая улица,1,3,17.3,6.75,4.4878,4.4819,7.864,4.4878,OWNER_REVIEW_ROUTE,segment_highway_service,1.1526,2.9423
w318185745,Бендеры,Борисовка,Бельцкая улица,2,3,12.4,6.83,4.5514,4.5454,7.966,4.5514,OWNER_REVIEW_ROUTE,segment_highway_service,1.2163,3.0059
n4580309456,Бендеры,Борисовка,Бельцкая улица,3,3,23.2,6.77,4.5049,4.499,7.891,4.5049,OWNER_REVIEW_ROUTE,segment_highway_service,1.1698,2.9594
w318058451,Бендеры,Борисовка,Бельцкая улица,4,3,12.1,6.94,4.6361,4.6298,8.104,4.6361,OWNER_REVIEW_ROUTE,segment_highway_service,1.301,3.0906
w319139352,Бендеры,Борисовка,Бельцкая улица,5,3,35.8,6.79,4.5176,4.5117,7.912,4.5176,OWNER_REVIEW_ROUTE,segment_highway_service,1.1825,2.9721
w319139353,Бендеры,Борисовка,Бельцкая улица,7,3,21.3,6.82,4.5445,4.5385,7.955,4.5445,OWNER_REVIEW_ROUTE,segment_highway_service,1.2094,2.999
w318058455,Бендеры,Борисовка,Бельцкая улица,8,3,13.0,6.96,4.6551,4.6488,8.135,4.6551,OWNER_REVIEW_ROUTE,segment_highway_service,1.32,3.1096
w319139349,Бендеры,Борисовка,Бельцкая улица,9,3,32.4,6.85,4.5702,4.5641,7.997,4.5702,OWNER_REVIEW_ROUTE,segment_highway_service,1.2351,3.0247
n2325366580,Бендеры,Борисовка,Бельцкая улица,10,3,17.2,7.08,4.7498,4.7432,8.29,4.7498,OWNER_REVIEW_ROUTE,segment_highway_service,1.4147,3.2043
w319139344,Бендеры,Борисовка,Бельцкая улица,11,3,36.5,6.89,4.6003,4.5942,8.046,4.6003,OWNER_REVIEW_ROUTE,segment_highway_service,1.2652,3.0549
w319135683,Бендеры,Борисовка,Бельцкая улица,13,3,17.4,6.92,4.6262,4.6199,8.088,4.6262,OWNER_REVIEW_ROUTE,segment_highway_service,1.2911,3.0807
w532689734,Бендеры,Борисовка,Бельцкая улица,14,3,9.7,7.14,4.8015,4.7947,8.373,4.8015,OWNER_REVIEW_ROUTE,segment_highway_service,1.4664,3.256
w319139342,Бендеры,Борисовка,Бельцкая улица,15,3,17.6,6.94,4.6437,4.6374,8.116,4.6437,OWNER_REVIEW_ROUTE,segment_highway_service,1.3086,3.0983
w306219486,Бендеры,Борисовка,Бельцкая улица,16,2,15.5,6.11,4.0303,4.0257,7.088,4.0303,OWNER_REVIEW_ROUTE,segment_highway_service,0.6952,2.4848
w319139341,Бендеры,Борисовка,Бельцкая улица,17,3,17.7,6.97,4.6628,4.6565,8.148,4.6628,OWNER_REVIEW_ROUTE,segment_highway_service,1.3277,3.1174
w306219483,Бендеры,Борисовка,Бельцкая улица,18,2,15.6,6.14,4.0511,4.0465,7.121,4.0511,OWNER_REVIEW_ROUTE,segment_highway_service,0.716,2.5056
w319139339,Бендеры,Борисовка,Бельцкая улица,19,3,17.0,6.99,4.6773,4.6709,8.171,4.6773,OWNER_REVIEW_ROUTE,segment_highway_service,1.3422,3.1318
w306219470,Бендеры,Борисовка,Бельцкая улица,20,2,16.1,6.17,4.0701,4.0654,7.153,4.0701,OWNER_REVIEW_ROUTE,segment_highway_service,0.735,2.5246
w319135680,Бендеры,Борисовка,Бельцкая улица,21,3,23.7,7.01,4.699,4.6925,8.207,4.699,OWNER_REVIEW_ROUTE,segment_highway_service,1.3639,3.1535
w306219469,Бендеры,Борисовка,Бельцкая улица,22,2,19.7,6.19,4.0881,4.0835,7.181,4.0881,OWNER_REVIEW_ROUTE,segment_highway_service,0.753,2.5427
w318701784,Бендеры,Борисовка,Бельцкая улица,23,3,20.3,7.05,4.7248,4.7182,8.249,4.7248,OWNER_REVIEW_ROUTE,segment_highway_service,1.3897,3.1793
w306219468,Бендеры,Борисовка,Бельцкая улица,24,2,19.1,6.22,4.1121,4.1073,7.22,4.1121,OWNER_REVIEW_ROUTE,segment_highway_service,0.777,2.5666
w318701782,Бендеры,Борисовка,Бельцкая улица,25,3,19.6,7.07,4.7437,4.7371,8.28,4.7437,OWNER_REVIEW_ROUTE,segment_highway_service,1.4086,3.1982
w306219466,Бендеры,Борисовка,Бельцкая улица,26,2,15.4,6.24,4.1307,4.1259,7.251,4.1307,OWNER_REVIEW_ROUTE,segment_highway_service,0.7956,2.5853
w317148288,Бендеры,Борисовка,Бельцкая улица,27,3,27.3,7.14,4.8016,4.7948,8.373,4.8016,OWNER_REVIEW_ROUTE,segment_highway_service,1.4665,3.2561
w306219465,Бендеры,Борисовка,Бельцкая улица,28,2,16.0,6.26,4.1479,4.143,7.279,4.1479,OWNER_REVIEW_ROUTE,segment_highway_service,0.8127,2.6024
w209267155,Бендеры,Борисовка,Бельцкая улица,29,4,17.2,7.09,6.664,6.6609,10.209,4.65,OWNER_REVIEW_ROUTE,segment_highway_service,1.3149,3.1045
w318701773,Бендеры,Борисовка,Бельцкая улица,33,2,21.1,6.12,4.0376,4.033,7.099,4.0376,OWNER_REVIEW_ROUTE,segment_highway_service,0.7025,2.4921
w295571380,Бендеры,Борисовка,Бельцкая улица,33б,2,17.0,6.58,4.3743,4.3686,7.667,4.3743,OWNER_REVIEW_ROUTE,segment_highway_service,1.0392,2.8288
w318058442,Бендеры,Борисовка,Бельцкая улица,34,3,13.9,6.9,4.6062,4.6,8.055,4.6062,OWNER_REVIEW_ROUTE,segment_highway_service,1.2711,3.0608
w318701778,Бендеры,Борисовка,Бельцкая улица,35,2,18.0,6.15,4.0594,4.0548,7.135,4.0594,OWNER_REVIEW_ROUTE,segment_highway_service,0.7243,2.5139
w319144223,Бендеры,Борисовка,Бельцкая улица,36/36а,2,24.1,5.41,3.5915,3.5879,6.295,3.5915,OWNER_REVIEW_ROUTE,segment_highway_service,0.2564,2.046
w318701780,Бендеры,Борисовка,Бельцкая улица,37,2,18.2,6.18,4.084,4.0794,7.175,4.084,OWNER_REVIEW_ROUTE,segment_highway_service,0.7489,2.5386
w318701795,Бендеры,Борисовка,Бельцкая улица,41,2,20.8,6.22,4.1116,4.1069,7.22,4.1116,OWNER_REVIEW_ROUTE,segment_highway_service,0.7765,2.5661
w318701803,Бендеры,Борисовка,Бельцкая улица,43,2,18.0,6.25,4.1371,4.1323,7.261,4.1371,OWNER_REVIEW_ROUTE,segment_highway_service,0.802,2.5916
w318701805,Бендеры,Борисовка,Бельцкая улица,45,2,17.2,6.27,4.1568,4.1519,7.293,4.1568,OWNER_REVIEW_ROUTE,segment_highway_service,0.8217,2.6113
w532689732,Бендеры,Борисовка,Бельцкая улица,49,2,22.2,6.32,4.1936,4.1887,7.354,4.1936,OWNER_REVIEW_ROUTE,segment_highway_service,0.8585,2.6481
w318701862,Бендеры,Борисовка,Бельцкая улица,51,2,25.5,6.34,4.2129,4.2079,7.385,4.2129,OWNER_REVIEW_ROUTE,segment_highway_service,0.8778,2.6674
w318702082,Бендеры,Борисовка,Бельцкая улица,55,2,27.3,6.42,4.2759,4.2708,7.487,4.2759,OWNER_REVIEW_ROUTE,segment_highway_service,0.9408,2.7305
w318702083,Бендеры,Борисовка,Бельцкая улица,57,2,18.5,6.45,4.2963,4.2911,7.52,4.2963,OWNER_REVIEW_ROUTE,segment_highway_service,0.9612,2.7508
w318185749,Бендеры,Борисовка,Бельцкая улица,92,3,27.1,6.77,4.5238,4.518,7.91,4.5238,OWNER_REVIEW_ROUTE,segment_highway_service,1.1887,2.9783
w318072708,Бендеры,Борисовка,Бельцкая улица,94,3,16.0,6.78,4.5099,4.504,7.899,4.5099,OWNER_REVIEW_ROUTE,segment_highway_service,1.1748,2.9644
n2325366572,Бендеры,Борисовка,Бельцкая улица,98,3,5.8,6.73,4.4891,4.4833,7.854,4.4891,OWNER_REVIEW_ROUTE,segment_highway_service,1.154,2.9436
n2325366573,Бендеры,Борисовка,Бельцкая улица,100,2,6.5,6.68,4.4526,4.4469,7.794,4.4526,OWNER_REVIEW_ROUTE,segment_highway_service,1.1175,2.9072
w319139358,Бендеры,Борисовка,Бельцкая улица,104,2,28.7,6.67,4.4391,4.4333,7.772,4.4391,OWNER_REVIEW_ROUTE,segment_highway_service,1.1039,2.8936
w319139372,Бендеры,Борисовка,Бельцкая улица,106,2,35.8,6.65,4.4225,4.4168,7.746,4.4225,OWNER_REVIEW_ROUTE,segment_highway_service,1.0874,2.877
n2337855688,Бендеры,Борисовка,Братская улица,7,2,15.3,6.72,4.1273,4.1224,7.487,4.1273,OWNER_REVIEW_ROUTE,segment_highway_service,0.7922,2.5818
w297047299,Бендеры,Борисовка,Братская улица,8,2,20.2,6.74,4.1345,4.1297,7.504,4.1345,OWNER_REVIEW_ROUTE,segment_highway_service,0.7994,2.5891
w297047300,Бендеры,Борисовка,Братская улица,10,2,19.9,6.79,4.1552,4.1503,7.549,4.1552,OWNER_REVIEW_ROUTE,segment_highway_service,0.8201,2.6097
n2337855692,Бендеры,Борисовка,Братская улица,11,2,15.0,6.78,4.1498,4.1449,7.537,4.1498,OWNER_REVIEW_ROUTE,segment_highway_service,0.8147,2.6043
w319615914,Бендеры,Борисовка,Братская улица,12,2,14.1,6.83,4.1731,4.1682,7.589,4.1731,OWNER_REVIEW_ROUTE,segment_highway_service,1.1721,2.6276
n5682775200,Бендеры,Борисовка,Братская улица,12/1,2,18.2,6.85,4.1794,4.1745,7.604,4.1794,OWNER_REVIEW_ROUTE,segment_highway_service,1.1658,2.6339
n2337855693,Бендеры,Борисовка,Братская улица,13,2,15.7,6.89,4.1953,4.1904,7.639,4.1953,OWNER_REVIEW_ROUTE,segment_highway_service,1.1499,2.6498
w319620058,Бендеры,Борисовка,Братская улица,14,2,15.2,6.89,4.1968,4.1918,7.642,4.1968,OWNER_REVIEW_ROUTE,segment_highway_service,1.1484,2.6513
n2325729703,Бендеры,Борисовка,Братская улица,22,2,9.8,6.72,4.4001,4.3945,7.76,4.4001,OWNER_REVIEW_ROUTE,segment_highway_service,1.065,2.8546
n2325729718,Бендеры,Борисовка,Варницкий тупик,1,3,15.3,7.21,4.5645,4.5586,8.171,4.5645,OWNER_REVIEW_ROUTE,segment_highway_service,1.2294,3.019
w352110120,Бендеры,Борисовка,Варницкий тупик,9,3,9.3,7.16,4.5406,4.5348,8.119,4.5406,OWNER_REVIEW_ROUTE,segment_highway_service,1.2055,2.9952
n2325729715,Бендеры,Борисовка,Варницкий тупик,13,3,22.4,7.22,4.8072,4.8011,8.417,4.8072,OWNER_REVIEW_ROUTE,segment_highway_service,1.4721,3.2617
