uid,street,house,current_zone,snap_m,true_shortest_unconstrained_km,best_entry_id,best_entry_road,best_via_entry_km,via_entry_minus_free_km,entries_evaluated,all_entry_km_json,owner_review_required,osrm_current_route_km,current_minus_true_shortest_km,overstated_gt_10pct
w352160183,Гербовецкая улица,47,4,31.5,5.8363,Про-028,Главная улица,5.8363,0.0,21,"{""Про-028"": 5.8363, ""Про-029"": 7.4593, ""Про-030"": 6.7628, ""Про-031"": 5.8363, ""Про-032"": 9.7755, ""Про-033"": 6.4382, ""Про-034"": 5.8961, ""Про-035"": 5.8961, ""Про-036"": 5.8961, ""Про-037"": 8.4119, ""Про-038"": 7.3304, ""Про-039"": 8.0495, ""Про-040"": 7.5692, ""Про-041"": 8.3761, ""Про-042"": 9.482, ""Про-043"": 8.6884, ""Про-044"": 8.4687, ""Про-045"": 8.2896, ""Про-046"": 8.5741, ""Про-047"": 12.6738, ""Про-048"": 11.1138}",True,6.3597,0.5234,False
w352158429,Гербовецкая улица,48,4,28.2,5.5164,Про-028,Главная улица,5.5164,0.0,21,"{""Про-028"": 5.5164, ""Про-029"": 7.3171, ""Про-030"": 6.4429, ""Про-031"": 5.5164, ""Про-032"": 9.4556, ""Про-033"": 6.1183, ""Про-034"": 5.5762, ""Про-035"": 5.5762, ""Про-036"": 5.5762, ""Про-037"": 8.2697, ""Про-038"": 7.0105, ""Про-039"": 7.9073, ""Про-040"": 7.427, ""Про-041"": 8.2339, ""Про-042"": 9.1621, ""Про-043"": 8.5462, ""Про-044"": 8.3264, ""Про-045"": 8.1474, ""Про-046"": 8.4319, ""Про-047"": 12.9937, ""Про-048"": 10.9716}",True,6.001,0.4846,False
w352160184,Гербовецкая улица,49,4,46.9,5.8363,Про-028,Главная улица,5.8363,0.0,21,"{""Про-028"": 5.8363, ""Про-029"": 7.4593, ""Про-030"": 6.7628, ""Про-031"": 5.8363, ""Про-032"": 9.7755, ""Про-033"": 6.4382, ""Про-034"": 5.8961, ""Про-035"": 5.8961, ""Про-036"": 5.8961, ""Про-037"": 8.4119, ""Про-038"": 7.3304, ""Про-039"": 8.0495, ""Про-040"": 7.5692, ""Про-041"": 8.3761, ""Про-042"": 9.482, ""Про-043"": 8.6884, ""Про-044"": 8.4687, ""Про-045"": 8.2896, ""Про-046"": 8.5741, ""Про-047"": 12.6738, ""Про-048"": 11.1138}",True,6.377,0.5407,False
w352156653,Гербовецкая улица,50,4,19.6,5.5164,Про-028,Главная улица,5.5164,0.0,21,"{""Про-028"": 5.5164, ""Про-029"": 7.3171, ""Про-030"": 6.4429, ""Про-031"": 5.5164, ""Про-032"": 9.4556, ""Про-033"": 6.1183, ""Про-034"": 5.5762, ""Про-035"": 5.5762, ""Про-036"": 5.5762, ""Про-037"": 8.2697, ""Про-038"": 7.0105, ""Про-039"": 7.9073, ""Про-040"": 7.427, ""Про-041"": 8.2339, ""Про-042"": 9.1621, ""Про-043"": 8.5462, ""Про-044"": 8.3264, ""Про-045"": 8.1474, ""Про-046"": 8.4319, ""Про-047"": 12.9937, ""Про-048"": 10.9716}",True,6.0128,0.4964,False
w352156651,Гербовецкая улица,52,4,32.4,5.5164,Про-028,Главная улица,5.5164,0.0,21,"{""Про-028"": 5.5164, ""Про-029"": 7.3171, ""Про-030"": 6.4429, ""Про-031"": 5.5164, ""Про-032"": 9.4556, ""Про-033"": 6.1183, ""Про-034"": 5.5762, ""Про-035"": 5.5762, ""Про-036"": 5.5762, ""Про-037"": 8.2697, ""Про-038"": 7.0105, ""Про-039"": 7.9073, ""Про-040"": 7.427, ""Про-041"": 8.2339, ""Про-042"": 9.1621, ""Про-043"": 8.5462, ""Про-044"": 8.3264, ""Про-045"": 8.1474, ""Про-046"": 8.4319, ""Про-047"": 12.9937, ""Про-048"": 10.9716}",True,6.0332,0.5168,False
w352156650,Гербовецкая улица,54,4,32.1,5.581,Про-028,Главная улица,5.581,0.0,21,"{""Про-028"": 5.581, ""Про-029"": 7.2526, ""Про-030"": 6.5074, ""Про-031"": 5.581, ""Про-032"": 9.5202, ""Про-033"": 6.1828, ""Про-034"": 5.6407, ""Про-035"": 5.6407, ""Про-036"": 5.6407, ""Про-037"": 8.2052, ""Про-038"": 7.0751, ""Про-039"": 7.8427, ""Про-040"": 7.3624, ""Про-041"": 8.1693, ""Про-042"": 9.2266, ""Про-043"": 8.4816, ""Про-044"": 8.2619, ""Про-045"": 8.0829, ""Про-046"": 8.3674, ""Про-047"": 12.9291, ""Про-048"": 10.9071}",True,6.0541,0.4731,False
w352160189,Гербовецкая улица,55,4,98.8,5.8363,Про-028,Главная улица,5.8363,0.0,21,"{""Про-028"": 5.8363, ""Про-029"": 7.4593, ""Про-030"": 6.7628, ""Про-031"": 5.8363, ""Про-032"": 9.7755, ""Про-033"": 6.4382, ""Про-034"": 5.8961, ""Про-035"": 5.8961, ""Про-036"": 5.8961, ""Про-037"": 8.4119, ""Про-038"": 7.3304, ""Про-039"": 8.0495, ""Про-040"": 7.5692, ""Про-041"": 8.3761, ""Про-042"": 9.482, ""Про-043"": 8.6884, ""Про-044"": 8.4687, ""Про-045"": 8.2896, ""Про-046"": 8.5741, ""Про-047"": 12.6738, ""Про-048"": 11.1138}",True,6.4275,0.5912,True
w315108146,Гербовецкая улица,58,4,41.3,5.741,Про-028,Главная улица,5.741,0.0,21,"{""Про-028"": 5.741, ""Про-029"": 7.364, ""Про-030"": 6.6675, ""Про-031"": 5.741, ""Про-032"": 9.6802, ""Про-033"": 6.3428, ""Про-034"": 5.8007, ""Про-035"": 5.8007, ""Про-036"": 5.8007, ""Про-037"": 8.3166, ""Про-038"": 7.2351, ""Про-039"": 7.9542, ""Про-040"": 7.4739, ""Про-041"": 8.2808, ""Про-042"": 9.3867, ""Про-043"": 8.5931, ""Про-044"": 8.3734, ""Про-045"": 8.1943, ""Про-046"": 8.4788, ""Про-047"": 12.787, ""Про-048"": 11.0185}",True,6.195,0.454,False
w315108143,Гербовецкая улица,60,4,22.2,5.741,Про-028,Главная улица,5.741,0.0,21,"{""Про-028"": 5.741, ""Про-029"": 7.364, ""Про-030"": 6.6675, ""Про-031"": 5.741, ""Про-032"": 9.6802, ""Про-033"": 6.3428, ""Про-034"": 5.8007, ""Про-035"": 5.8007, ""Про-036"": 5.8007, ""Про-037"": 8.3166, ""Про-038"": 7.2351, ""Про-039"": 7.9542, ""Про-040"": 7.4739, ""Про-041"": 8.2808, ""Про-042"": 9.3867, ""Про-043"": 8.5931, ""Про-044"": 8.3734, ""Про-045"": 8.1943, ""Про-046"": 8.4788, ""Про-047"": 12.787, ""Про-048"": 11.0185}",True,6.2437,0.5027,False
w315108139,Гербовецкая улица,62,4,17.4,5.7665,Про-028,Главная улица,5.7665,0.0,21,"{""Про-028"": 5.7665, ""Про-029"": 7.3896, ""Про-030"": 6.693, ""Про-031"": 5.7665, ""Про-032"": 9.7057, ""Про-033"": 6.3684, ""Про-034"": 5.8263, ""Про-035"": 5.8263, ""Про-036"": 5.8263, ""Про-037"": 8.3422, ""Про-038"": 7.2606, ""Про-039"": 7.9797, ""Про-040"": 7.4994, ""Про-041"": 8.3064, ""Про-042"": 9.4122, ""Про-043"": 8.6186, ""Про-044"": 8.3989, ""Про-045"": 8.2199, ""Про-046"": 8.5044, ""Про-047"": 12.8125, ""Про-048"": 11.0441}",True,6.2593,0.4928,False
w315108091,Гербовецкая улица,64,4,16.5,5.8025,Про-028,Главная улица,5.8025,0.0,21,"{""Про-028"": 5.8025, ""Про-029"": 7.4255, ""Про-030"": 6.7289, ""Про-031"": 5.8025, ""Про-032"": 9.7417, ""Про-033"": 6.4043, ""Про-034"": 5.8622, ""Про-035"": 5.8622, ""Про-036"": 5.8622, ""Про-037"": 8.3781, ""Про-038"": 7.2966, ""Про-039"": 8.0157, ""Про-040"": 7.5354, ""Про-041"": 8.3423, ""Про-042"": 9.4481, ""Про-043"": 8.6546, ""Про-044"": 8.4348, ""Про-045"": 8.2558, ""Про-046"": 8.5403, ""Про-047"": 12.8485, ""Про-048"": 11.08}",True,6.3072,0.5047,False
w315108090,Гербовецкая улица,66,4,18.5,5.8285,Про-028,Главная улица,5.8285,0.0,21,"{""Про-028"": 5.8285, ""Про-029"": 7.4515, ""Про-030"": 6.755, ""Про-031"": 5.8285, ""Про-032"": 9.7677, ""Про-033"": 6.4304, ""Про-034"": 5.8882, ""Про-035"": 5.8882, ""Про-036"": 5.8882, ""Про-037"": 8.4041, ""Про-038"": 7.3226, ""Про-039"": 8.0417, ""Про-040"": 7.5614, ""Про-041"": 8.3683, ""Про-042"": 9.4742, ""Про-043"": 8.6806, ""Про-044"": 8.4609, ""Про-045"": 8.2818, ""Про-046"": 8.5663, ""Про-047"": 12.8745, ""Про-048"": 11.106}",True,6.3268,0.4983,False
w315108089,Гербовецкая улица,68,4,21.0,5.8285,Про-028,Главная улица,5.8285,0.0,21,"{""Про-028"": 5.8285, ""Про-029"": 7.4515, ""Про-030"": 6.755, ""Про-031"": 5.8285, ""Про-032"": 9.7677, ""Про-033"": 6.4304, ""Про-034"": 5.8882, ""Про-035"": 5.8882, ""Про-036"": 5.8882, ""Про-037"": 8.4041, ""Про-038"": 7.3226, ""Про-039"": 8.0417, ""Про-040"": 7.5614, ""Про-041"": 8.3683, ""Про-042"": 9.4742, ""Про-043"": 8.6806, ""Про-044"": 8.4609, ""Про-045"": 8.2818, ""Про-046"": 8.5663, ""Про-047"": 12.8745, ""Про-048"": 11.106}",True,6.3299,0.5014,False
w352341358,Гербовецкая улица,69,4,123.8,6.2229,Про-028,Главная улица,6.2229,0.0,21,"{""Про-028"": 6.2229, ""Про-029"": 7.1483, ""Про-030"": 6.8219, ""Про-031"": 6.2229, ""Про-032"": 9.6606, ""Про-033"": 6.7686, ""Про-034"": 6.2827, ""Про-035"": 6.2827, ""Про-036"": 6.2827, ""Про-037"": 8.1009, ""Про-038"": 7.1197, ""Про-039"": 7.7385, ""Про-040"": 7.2582, ""Про-041"": 8.0651, ""Про-042"": 9.3671, ""Про-043"": 8.3774, ""Про-044"": 8.1576, ""Про-045"": 7.9786, ""Про-046"": 8.2631, ""Про-047"": 12.3802, ""Про-048"": 10.8028}",True,6.5435,0.3206,False
w315107914,Гербовецкая улица,70,4,29.9,5.8363,Про-028,Главная улица,5.8363,0.0,21,"{""Про-028"": 5.8363, ""Про-029"": 7.4593, ""Про-030"": 6.7628, ""Про-031"": 5.8363, ""Про-032"": 9.7755, ""Про-033"": 6.4382, ""Про-034"": 5.8961, ""Про-035"": 5.8961, ""Про-036"": 5.8961, ""Про-037"": 8.4119, ""Про-038"": 7.3304, ""Про-039"": 8.0495, ""Про-040"": 7.5692, ""Про-041"": 8.3761, ""Про-042"": 9.482, ""Про-043"": 8.6884, ""Про-044"": 8.4687, ""Про-045"": 8.2896, ""Про-046"": 8.5741, ""Про-047"": 12.6738, ""Про-048"": 11.1138}",True,6.3496,0.5133,False
w319386383,Гербовецкая улица,72,4,45.6,5.8363,Про-028,Главная улица,5.8363,0.0,21,"{""Про-028"": 5.8363, ""Про-029"": 7.4593, ""Про-030"": 6.7628, ""Про-031"": 5.8363, ""Про-032"": 9.7755, ""Про-033"": 6.4382, ""Про-034"": 5.8961, ""Про-035"": 5.8961, ""Про-036"": 5.8961, ""Про-037"": 8.4119, ""Про-038"": 7.3304, ""Про-039"": 8.0495, ""Про-040"": 7.5692, ""Про-041"": 8.3761, ""Про-042"": 9.482, ""Про-043"": 8.6884, ""Про-044"": 8.4687, ""Про-045"": 8.2896, ""Про-046"": 8.5741, ""Про-047"": 12.6738, ""Про-048"": 11.1138}",True,6.3736,0.5373,False
w352341360,Гербовецкая улица,73,4,95.7,6.1721,Про-028,Главная улица,6.1721,0.0,21,"{""Про-028"": 6.1721, ""Про-029"": 7.1991, ""Про-030"": 6.8726, ""Про-031"": 6.1721, ""Про-032"": 9.7114, ""Про-033"": 6.774, ""Про-034"": 6.2319, ""Про-035"": 6.2319, ""Про-036"": 6.2319, ""Про-037"": 8.1517, ""Про-038"": 7.1704, ""Про-039"": 7.7893, ""Про-040"": 7.309, ""Про-041"": 8.1159, ""Про-042"": 9.4179, ""Про-043"": 8.4281, ""Про-044"": 8.2084, ""Про-045"": 8.0294, ""Про-046"": 8.3139, ""Про-047"": 12.338, ""Про-048"": 10.8536}",True,6.5765,0.4044,False
