corridor_street,osm_way_id,way_name,highway,bridge,tunnel,layer,oneway,maxspeed,access,motor_vehicle,n_nodes,first_node,last_node,present_in_pbf,present_in_osrm_graph
улица Осипенко,45858827,улица Осипенко,residential,,,,,,,,6,583629136,794206721,True,True
улица Дружбы,45858821,улица Дружбы,primary,,,,,,,,16,583629128,2905509350,True,True
улица Дружбы,103643505,улица Дружбы,secondary,,,,yes,,,,2,604245147,604245177,True,True
улица Дружбы,83039115,улица Дружбы,residential,,,,,,,,3,966102348,966102218,True,True
Кишинёвская улица,41749663,Кишинёвская улица,tertiary,,,,,,,,12,514211114,346864409,True,True
Кишинёвская улица,62383007,Кишинёвская улица,primary,,,,,50,,,6,271257721,457637141,True,True
Кишинёвская улица,63221794,Кишинёвская улица,primary,,,,,60,,,23,346864409,457637403,True,True
Кишинёвская улица,133062213,Кишинёвская улица,primary,,,,,60,,,4,457637403,1464239916,True,True
Кишинёвская улица,133068144,Кишинёвская улица,primary,,,,,50,,,2,271257721,1464239916,True,True
Кишинёвская улица,133068155,Кишинёвская улица,primary_link,,,,yes,,,,5,1464239930,1464239916,True,True
