uid,settlement_ru,district_ru,street_ru,housenumber,current_zone,in_city_km,outside_city_km,raw_km_A,eq_km_A,eq_km_B,recalculated_zone_A,recalculated_zone_B,reason_A
n4919312070,Бендеры,Борисовка,1-й Братский переулок,1 А,2,4.2784,0.0,3.7834,3.7786,3.868,2,2,stable
w319402241,Бендеры,Борисовка,1-й Братский переулок,12,2,4.2337,0.0,3.7387,3.7339,3.8233,2,2,stable
w319305814,Бендеры,Борисовка,1-й Братский переулок,14,2,4.2037,0.0,3.7086,3.7039,3.7933,2,2,stable
n2325729678,Бендеры,Борисовка,1-й Братский переулок,16,2,4.3777,0.0,3.8829,3.8779,3.9673,2,2,stable
n2325729685,Бендеры,Борисовка,1-й Братский переулок,23,2,4.384,0.0,3.8892,3.8842,3.9736,2,2,stable
w515864768,Бендеры,Шёлковый,1-й Измаильский переулок,3,3,4.6332,0.0,5.037,5.0366,4.9626,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515863623,Бендеры,Шёлковый,1-й Измаильский переулок,4,3,4.8301,0.0,5.2339,5.2335,5.1595,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515864766,Бендеры,Шёлковый,1-й Измаильский переулок,5,3,4.6638,0.0,5.0676,5.0672,4.9932,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515863622,Бендеры,Шёлковый,1-й Измаильский переулок,6,3,4.8542,0.0,5.2581,5.2576,5.1836,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515864767,Бендеры,Шёлковый,1-й Измаильский переулок,7,3,4.6791,0.0,5.0829,5.0825,5.0085,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515863618,Бендеры,Шёлковый,1-й Измаильский переулок,8,3,4.874,0.0,5.2779,5.2774,5.2034,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515863636,Бендеры,Шёлковый,1-й Измаильский переулок,9,3,4.6949,0.0,5.0987,5.0983,5.0243,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515829316,Бендеры,Шёлковый,1-й Измаильский переулок,10,3,4.8963,0.0,5.3002,5.2997,5.2257,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515863635,Бендеры,Шёлковый,1-й Измаильский переулок,11,3,4.7083,0.0,5.1122,5.1117,5.0377,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515862141,Бендеры,Шёлковый,1-й Измаильский переулок,12,3,4.915,0.0,5.3189,5.3184,5.2444,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515863633,Бендеры,Шёлковый,1-й Измаильский переулок,13,3,4.7227,0.0,5.1266,5.1261,5.0521,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515863631,Бендеры,Шёлковый,1-й Измаильский переулок,15,3,4.7379,0.0,5.1418,5.1413,5.0673,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515863629,Бендеры,Шёлковый,1-й Измаильский переулок,17,3,4.7522,0.0,5.1561,5.1556,5.0816,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515863628,Бендеры,Шёлковый,1-й Измаильский переулок,19,3,4.7683,0.0,5.1721,5.1717,5.0977,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515863627,Бендеры,Шёлковый,1-й Измаильский переулок,21,3,4.7824,0.0,5.1862,5.1858,5.1118,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515863626,Бендеры,Шёлковый,1-й Измаильский переулок,23,3,4.7966,0.0,5.2005,5.2,5.126,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515863625,Бендеры,Шёлковый,1-й Измаильский переулок,25,3,4.8102,0.0,5.2141,5.2136,5.1396,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515863624,Бендеры,Шёлковый,1-й Измаильский переулок,27,3,4.8272,0.0,5.2311,5.2306,5.1566,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515864764,Бендеры,Шёлковый,1-й Измаильский переулок,29,3,4.8412,0.0,5.2451,5.2446,5.1706,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515863621,Бендеры,Шёлковый,1-й Измаильский переулок,31,3,4.855,0.0,5.2589,5.2584,5.1844,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515863620,Бендеры,Шёлковый,1-й Измаильский переулок,33,3,4.8717,0.0,5.2756,5.2751,5.2011,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515863616,Бендеры,Шёлковый,1-й Измаильский переулок,35,3,4.8953,0.0,5.2992,5.2987,5.2247,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515863617,Бендеры,Шёлковый,1-й Измаильский переулок,37,3,4.9117,0.0,5.3156,5.3151,5.2411,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w528387455,Бендеры,Шёлковый,1-й Измаильский переулок,56,3,4.5574,0.0,4.9612,4.9608,4.8868,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w528387454,Бендеры,Шёлковый,1-й Измаильский переулок,58,3,4.5774,0.0,4.9812,4.9808,4.9068,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w528387457,Бендеры,Шёлковый,1-й Измаильский переулок,58,3,4.5184,0.0,4.9222,4.9218,4.8478,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w528387456,Бендеры,Шёлковый,1-й Измаильский переулок,60,3,4.5941,0.0,4.9979,4.9975,4.9235,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w528387459,Бендеры,Шёлковый,1-й Измаильский переулок,60А,3,4.5474,0.0,4.9512,4.9508,4.8768,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w531443830,Бендеры,Шёлковый,1-й Измаильский переулок,62,3,4.6363,0.0,5.04,5.0397,4.9657,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w531443831,Бендеры,Шёлковый,1-й Измаильский переулок,64,3,4.6529,0.0,5.0567,5.0563,4.9823,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w531466227,Бендеры,Шёлковый,1-й Измаильский переулок,151,3,4.5047,0.0,4.9085,4.9081,4.8341,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w528387461,Бендеры,Шёлковый,1-й Измаильский переулок,153,3,4.5214,0.0,4.9252,4.9248,4.8508,2,2,shorter fastest valid route than catalog basis -> cheaper zone
n5160467350,Бендеры,Шёлковый,1-й Измаильский переулок,155,3,4.5393,0.0,4.9431,4.9427,4.8687,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w531466228,Бендеры,Шёлковый,1-й Измаильский переулок,159,3,4.4893,0.0,4.893,4.8927,4.8187,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w528387460,Бендеры,Шёлковый,1-й Измаильский переулок,167,3,4.5504,0.0,4.9542,4.9538,4.8798,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515864773,Бендеры,Шёлковый,1-й Измаильский переулок,169,3,4.567,0.0,4.9707,4.9704,4.8964,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515864772,Бендеры,Шёлковый,1-й Измаильский переулок,171,3,4.5892,0.0,4.993,4.9926,4.9186,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515864769,Бендеры,Шёлковый,1-й Измаильский переулок,173,3,4.6048,0.0,5.0085,5.0082,4.9342,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w531446214,Бендеры,Шёлковый,1-й Измаильский переулок,175,3,4.6703,0.0577,5.1317,5.1699,5.0959,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w319141459,Бендеры,Борисовка,1-й переулок Петровского,1,2,3.9203,0.0,3.4245,3.4205,3.5099,1,2,shorter fastest valid route than catalog basis -> cheaper zone
w319141457,Бендеры,Борисовка,1-й переулок Петровского,3,2,3.9522,0.0,3.4917,3.4876,3.5652,1,2,shorter fastest valid route than catalog basis -> cheaper zone
w319615907,Бендеры,Борисовка,1-й переулок Петровского,4,2,3.9324,0.0,3.4366,3.4326,3.522,1,2,shorter fastest valid route than catalog basis -> cheaper zone
w319615909,Бендеры,Борисовка,1-й переулок Петровского,6,2,3.9507,0.0,3.4906,3.4866,3.564,1,2,shorter fastest valid route than catalog basis -> cheaper zone
w319402243,Бендеры,Борисовка,1-й переулок Петровского,10,2,4.1428,0.0,3.6474,3.643,3.7324,2,2,stable
w319141434,Бендеры,Борисовка,1-й переулок Петровского,11,2,4.2009,0.0,3.7058,3.7011,3.7905,2,2,stable
w319227866,Бендеры,Борисовка,1-й переулок Петровского,16,2,4.1789,0.0,3.6838,3.6791,3.7685,2,2,stable
n2325366583,Бендеры,Борисовка,1-й переулок Петровского,29,2,4.1535,0.0,3.6584,3.6537,3.7431,2,2,stable
w299347937,Бендеры,Центр,2-й Береговой переулок,13,1,1.3749,0.0,1.5831,1.5818,1.5078,1,1,stable
w299347938,Бендеры,Центр,2-й Береговой переулок,15,1,1.3563,0.0,1.5645,1.5632,1.4892,1,1,stable
w299347940,Бендеры,Центр,2-й Береговой переулок,17,1,1.3805,0.0,1.5887,1.5874,1.5134,1,1,stable
w319305819,Бендеры,Борисовка,2-й Братский переулок,1,2,4.0155,0.0,3.5509,3.5467,3.6257,2,2,stable
n2325729693,Бендеры,Борисовка,2-й Братский переулок,2,2,3.9999,0.0,3.5353,3.5311,3.6101,2,2,stable
w319615908,Бендеры,Борисовка,2-й Братский переулок,3,2,4.0565,0.0,3.592,3.5877,3.6667,2,2,stable
w351855709,Бендеры,Борисовка,2-й Братский переулок,5,2,4.0922,0.0,3.6277,3.6234,3.7024,2,2,stable
n4919312077,Бендеры,Борисовка,2-й Братский переулок,6 Б,2,3.9827,0.0,3.5181,3.5139,3.5929,1,2,shorter fastest valid route than catalog basis -> cheaper zone
w351855710,Бендеры,Борисовка,2-й Братский переулок,7,2,4.1021,0.0,3.6377,3.6333,3.7123,2,2,stable
w351855713,Бендеры,Борисовка,2-й Братский переулок,9,2,4.1292,0.0,3.6649,3.6604,3.7394,2,2,stable
n2325729692,Бендеры,Борисовка,2-й Братский переулок,12,2,4.1346,0.0,3.6703,3.6658,3.7448,2,2,stable
w531448058,Бендеры,Шёлковый,2-й Измаильский переулок,1,3,4.8086,0.0,5.2125,5.212,5.138,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515856073,Бендеры,Шёлковый,2-й Измаильский переулок,2,3,4.783,0.0,5.1868,5.1864,5.1124,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515863630,Бендеры,Шёлковый,2-й Измаильский переулок,2,3,4.7488,0.0,5.1527,5.1522,5.0782,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515864770,Бендеры,Шёлковый,2-й Измаильский переулок,3,3,4.8307,0.0,5.2345,5.2341,5.1601,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w531443828,Бендеры,Шёлковый,2-й Измаильский переулок,4,3,4.7687,0.0,5.1725,5.1721,5.0981,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w531443829,Бендеры,Шёлковый,2-й Измаильский переулок,6,3,4.7883,0.0,5.1921,5.1917,5.1177,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w515864771,Бендеры,Шёлковый,2-й Измаильский переулок,7,3,4.8885,0.0,5.2923,5.2919,5.2179,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w531446815,Бендеры,Шёлковый,2-й Измаильский переулок,9,3,4.9351,0.0,5.3389,5.3385,5.2645,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w531446217,Бендеры,Шёлковый,2-й Измаильский переулок,10,3,4.8284,0.0,5.2322,5.2318,5.1578,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w531448060,Бендеры,Шёлковый,2-й Измаильский переулок,12,3,4.8496,0.0,5.2534,5.253,5.179,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w531449256,Бендеры,Шёлковый,2-й Измаильский переулок,14,3,4.8696,0.0,5.2734,5.273,5.199,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w531451251,Бендеры,Шёлковый,2-й Измаильский переулок,18,3,4.9053,0.0,5.3091,5.3087,5.2347,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w531451252,Бендеры,Шёлковый,2-й Измаильский переулок,20,3,4.9239,0.0,5.3277,5.3273,5.2533,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w531446216,Бендеры,Шёлковый,2-й Измаильский переулок,177,3,4.6703,0.1182,5.1922,5.2707,5.1967,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w531449255,Бендеры,Шёлковый,2-й Измаильский переулок,181,3,4.6703,0.1781,5.2521,5.3705,5.2965,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w531449257,Бендеры,Шёлковый,2-й Измаильский переулок,183,3,4.6703,0.1982,5.2721,5.404,5.33,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w531449258,Бендеры,Шёлковый,2-й Измаильский переулок,185,3,4.6703,0.2315,5.3055,5.4595,5.3855,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w319141416,Бендеры,Борисовка,2-й переулок Петровского,4,2,4.0746,0.0,3.579,3.5748,3.6642,2,2,stable
w319141422,Бендеры,Борисовка,2-й переулок Петровского,4,2,4.0341,0.0,3.5385,3.5343,3.6237,2,2,stable
w319141417,Бендеры,Борисовка,2-й переулок Петровского,5,2,4.1239,0.0,3.6285,3.6241,3.7135,2,2,stable
w319141418,Бендеры,Борисовка,2-й переулок Петровского,8,2,4.1071,0.0,3.6116,3.6073,3.6967,2,2,stable
n5708918557,Бендеры,Борисовка,2-й переулок Петровского,15,2,4.1097,0.0,3.6142,3.6099,3.6993,2,2,stable
w319139366,Бендеры,Борисовка,2-й переулок Петровского,45,2,4.0021,0.0,3.5065,3.5023,3.5917,1,2,shorter fastest valid route than catalog basis -> cheaper zone
w115331357,Бендеры,Шёлковый,3-й Индустриальный переулок,2,3,4.2894,0.0,4.6944,4.6928,4.6188,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w405292559,Бендеры,Шёлковый,3-й Индустриальный переулок,3,3,4.1687,0.0,4.5736,4.5721,4.4981,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w405297665,Бендеры,Шёлковый,3-й Индустриальный переулок,8,3,4.2045,0.0,4.6094,4.6079,4.5339,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w405297662,Бендеры,Шёлковый,3-й Индустриальный переулок,9,3,4.234,0.0,4.639,4.6374,4.5634,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w405297664,Бендеры,Шёлковый,3-й Индустриальный переулок,11,3,4.2467,0.0,4.6518,4.6501,4.5761,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w115331407,Бендеры,Шёлковый,3-й Индустриальный переулок,95,3,4.1106,0.0,4.5152,4.514,4.44,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w115331411,Бендеры,Шёлковый,3-й Индустриальный переулок,99,3,4.2815,0.0,4.6866,4.6849,4.6109,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w225089308,Бендеры,Шёлковый,3-й Индустриальный переулок,101,3,4.1077,0.0,4.5122,4.5111,4.4371,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w299347943,Бендеры,Центр,4-й Береговой переулок,1,1,1.3305,0.0,1.5387,1.5374,1.4634,1,1,stable
w299347941,Бендеры,Центр,4-й Береговой переулок,19,1,1.301,0.0,1.5092,1.5079,1.4339,1,1,stable
w299347945,Бендеры,Центр,4-й Береговой переулок,21,1,1.3154,0.0,1.5236,1.5223,1.4483,1,1,stable
w299347928,Бендеры,Центр,4-й Береговой переулок,23,1,1.2752,0.0,1.4834,1.4821,1.4081,1,1,stable
w299347924,Бендеры,Центр,4-й Береговой переулок,25,1,1.2757,0.0,1.4839,1.4826,1.4086,1,1,stable
w317148593,Бендеры,Борисовка,Безымянный переулок,23,3,5.9914,0.0,5.3639,5.361,5.4503,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w209273615,Бендеры,Борисовка,Безымянный переулок,42,3,6.048,0.0,5.4035,5.4006,5.49,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w317055539,Бендеры,Борисовка,Безымянный переулок,44,3,6.0355,0.0,5.3947,5.3919,5.4812,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w209273643,Бендеры,Борисовка,Безымянный переулок,46,3,6.012,0.0,5.3783,5.3754,5.4647,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w209273632,Бендеры,Борисовка,Безымянный переулок,48,3,6.0287,0.0,5.4057,5.4028,5.4921,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w209273614,Бендеры,Борисовка,Безымянный переулок,50в,3,6.0576,0.0,5.4396,5.4365,5.5258,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w318090595,Бендеры,Борисовка,Безымянный переулок,63,4,6.1335,0.0,5.5108,5.5076,5.5969,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w319139357,Бендеры,Борисовка,Бельцкая улица,1,3,4.4819,0.0,3.9875,3.9821,4.0715,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w318185745,Бендеры,Борисовка,Бельцкая улица,2,3,4.5454,0.0,4.0511,4.0456,4.135,2,2,shorter fastest valid route than catalog basis -> cheaper zone
n4580309456,Бендеры,Борисовка,Бельцкая улица,3,3,4.499,0.0,4.0046,3.9992,4.0886,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w318058451,Бендеры,Борисовка,Бельцкая улица,4,3,4.6298,0.0,4.1358,4.13,4.2194,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w319139352,Бендеры,Борисовка,Бельцкая улица,5,3,4.5117,0.0,4.0173,4.0119,4.1013,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w319139353,Бендеры,Борисовка,Бельцкая улица,7,3,4.5385,0.0,4.0442,4.0387,4.1281,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w318058455,Бендеры,Борисовка,Бельцкая улица,8,3,4.6488,0.0,4.1548,4.149,4.2384,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w319139349,Бендеры,Борисовка,Бельцкая улица,9,3,4.5641,0.0,4.0699,4.0643,4.1537,2,2,shorter fastest valid route than catalog basis -> cheaper zone
n2325366580,Бендеры,Борисовка,Бельцкая улица,10,3,4.7432,0.0,4.2495,4.2434,4.3328,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w319139344,Бендеры,Борисовка,Бельцкая улица,11,3,4.5942,0.0,4.1,4.0944,4.1838,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w319135683,Бендеры,Борисовка,Бельцкая улица,13,3,4.6199,0.0,4.1259,4.1201,4.2095,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w532689734,Бендеры,Борисовка,Бельцкая улица,14,3,4.7947,0.0,4.3012,4.2949,4.3843,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w319139342,Бендеры,Борисовка,Бельцкая улица,15,3,4.6374,0.0,4.1434,4.1376,4.227,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w306219486,Бендеры,Борисовка,Бельцкая улица,16,2,4.0257,0.0,3.53,3.5259,3.6153,2,2,stable
w319139341,Бендеры,Борисовка,Бельцкая улица,17,3,4.6565,0.0,4.1625,4.1567,4.2461,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w306219483,Бендеры,Борисовка,Бельцкая улица,18,2,4.0465,0.0,3.5508,3.5467,3.6361,2,2,stable
w319139339,Бендеры,Борисовка,Бельцкая улица,19,3,4.6709,0.0,4.177,4.1711,4.2605,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w306219470,Бендеры,Борисовка,Бельцкая улица,20,2,4.0654,0.0,3.5698,3.5656,3.655,2,2,stable
w319135680,Бендеры,Борисовка,Бельцкая улица,21,3,4.6925,0.0,4.1987,4.1927,4.2821,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w306219469,Бендеры,Борисовка,Бельцкая улица,22,2,4.0835,0.0,3.5878,3.5837,3.6731,2,2,stable
w318701784,Бендеры,Борисовка,Бельцкая улица,23,3,4.7182,0.0,4.2245,4.2184,4.3078,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w306219468,Бендеры,Борисовка,Бельцкая улица,24,2,4.1073,0.0,3.6118,3.6075,3.6969,2,2,stable
w318701782,Бендеры,Борисовка,Бельцкая улица,25,3,4.7371,0.0,4.2434,4.2373,4.3267,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w306219466,Бендеры,Борисовка,Бельцкая улица,26,2,4.1259,0.0,3.6304,3.6261,3.7155,2,2,stable
w317148288,Бендеры,Борисовка,Бельцкая улица,27,3,4.7948,0.0,4.3013,4.295,4.3844,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w306219465,Бендеры,Борисовка,Бельцкая улица,28,2,4.143,0.0,3.6476,3.6432,3.7326,2,2,stable
w209267155,Бендеры,Борисовка,Бельцкая улица,29,4,6.6609,0.0,5.8616,5.8586,5.9479,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w318701773,Бендеры,Борисовка,Бельцкая улица,33,2,4.033,0.0,3.5373,3.5332,3.6226,2,2,stable
w295571380,Бендеры,Борисовка,Бельцкая улица,33б,2,4.3686,0.0,3.874,3.8688,3.9582,2,2,stable
w318058442,Бендеры,Борисовка,Бельцкая улица,34,3,4.6,0.0,4.1059,4.1002,4.1896,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w318701778,Бендеры,Борисовка,Бельцкая улица,35,2,4.0548,0.0,3.5591,3.555,3.6444,2,2,stable
w319144223,Бендеры,Борисовка,Бельцкая улица,36/36а,2,3.5879,0.0,3.0912,3.0881,3.1775,1,1,shorter fastest valid route than catalog basis -> cheaper zone
w318701780,Бендеры,Борисовка,Бельцкая улица,37,2,4.0794,0.0,3.5837,3.5796,3.669,2,2,stable
w318701795,Бендеры,Борисовка,Бельцкая улица,41,2,4.1069,0.0,3.6113,3.6071,3.6965,2,2,stable
w318701803,Бендеры,Борисовка,Бельцкая улица,43,2,4.1323,0.0,3.6368,3.6325,3.7219,2,2,stable
w318701805,Бендеры,Борисовка,Бельцкая улица,45,2,4.1519,0.0,3.6565,3.6521,3.7415,2,2,stable
w532689732,Бендеры,Борисовка,Бельцкая улица,49,2,4.1887,0.0,3.6933,3.6889,3.7783,2,2,stable
w318701862,Бендеры,Борисовка,Бельцкая улица,51,2,4.2079,0.0,3.7126,3.7081,3.7975,2,2,stable
w318702082,Бендеры,Борисовка,Бельцкая улица,55,2,4.2708,0.0,3.7756,3.771,3.8604,2,2,stable
w318702083,Бендеры,Борисовка,Бельцкая улица,57,2,4.2911,0.0,3.796,3.7913,3.8807,2,2,stable
w318185749,Бендеры,Борисовка,Бельцкая улица,92,3,4.518,0.0,4.0235,4.0182,4.1076,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w318072708,Бендеры,Борисовка,Бельцкая улица,94,3,4.504,0.0,4.0096,4.0042,4.0936,2,2,shorter fastest valid route than catalog basis -> cheaper zone
n2325366572,Бендеры,Борисовка,Бельцкая улица,98,3,4.4833,0.0,3.9888,3.9835,4.0729,2,2,shorter fastest valid route than catalog basis -> cheaper zone
n2325366573,Бендеры,Борисовка,Бельцкая улица,100,2,4.4469,0.0,3.9523,3.9471,4.0365,2,2,stable
w319139358,Бендеры,Борисовка,Бельцкая улица,104,2,4.4333,0.0,3.9388,3.9335,4.0229,2,2,stable
w319139372,Бендеры,Борисовка,Бельцкая улица,106,2,4.4168,0.0,3.9222,3.917,4.0064,2,2,stable
n2337855688,Бендеры,Борисовка,Братская улица,7,2,4.1224,0.0,3.627,3.6226,3.712,2,2,stable
w297047299,Бендеры,Борисовка,Братская улица,8,2,4.1297,0.0,3.6342,3.6299,3.7193,2,2,stable
w297047300,Бендеры,Борисовка,Братская улица,10,2,4.1503,0.0,3.6549,3.6505,3.7399,2,2,stable
n2337855692,Бендеры,Борисовка,Братская улица,11,2,4.1449,0.0,3.6495,3.6451,3.7345,2,2,stable
w319615914,Бендеры,Борисовка,Братская улица,12,2,4.1682,0.0,3.7229,3.7184,3.7911,2,2,stable
n5682775200,Бендеры,Борисовка,Братская улица,12/1,2,4.1745,0.0,3.7274,3.7228,3.7961,2,2,stable
n2337855693,Бендеры,Борисовка,Братская улица,13,2,4.1904,0.0,3.7385,3.734,3.8089,2,2,stable
w319620058,Бендеры,Борисовка,Братская улица,14,2,4.1918,0.0,3.7395,3.7349,3.81,2,2,stable
n2325729703,Бендеры,Борисовка,Братская улица,22,2,4.3945,0.0,3.8998,3.8947,3.9841,2,2,stable
w352332836,Бендеры,Птичник,Варницкий переулок,1,3,4.5114,0.0,4.0223,4.0169,4.1045,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w352332841,Бендеры,Птичник,Варницкий переулок,2,3,4.5423,0.0,4.0532,4.0478,4.1354,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w352332837,Бендеры,Птичник,Варницкий переулок,3,3,4.5341,0.0,4.045,4.0396,4.1272,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w352332840,Бендеры,Птичник,Варницкий переулок,4,3,4.4848,0.0,3.9956,3.9903,4.0779,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w352332839,Бендеры,Птичник,Варницкий переулок,5,3,4.5556,0.0,4.0666,4.0611,4.1487,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w91848290,Бендеры,Птичник,Варницкий переулок,57,3,4.5398,0.0,4.0506,4.0453,4.1329,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w91848295,Бендеры,Птичник,Варницкий переулок,158,3,4.6337,0.0,4.1937,4.1882,4.2595,2,2,shorter fastest valid route than catalog basis -> cheaper zone
n2325729718,Бендеры,Борисовка,Варницкий тупик,1,3,4.5586,0.0,4.0642,4.0588,4.1482,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w352110120,Бендеры,Борисовка,Варницкий тупик,9,3,4.5348,0.0,4.0403,4.035,4.1244,2,2,shorter fastest valid route than catalog basis -> cheaper zone
n2325729715,Бендеры,Борисовка,Варницкий тупик,13,3,4.8011,0.0,4.3069,4.3013,4.3907,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w352667478,Бендеры,Борисовка,Варницкий тупик,14,3,4.8118,0.0,4.3176,4.312,4.4014,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w352667476,Бендеры,Борисовка,Варницкий тупик,16,3,4.7895,0.0,4.2953,4.2897,4.3791,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w409312808,Бендеры,Шёлковый,Восточная улица,1,3,4.2469,0.0,4.6513,4.6503,4.5763,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w407356392,Бендеры,Шёлковый,Восточная улица,3,3,4.3248,0.0,4.7292,4.7282,4.6542,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w409312809,Бендеры,Шёлковый,Восточная улица,3а,3,4.2667,0.0,4.6711,4.6701,4.5961,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w409314655,Бендеры,Шёлковый,Восточная улица,5,3,4.4154,0.0,4.8198,4.8188,4.7448,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w407356386,Бендеры,Шёлковый,Восточная улица,12,3,4.3668,0.0,4.7712,4.7702,4.6962,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w409314662,Бендеры,Шёлковый,Восточная улица,13,3,4.53,0.0,4.9344,4.9334,4.8594,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w409314663,Бендеры,Шёлковый,Восточная улица,15,3,4.5465,0.0,4.951,4.9499,4.8759,2,2,shorter fastest valid route than catalog basis -> cheaper zone
w115331419,Бендеры,Шёлковый,Восточная улица,125,3,4.2772,0.0,4.6818,4.6806,4.6066,2,2,shorter fastest valid route than catalog basis -> cheaper zone
