settlement,osm_type,osm_id,name,name_ru,name_ro,official_name,alt_name,old_name,ru_display,ru_source,ru_status,road_class,is_address_street,needs_name_classification_review
protyagailovka,way,883199041,Chișinău-Bender,Кишинёв-Бендеры,Chișinău-Bender,,,,Кишинёв-Бендеры,name:ru,ok,intercity,False,False
protyagailovka,way,224903383,Абрикосовая,,,,,,Абрикосовая,none,needs_ru_review,address_street,True,False
protyagailovka,way,60739723,Банный переулок,Банный переулок,,,,,Банный переулок,name:ru,ok,address_street,True,False
protyagailovka,way,224903381,Виноградная,,,,,,Виноградная,none,needs_ru_review,address_street,True,False
protyagailovka,way,224903379,Вишневая,,,,,,Вишневая,none,needs_ru_review,address_street,True,False
protyagailovka,way,222904315,Гербовецкая улица,Гербовецкая улица,Strada Hîrbovățului,,,,Гербовецкая улица,name:ru,ok,address_street,True,False
protyagailovka,way,60739714,Гербовецкий переулок,Гербовецкий переулок,Stradela Hîrbovățului,,,,Гербовецкий переулок,name:ru,ok,address_street,True,False
protyagailovka,way,60739683,Главная улица,Главная улица,Strada Glavnaia,,,,Главная улица,name:ru,ok,address_street,True,False
protyagailovka,way,222904317,Главный переулок,Главный переулок,,,,,Главный переулок,name:ru,ok,address_street,True,False
protyagailovka,way,185144051,Кишинёв-Тирасполь,Кишинёв-Тирасполь,Chișinău-Tiraspol,,,,Кишинёв-Тирасполь,name:ru,ok,intercity,False,False
protyagailovka,way,184989528,Комсомольская улица,Комсомольская улица,Strada Comsomolului,,,,Комсомольская улица,name:ru,ok,address_street,True,False
protyagailovka,way,224903410,Комсомольский переулок,Комсомольский переулок,Stradela Comsomolului,,,,Комсомольский переулок,name:ru,ok,address_street,True,True
protyagailovka,way,60739686,Лесовая улица,Лесовая улица,Strada Pădurii,,,,Лесовая улица,name:ru,ok,address_street,True,False
protyagailovka,way,224903408,Луговая улица,Луговая улица,Strada Lugovaia,,,,Луговая улица,name:ru,ok,address_street,True,False
protyagailovka,way,316847103,Мирная улица,Мирная улица,,,,,Мирная улица,name:ru,ok,address_street,True,False
protyagailovka,way,224898448,Молодёжная улица,Молодёжная улица,Strada Tineretului,,,,Молодёжная улица,name:ru,ok,address_street,True,False
protyagailovka,way,224898440,Молодёжный переулок,Молодёжный переулок,Stradela Tineretului,,,,Молодёжный переулок,name:ru,ok,address_street,True,False
