control_id,uid,district,target_district,street,housenumber,destination_lat,destination_lon,control_reason,checked_date,yandex_fastest_distance_km,yandex_fastest_duration_min,yandex_alternative_distance_km,yandex_alternative_duration_min,yandex_main_streets,yandex_district_entry,yandex_rail_crossing_or_bridge,matches_owner_corridor,current_zone,current_osrm_km,our_engine_km,expected_entry_our_engine,yandex_minus_osrm_km,yandex_osrm_ratio,calibration_status,owner_review_required
MY-058,w407326369,Северный,Северный,Strada Tighina,31/4,46.87683,29.47597,Северный: все известные точные адреса,,,,,,,,,,4,7.1582,7.0645,,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-059,w407342969,Северный,Северный,Strada Tighina,31/5,46.8766,29.47523,Северный: все известные точные адреса,,,,,,,,,,4,7.1042,7.0695,,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-060,w407342966,Северный,Северный,Strada Tighina,31/6,46.87624,29.4753,Северный: все известные точные адреса,,,,,,,,,,4,6.9422,7.0497,,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-061,w407342964,Северный,Северный,Strada Tighina,31/7,46.87594,29.47546,Северный: все известные точные адреса,,,,,,,,,,4,6.9251,6.9227,,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-062,w353974255,Хомутяновка,Хомутяновка,Главная улица,3,46.81566,29.45017,дом у въезда Хом-134 (Главная улица),,,,,,,,,,3,4.4589,4.2846,Хом-134 Главная улица,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-063,w299956671,Хомутяновка,Хомутяновка,Деповская улица,5,46.82875,29.47155,дом у въезда Хом-131 (улица Академика Фёдорова); дом у въезда Хом-133 (Кишинёвская улица),,,,,,,,,,4,7.4577,5.19,Хом-193 (railway level_crossing),,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-064,w315618141,Хомутяновка,Хомутяновка,Железнодорожная улица,43,46.82542,29.46011,3 средних,,,,,,,,,,3,5.3614,5.1826,Хом-200 (railway level_crossing),,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-065,w161058097,Хомутяновка,Хомутяновка,Московская улица,2,46.82376,29.47073,owner-улица Московская улица,,,,,,,,,,1,1.3123,1.2955,Хом-130 Московская улица,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-066,w291423988,Хомутяновка,Хомутяновка,Московская улица,9,46.82412,29.47152,3 ближайших к центру; дом у въезда Хом-135 (улица Ленина); owner-улица Московская улица,,,,,,,,,,1,1.2893,1.2829,Хом-130 Московская улица,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-067,w302492922,Балка,Хомутяновка,Первомайская улица,2,46.81758,29.46651,owner-улица Первомайская улица (наш районный ярлык иной),,,,,,,,,,2,2.2936,,,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
