uid,settlement_ru,district_ru,street_ru,housenumber,current_zone,why,fastest_distance_km,fastest_duration_s,min_alt_distance_km,n_alternatives,straight_line_km,detour_ratio,in_city_km,outside_city_km,snap_distance_m,nearest_road_highway,flags,verdict
w352161717,Бендеры,Хомутяновка,Гербовецкая улица,28,3,district_Хомутяновка,5.7422,393.4,5.7422,0,2.639,2.176,5.5175,0.2192,43.9,tertiary,snap_gt_40m;detour_gt_1.5,WRONG_ADDRESS_SNAP
w352161704,Бендеры,Хомутяновка,Гербовецкая улица,30,4,in_city_zone4;district_Хомутяновка,5.7561,394.6,5.7561,0,2.652,2.17,5.5175,0.233,39.9,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
n2321951519,Бендеры,Хомутяновка,Гербовецкая улица,43,3,district_Хомутяновка,5.2933,353.1,5.2933,0,2.201,2.405,5.289,0.0,7.0,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
n4919309516,Бендеры,Хомутяновка,Гербовецкая улица,45,3,district_Хомутяновка,5.3283,356.2,5.3283,0,2.239,2.38,5.3239,0.0,20.7,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w320440076,Бендеры,Хомутяновка,Гербовецкая улица,49,3,district_Хомутяновка,5.5426,375.4,5.5426,0,2.441,2.271,5.5376,0.0,19.0,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w353974419,Бендеры,Хомутяновка,Главная улица,1,3,district_Хомутяновка,4.505,366.9,4.505,1,2.69,1.675,4.5006,0.0,18.1,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w353974255,Бендеры,Хомутяновка,Главная улица,3,3,district_Хомутяновка,4.4589,360.2,4.4589,1,2.669,1.67,4.4545,0.0,21.5,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w318084711,Бендеры,Хомутяновка,Глинная улица,1,3,district_Хомутяновка,5.5873,388,5.5873,1,2.225,2.511,5.5832,0.0,11.3,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w318548578,Бендеры,Хомутяновка,Глинная улица,3,3,district_Хомутяновка,5.6022,390.1,5.6022,1,2.235,2.507,5.598,0.0,25.8,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w318548576,Бендеры,Хомутяновка,Глинная улица,5,3,district_Хомутяновка,5.6238,393.2,5.6238,1,2.26,2.489,5.6195,0.0,12.1,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w318548577,Бендеры,Хомутяновка,Глинная улица,7,3,district_Хомутяновка,5.6359,395,5.6359,1,2.272,2.481,5.6316,0.0,10.0,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w318084713,Бендеры,Хомутяновка,Глинная улица,9,3,district_Хомутяновка,5.5473,382.2,5.5473,1,2.188,2.535,5.5433,0.0,9.2,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w315109557,Бендеры,Хомутяновка,Дачная улица,1,3,district_Хомутяновка,4.4611,308.2,4.4611,1,1.975,2.259,4.4579,0.0,20.4,residential,detour_gt_1.5,INSUFFICIENT_EVIDENCE
