uid,street,house,current_zone,snap_m,true_shortest_unconstrained_km,best_entry_id,best_entry_road,best_via_entry_km,via_entry_minus_free_km,entries_evaluated,all_entry_km_json,owner_review_required
w352158439,Гербовецкая улица,34,4,28.8,5.3673,Про-028,Главная улица,5.3673,0.0,21,"{""Про-028"": 5.3673, ""Про-029"": 7.238, ""Про-030"": 6.2938, ""Про-031"": 5.3673, ""Про-032"": 9.3065, ""Про-033"": 5.9692, ""Про-034"": 5.4271, ""Про-035"": 5.4271, ""Про-036"": 5.4271, ""Про-037"": 8.1906, ""Про-038"": 6.8614, ""Про-039"": 7.8282, ""Про-040"": 7.3479, ""Про-041"": 8.1548, ""Про-042"": 9.013, ""Про-043"": 8.4671, ""Про-044"": 8.2473, ""Про-045"": 8.0683, ""Про-046"": 8.3528, ""Про-047"": 13.1428, ""Про-048"": 11.1207}",True
w352158450,Гербовецкая улица,36,4,36.9,5.3673,Про-028,Главная улица,5.3673,0.0,21,"{""Про-028"": 5.3673, ""Про-029"": 7.238, ""Про-030"": 6.2938, ""Про-031"": 5.3673, ""Про-032"": 9.3065, ""Про-033"": 5.9692, ""Про-034"": 5.4271, ""Про-035"": 5.4271, ""Про-036"": 5.4271, ""Про-037"": 8.1906, ""Про-038"": 6.8614, ""Про-039"": 7.8282, ""Про-040"": 7.3479, ""Про-041"": 8.1548, ""Про-042"": 9.013, ""Про-043"": 8.4671, ""Про-044"": 8.2473, ""Про-045"": 8.0683, ""Про-046"": 8.3528, ""Про-047"": 13.1428, ""Про-048"": 11.1207}",True
w352158444,Гербовецкая улица,38,4,59.7,5.3673,Про-028,Главная улица,5.3673,0.0,21,"{""Про-028"": 5.3673, ""Про-029"": 7.238, ""Про-030"": 6.2938, ""Про-031"": 5.3673, ""Про-032"": 9.3065, ""Про-033"": 5.9692, ""Про-034"": 5.4271, ""Про-035"": 5.4271, ""Про-036"": 5.4271, ""Про-037"": 8.1906, ""Про-038"": 6.8614, ""Про-039"": 7.8282, ""Про-040"": 7.3479, ""Про-041"": 8.1548, ""Про-042"": 9.013, ""Про-043"": 8.4671, ""Про-044"": 8.2473, ""Про-045"": 8.0683, ""Про-046"": 8.3528, ""Про-047"": 13.1428, ""Про-048"": 11.1207}",True
w352158464,Гербовецкая улица,39,4,25.2,5.732,Про-028,Главная улица,5.732,0.0,21,"{""Про-028"": 5.732, ""Про-029"": 7.3551, ""Про-030"": 6.6585, ""Про-031"": 5.732, ""Про-032"": 9.6713, ""Про-033"": 6.3339, ""Про-034"": 5.7918, ""Про-035"": 5.7918, ""Про-036"": 5.7918, ""Про-037"": 8.3077, ""Про-038"": 7.2261, ""Про-039"": 7.9453, ""Про-040"": 7.465, ""Про-041"": 8.2719, ""Про-042"": 9.3777, ""Про-043"": 8.5842, ""Про-044"": 8.3644, ""Про-045"": 8.1854, ""Про-046"": 8.4699, ""Про-047"": 12.7781, ""Про-048"": 11.0096}",True
w352158442,Гербовецкая улица,40,4,73.1,5.3673,Про-028,Главная улица,5.3673,0.0,21,"{""Про-028"": 5.3673, ""Про-029"": 7.238, ""Про-030"": 6.2938, ""Про-031"": 5.3673, ""Про-032"": 9.3065, ""Про-033"": 5.9692, ""Про-034"": 5.4271, ""Про-035"": 5.4271, ""Про-036"": 5.4271, ""Про-037"": 8.1906, ""Про-038"": 6.8614, ""Про-039"": 7.8282, ""Про-040"": 7.3479, ""Про-041"": 8.1548, ""Про-042"": 9.013, ""Про-043"": 8.4671, ""Про-044"": 8.2473, ""Про-045"": 8.0683, ""Про-046"": 8.3528, ""Про-047"": 13.1428, ""Про-048"": 11.1207}",True
w352158458,Гербовецкая улица,41,4,13.6,5.732,Про-028,Главная улица,5.732,0.0,21,"{""Про-028"": 5.732, ""Про-029"": 7.3551, ""Про-030"": 6.6585, ""Про-031"": 5.732, ""Про-032"": 9.6713, ""Про-033"": 6.3339, ""Про-034"": 5.7918, ""Про-035"": 5.7918, ""Про-036"": 5.7918, ""Про-037"": 8.3077, ""Про-038"": 7.2261, ""Про-039"": 7.9453, ""Про-040"": 7.465, ""Про-041"": 8.2719, ""Про-042"": 9.3777, ""Про-043"": 8.5842, ""Про-044"": 8.3644, ""Про-045"": 8.1854, ""Про-046"": 8.4699, ""Про-047"": 12.7781, ""Про-048"": 11.0096}",True
w352158434,Гербовецкая улица,42,4,69.0,5.5164,Про-028,Главная улица,5.5164,0.0,21,"{""Про-028"": 5.5164, ""Про-029"": 7.3171, ""Про-030"": 6.4429, ""Про-031"": 5.5164, ""Про-032"": 9.4556, ""Про-033"": 6.1183, ""Про-034"": 5.5762, ""Про-035"": 5.5762, ""Про-036"": 5.5762, ""Про-037"": 8.2697, ""Про-038"": 7.0105, ""Про-039"": 7.9073, ""Про-040"": 7.427, ""Про-041"": 8.2339, ""Про-042"": 9.1621, ""Про-043"": 8.5462, ""Про-044"": 8.3264, ""Про-045"": 8.1474, ""Про-046"": 8.4319, ""Про-047"": 12.9937, ""Про-048"": 10.9716}",True
w224936649,Гербовецкая улица,43,4,62.4,5.9568,Про-028,Главная улица,5.9568,0.0,21,"{""Про-028"": 5.9568, ""Про-029"": 7.5799, ""Про-030"": 6.8833, ""Про-031"": 5.9568, ""Про-032"": 9.896, ""Про-033"": 6.5587, ""Про-034"": 6.0166, ""Про-035"": 6.0166, ""Про-036"": 6.0166, ""Про-037"": 8.5325, ""Про-038"": 7.4509, ""Про-039"": 8.1701, ""Про-040"": 7.6898, ""Про-041"": 8.4967, ""Про-042"": 9.6025, ""Про-043"": 8.809, ""Про-044"": 8.5892, ""Про-045"": 8.4102, ""Про-046"": 8.6947, ""Про-047"": 12.7944, ""Про-048"": 11.2344}",True
w352158431,Гербовецкая улица,44,4,46.5,5.5164,Про-028,Главная улица,5.5164,0.0,21,"{""Про-028"": 5.5164, ""Про-029"": 7.3171, ""Про-030"": 6.4429, ""Про-031"": 5.5164, ""Про-032"": 9.4556, ""Про-033"": 6.1183, ""Про-034"": 5.5762, ""Про-035"": 5.5762, ""Про-036"": 5.5762, ""Про-037"": 8.2697, ""Про-038"": 7.0105, ""Про-039"": 7.9073, ""Про-040"": 7.427, ""Про-041"": 8.2339, ""Про-042"": 9.1621, ""Про-043"": 8.5462, ""Про-044"": 8.3264, ""Про-045"": 8.1474, ""Про-046"": 8.4319, ""Про-047"": 12.9937, ""Про-048"": 10.9716}",True
w352158480,Гербовецкая улица,45,4,19.6,5.8363,Про-028,Главная улица,5.8363,0.0,21,"{""Про-028"": 5.8363, ""Про-029"": 7.4593, ""Про-030"": 6.7628, ""Про-031"": 5.8363, ""Про-032"": 9.7755, ""Про-033"": 6.4382, ""Про-034"": 5.8961, ""Про-035"": 5.8961, ""Про-036"": 5.8961, ""Про-037"": 8.4119, ""Про-038"": 7.3304, ""Про-039"": 8.0495, ""Про-040"": 7.5692, ""Про-041"": 8.3761, ""Про-042"": 9.482, ""Про-043"": 8.6884, ""Про-044"": 8.4687, ""Про-045"": 8.2896, ""Про-046"": 8.5741, ""Про-047"": 12.6738, ""Про-048"": 11.1138}",True
w352158426,Гербовецкая улица,46,4,33.5,5.5164,Про-028,Главная улица,5.5164,0.0,21,"{""Про-028"": 5.5164, ""Про-029"": 7.3171, ""Про-030"": 6.4429, ""Про-031"": 5.5164, ""Про-032"": 9.4556, ""Про-033"": 6.1183, ""Про-034"": 5.5762, ""Про-035"": 5.5762, ""Про-036"": 5.5762, ""Про-037"": 8.2697, ""Про-038"": 7.0105, ""Про-039"": 7.9073, ""Про-040"": 7.427, ""Про-041"": 8.2339, ""Про-042"": 9.1621, ""Про-043"": 8.5462, ""Про-044"": 8.3264, ""Про-045"": 8.1474, ""Про-046"": 8.4319, ""Про-047"": 12.9937, ""Про-048"": 10.9716}",True
w352160183,Гербовецкая улица,47,4,31.5,5.8363,Про-028,Главная улица,5.8363,0.0,21,"{""Про-028"": 5.8363, ""Про-029"": 7.4593, ""Про-030"": 6.7628, ""Про-031"": 5.8363, ""Про-032"": 9.7755, ""Про-033"": 6.4382, ""Про-034"": 5.8961, ""Про-035"": 5.8961, ""Про-036"": 5.8961, ""Про-037"": 8.4119, ""Про-038"": 7.3304, ""Про-039"": 8.0495, ""Про-040"": 7.5692, ""Про-041"": 8.3761, ""Про-042"": 9.482, ""Про-043"": 8.6884, ""Про-044"": 8.4687, ""Про-045"": 8.2896, ""Про-046"": 8.5741, ""Про-047"": 12.6738, ""Про-048"": 11.1138}",True
w352158429,Гербовецкая улица,48,4,28.2,5.5164,Про-028,Главная улица,5.5164,0.0,21,"{""Про-028"": 5.5164, ""Про-029"": 7.3171, ""Про-030"": 6.4429, ""Про-031"": 5.5164, ""Про-032"": 9.4556, ""Про-033"": 6.1183, ""Про-034"": 5.5762, ""Про-035"": 5.5762, ""Про-036"": 5.5762, ""Про-037"": 8.2697, ""Про-038"": 7.0105, ""Про-039"": 7.9073, ""Про-040"": 7.427, ""Про-041"": 8.2339, ""Про-042"": 9.1621, ""Про-043"": 8.5462, ""Про-044"": 8.3264, ""Про-045"": 8.1474, ""Про-046"": 8.4319, ""Про-047"": 12.9937, ""Про-048"": 10.9716}",True
w352160184,Гербовецкая улица,49,4,46.9,5.8363,Про-028,Главная улица,5.8363,0.0,21,"{""Про-028"": 5.8363, ""Про-029"": 7.4593, ""Про-030"": 6.7628, ""Про-031"": 5.8363, ""Про-032"": 9.7755, ""Про-033"": 6.4382, ""Про-034"": 5.8961, ""Про-035"": 5.8961, ""Про-036"": 5.8961, ""Про-037"": 8.4119, ""Про-038"": 7.3304, ""Про-039"": 8.0495, ""Про-040"": 7.5692, ""Про-041"": 8.3761, ""Про-042"": 9.482, ""Про-043"": 8.6884, ""Про-044"": 8.4687, ""Про-045"": 8.2896, ""Про-046"": 8.5741, ""Про-047"": 12.6738, ""Про-048"": 11.1138}",True
w352156653,Гербовецкая улица,50,4,19.6,5.5164,Про-028,Главная улица,5.5164,0.0,21,"{""Про-028"": 5.5164, ""Про-029"": 7.3171, ""Про-030"": 6.4429, ""Про-031"": 5.5164, ""Про-032"": 9.4556, ""Про-033"": 6.1183, ""Про-034"": 5.5762, ""Про-035"": 5.5762, ""Про-036"": 5.5762, ""Про-037"": 8.2697, ""Про-038"": 7.0105, ""Про-039"": 7.9073, ""Про-040"": 7.427, ""Про-041"": 8.2339, ""Про-042"": 9.1621, ""Про-043"": 8.5462, ""Про-044"": 8.3264, ""Про-045"": 8.1474, ""Про-046"": 8.4319, ""Про-047"": 12.9937, ""Про-048"": 10.9716}",True
w352156651,Гербовецкая улица,52,4,32.4,5.5164,Про-028,Главная улица,5.5164,0.0,21,"{""Про-028"": 5.5164, ""Про-029"": 7.3171, ""Про-030"": 6.4429, ""Про-031"": 5.5164, ""Про-032"": 9.4556, ""Про-033"": 6.1183, ""Про-034"": 5.5762, ""Про-035"": 5.5762, ""Про-036"": 5.5762, ""Про-037"": 8.2697, ""Про-038"": 7.0105, ""Про-039"": 7.9073, ""Про-040"": 7.427, ""Про-041"": 8.2339, ""Про-042"": 9.1621, ""Про-043"": 8.5462, ""Про-044"": 8.3264, ""Про-045"": 8.1474, ""Про-046"": 8.4319, ""Про-047"": 12.9937, ""Про-048"": 10.9716}",True
w352156650,Гербовецкая улица,54,4,32.1,5.581,Про-028,Главная улица,5.581,0.0,21,"{""Про-028"": 5.581, ""Про-029"": 7.2526, ""Про-030"": 6.5074, ""Про-031"": 5.581, ""Про-032"": 9.5202, ""Про-033"": 6.1828, ""Про-034"": 5.6407, ""Про-035"": 5.6407, ""Про-036"": 5.6407, ""Про-037"": 8.2052, ""Про-038"": 7.0751, ""Про-039"": 7.8427, ""Про-040"": 7.3624, ""Про-041"": 8.1693, ""Про-042"": 9.2266, ""Про-043"": 8.4816, ""Про-044"": 8.2619, ""Про-045"": 8.0829, ""Про-046"": 8.3674, ""Про-047"": 12.9291, ""Про-048"": 10.9071}",True
w352160189,Гербовецкая улица,55,4,98.8,5.8363,Про-028,Главная улица,5.8363,0.0,21,"{""Про-028"": 5.8363, ""Про-029"": 7.4593, ""Про-030"": 6.7628, ""Про-031"": 5.8363, ""Про-032"": 9.7755, ""Про-033"": 6.4382, ""Про-034"": 5.8961, ""Про-035"": 5.8961, ""Про-036"": 5.8961, ""Про-037"": 8.4119, ""Про-038"": 7.3304, ""Про-039"": 8.0495, ""Про-040"": 7.5692, ""Про-041"": 8.3761, ""Про-042"": 9.482, ""Про-043"": 8.6884, ""Про-044"": 8.4687, ""Про-045"": 8.2896, ""Про-046"": 8.5741, ""Про-047"": 12.6738, ""Про-048"": 11.1138}",True
w315108146,Гербовецкая улица,58,4,41.3,5.741,Про-028,Главная улица,5.741,0.0,21,"{""Про-028"": 5.741, ""Про-029"": 7.364, ""Про-030"": 6.6675, ""Про-031"": 5.741, ""Про-032"": 9.6802, ""Про-033"": 6.3428, ""Про-034"": 5.8007, ""Про-035"": 5.8007, ""Про-036"": 5.8007, ""Про-037"": 8.3166, ""Про-038"": 7.2351, ""Про-039"": 7.9542, ""Про-040"": 7.4739, ""Про-041"": 8.2808, ""Про-042"": 9.3867, ""Про-043"": 8.5931, ""Про-044"": 8.3734, ""Про-045"": 8.1943, ""Про-046"": 8.4788, ""Про-047"": 12.787, ""Про-048"": 11.0185}",True
w315108143,Гербовецкая улица,60,4,22.2,5.741,Про-028,Главная улица,5.741,0.0,21,"{""Про-028"": 5.741, ""Про-029"": 7.364, ""Про-030"": 6.6675, ""Про-031"": 5.741, ""Про-032"": 9.6802, ""Про-033"": 6.3428, ""Про-034"": 5.8007, ""Про-035"": 5.8007, ""Про-036"": 5.8007, ""Про-037"": 8.3166, ""Про-038"": 7.2351, ""Про-039"": 7.9542, ""Про-040"": 7.4739, ""Про-041"": 8.2808, ""Про-042"": 9.3867, ""Про-043"": 8.5931, ""Про-044"": 8.3734, ""Про-045"": 8.1943, ""Про-046"": 8.4788, ""Про-047"": 12.787, ""Про-048"": 11.0185}",True
w315108139,Гербовецкая улица,62,4,17.4,5.7665,Про-028,Главная улица,5.7665,0.0,21,"{""Про-028"": 5.7665, ""Про-029"": 7.3896, ""Про-030"": 6.693, ""Про-031"": 5.7665, ""Про-032"": 9.7057, ""Про-033"": 6.3684, ""Про-034"": 5.8263, ""Про-035"": 5.8263, ""Про-036"": 5.8263, ""Про-037"": 8.3422, ""Про-038"": 7.2606, ""Про-039"": 7.9797, ""Про-040"": 7.4994, ""Про-041"": 8.3064, ""Про-042"": 9.4122, ""Про-043"": 8.6186, ""Про-044"": 8.3989, ""Про-045"": 8.2199, ""Про-046"": 8.5044, ""Про-047"": 12.8125, ""Про-048"": 11.0441}",True
