uid,settlement_ru,district_ru,street_ru,housenumber,lat,lon,snap_distance_m,snapped_name,nearest_road_name,nearest_road_highway,nearest_road_dist_m
n4919312070,Бендеры,Борисовка,1-й Братский переулок,1 А,46.83975,29.46641,16.8,1-й Братский переулок,1-й Братский переулок,residential,18.4
w319402241,Бендеры,Борисовка,1-й Братский переулок,12,46.83973,29.46712,13.7,1-й Братский переулок,1-й Братский переулок,residential,15.3
w319305814,Бендеры,Борисовка,1-й Братский переулок,14,46.83952,29.46691,14.3,1-й переулок Петровского,1-й Братский переулок,residential,16.0
n2325729678,Бендеры,Борисовка,1-й Братский переулок,16,46.84051,29.46561,14.7,1-й Братский переулок,1-й Братский переулок,residential,16.7
n2325729685,Бендеры,Борисовка,1-й Братский переулок,23,46.84032,29.4653,16.3,1-й Братский переулок,1-й Братский переулок,residential,17.7
w319141459,Бендеры,Борисовка,1-й переулок Петровского,1,46.84028,29.4682,13.2,1-й переулок Петровского,1-й переулок Петровского,residential,16.3
w319141457,Бендеры,Борисовка,1-й переулок Петровского,3,46.84005,29.46795,13.8,1-й переулок Петровского,1-й переулок Петровского,residential,17.3
w319615907,Бендеры,Борисовка,1-й переулок Петровского,4,46.84037,29.46777,18.7,1-й переулок Петровского,1-й переулок Петровского,residential,22.6
w319615909,Бендеры,Борисовка,1-й переулок Петровского,6,46.84021,29.46768,13.3,1-й переулок Петровского,1-й переулок Петровского,residential,15.8
w319402243,Бендеры,Борисовка,1-й переулок Петровского,10,46.83991,29.46725,20.2,1-й переулок Петровского,1-й переулок Петровского,residential,24.8
w319141434,Бендеры,Борисовка,1-й переулок Петровского,11,46.83934,29.4672,15.5,1-й переулок Петровского,1-й переулок Петровского,residential,19.4
w319227866,Бендеры,Борисовка,1-й переулок Петровского,16,46.83938,29.46664,21.4,1-й переулок Петровского,1-й переулок Петровского,residential,25.8
n2325366583,Бендеры,Борисовка,1-й переулок Петровского,29,46.83911,29.46661,5.2,1-й переулок Петровского,1-й переулок Петровского,residential,5.9
w319305819,Бендеры,Борисовка,2-й Братский переулок,1,46.84019,29.46706,14.7,2-й Братский переулок,2-й Братский переулок,residential,16.5
n2325729693,Бендеры,Борисовка,2-й Братский переулок,2,46.84021,29.46734,0.0,2-й Братский переулок,2-й Братский переулок,residential,0.2
w319615908,Бендеры,Борисовка,2-й Братский переулок,3,46.84044,29.46666,11.0,2-й Братский переулок,2-й Братский переулок,residential,12.3
w351855709,Бендеры,Борисовка,2-й Братский переулок,5,46.8406,29.46625,15.8,2-й Братский переулок,2-й Братский переулок,residential,17.5
n4919312077,Бендеры,Борисовка,2-й Братский переулок,6 Б,46.84018,29.46759,8.8,2-й Братский переулок,2-й Братский переулок,residential,9.7
w351855710,Бендеры,Борисовка,2-й Братский переулок,7,46.84056,29.46604,29.0,2-й Братский переулок,2-й Братский переулок,residential,32.2
w351855713,Бендеры,Борисовка,2-й Братский переулок,9,46.84081,29.46587,14.7,2-й Братский переулок,2-й Братский переулок,residential,16.3
n2325729692,Бендеры,Борисовка,2-й Братский переулок,12,46.84097,29.46596,3.6,2-й Братский переулок,2-й Братский переулок,residential,4.1
w319141416,Бендеры,Борисовка,2-й переулок Петровского,4,46.83959,29.46828,21.9,2-й переулок Петровского,2-й переулок Петровского,residential,24.7
w319141422,Бендеры,Борисовка,2-й переулок Петровского,4,46.83919,29.46862,13.4,2-й переулок Петровского,2-й переулок Петровского,residential,19.3
w319141417,Бендеры,Борисовка,2-й переулок Петровского,5,46.83979,29.46769,13.0,2-й переулок Петровского,2-й переулок Петровского,residential,15.0
w319141418,Бендеры,Борисовка,2-й переулок Петровского,8,46.83973,29.4679,17.1,2-й переулок Петровского,2-й переулок Петровского,residential,19.6
n5708918557,Бендеры,Борисовка,2-й переулок Петровского,15,46.83952,29.46763,13.8,2-й переулок Петровского,2-й переулок Петровского,residential,14.7
w319139366,Бендеры,Борисовка,2-й переулок Петровского,45,46.8389,29.46863,9.1,2-й переулок Петровского,2-й переулок Петровского,residential,13.2
w317148593,Бендеры,Борисовка,Безымянный переулок,23,46.83218,29.46566,25.8,улица Бендерского Восстания,улица Бендерского Восстания,primary,36.1
w209273615,Бендеры,Борисовка,Безымянный переулок,42,46.8328,29.46519,27.4,улица Бендерского Восстания,улица Бендерского Восстания,primary,38.2
w317055539,Бендеры,Борисовка,Безымянный переулок,44,46.83267,29.46526,18.3,улица Бендерского Восстания,улица Бендерского Восстания,primary,25.6
w209273643,Бендеры,Борисовка,Безымянный переулок,46,46.83247,29.46516,19.6,улица Бендерского Восстания,улица Бендерского Восстания,primary,27.5
w209273632,Бендеры,Борисовка,Безымянный переулок,48,46.83237,29.46467,15.5,Безымянный переулок,Безымянный переулок,residential,16.0
w209273614,Бендеры,Борисовка,Безымянный переулок,50в,46.83211,29.46422,14.2,,Безымянный переулок,residential,22.1
w318090595,Бендеры,Борисовка,Безымянный переулок,63,46.83269,29.46339,21.8,Безымянный переулок,Безымянный переулок,residential,22.7
w319139357,Бендеры,Борисовка,Бельцкая улица,1,46.83796,29.46588,17.3,Бельцкая улица,Бельцкая улица,tertiary,17.7
w318185745,Бендеры,Борисовка,Бельцкая улица,2,46.83772,29.46673,12.4,Бельцкая улица,Бельцкая улица,tertiary,12.0
n4580309456,Бендеры,Борисовка,Бельцкая улица,3,46.83802,29.4661,23.2,Бельцкая улица,Бельцкая улица,tertiary,23.6
w318058451,Бендеры,Борисовка,Бельцкая улица,4,46.83776,29.46784,12.1,Бельцкая улица,Бельцкая улица,tertiary,11.8
w319139352,Бендеры,Борисовка,Бельцкая улица,5,46.83814,29.46626,35.8,Бельцкая улица,Бельцкая улица,tertiary,36.3
w319139353,Бендеры,Борисовка,Бельцкая улица,7,46.83802,29.46662,21.3,Бельцкая улица,Бельцкая улица,tertiary,21.7
w318058455,Бендеры,Борисовка,Бельцкая улица,8,46.83776,29.46809,13.0,Бельцкая улица,Бельцкая улица,tertiary,12.8
w319139349,Бендеры,Борисовка,Бельцкая улица,9,46.83813,29.46695,32.4,Бельцкая улица,Бельцкая улица,tertiary,32.7
n2325366580,Бендеры,Борисовка,Бельцкая улица,10,46.8378,29.46938,17.2,Бельцкая улица,Бельцкая улица,tertiary,17.4
w319139344,Бендеры,Борисовка,Бельцкая улица,11,46.83818,29.46734,36.5,Бельцкая улица,Бельцкая улица,tertiary,36.8
w319135683,Бендеры,Борисовка,Бельцкая улица,13,46.83802,29.46769,17.4,Бельцкая улица,Бельцкая улица,tertiary,17.6
w532689734,Бендеры,Борисовка,Бельцкая улица,14,46.83803,29.47001,9.7,Бельцкая улица,Бельцкая улица,tertiary,10.0
w319139342,Бендеры,Борисовка,Бельцкая улица,15,46.83803,29.46792,17.6,Бельцкая улица,Бельцкая улица,tertiary,17.9
w306219486,Бендеры,Борисовка,Бельцкая улица,16,46.83835,29.471,15.5,Бельцкая улица,Бельцкая улица,tertiary,16.1
w319139341,Бендеры,Борисовка,Бельцкая улица,17,46.83804,29.46817,17.7,Бельцкая улица,Бельцкая улица,tertiary,18.0
w306219483,Бендеры,Борисовка,Бельцкая улица,18,46.83844,29.47124,15.6,Бельцкая улица,Бельцкая улица,tertiary,16.4
w319139339,Бендеры,Борисовка,Бельцкая улица,19,46.83804,29.46836,17.0,Бельцкая улица,Бельцкая улица,tertiary,17.2
w306219470,Бендеры,Борисовка,Бельцкая улица,20,46.83852,29.47146,16.1,Бельцкая улица,Бельцкая улица,tertiary,16.8
w319135680,Бендеры,Борисовка,Бельцкая улица,21,46.83811,29.46864,23.7,Бельцкая улица,Бельцкая улица,tertiary,23.9
w306219469,Бендеры,Борисовка,Бельцкая улица,22,46.83857,29.47169,19.7,Бельцкая улица,Бельцкая улица,tertiary,20.8
w318701784,Бендеры,Борисовка,Бельцкая улица,23,46.83809,29.46898,20.3,Бельцкая улица,Бельцкая улица,tertiary,20.5
w306219468,Бендеры,Борисовка,Бельцкая улица,24,46.83868,29.47196,19.1,Бельцкая улица,Бельцкая улица,tertiary,20.1
w318701782,Бендеры,Борисовка,Бельцкая улица,25,46.8381,29.46916,19.6,Бельцкая улица,Бельцкая улица,tertiary,20.2
w306219466,Бендеры,Борисовка,Бельцкая улица,26,46.83879,29.47215,15.4,Бельцкая улица,Бельцкая улица,tertiary,16.3
w317148288,Бендеры,Борисовка,Бельцкая улица,27,46.83832,29.46977,27.3,Бельцкая улица,Бельцкая улица,tertiary,29.6
w306219465,Бендеры,Борисовка,Бельцкая улица,28,46.83886,29.47235,16.0,Бельцкая улица,Бельцкая улица,tertiary,17.0
w209267155,Бендеры,Борисовка,Бельцкая улица,29,46.83729,29.46554,17.2,,Кишинёвская улица,primary,39.7
w318701773,Бендеры,Борисовка,Бельцкая улица,33,46.83867,29.47085,21.1,Бельцкая улица,Бельцкая улица,tertiary,23.0
w295571380,Бендеры,Борисовка,Бельцкая улица,33б,46.83838,29.46475,17.0,Кишинёвская улица,Кишинёвская улица,primary,21.6
w318058442,Бендеры,Борисовка,Бельцкая улица,34,46.83773,29.46745,13.9,Бельцкая улица,Бельцкая улица,tertiary,13.6
w318701778,Бендеры,Борисовка,Бельцкая улица,35,46.83874,29.47112,18.0,Бельцкая улица,Бельцкая улица,tertiary,19.5
w319144223,Бендеры,Борисовка,Бельцкая улица,36/36а,46.83991,29.47534,24.1,Бельцкая улица,Бельцкая улица,tertiary,25.4
w318701780,Бендеры,Борисовка,Бельцкая улица,37,46.83885,29.4714,18.2,Бельцкая улица,Бельцкая улица,tertiary,19.8
w318701795,Бендеры,Борисовка,Бельцкая улица,41,46.83899,29.4717,20.8,Бельцкая улица,Бельцкая улица,tertiary,22.3
w318701803,Бендеры,Борисовка,Бельцкая улица,43,46.83908,29.47201,18.0,Бельцкая улица,Бельцкая улица,tertiary,19.3
w318701805,Бендеры,Борисовка,Бельцкая улица,45,46.83916,29.47224,17.2,Бельцкая улица,Бельцкая улица,tertiary,18.5
w532689732,Бендеры,Борисовка,Бельцкая улица,49,46.83936,29.47263,22.2,Бельцкая улица,Бельцкая улица,tertiary,23.6
w318701862,Бендеры,Борисовка,Бельцкая улица,51,46.83947,29.47283,25.5,Бельцкая улица,Бельцкая улица,tertiary,26.9
w318702082,Бендеры,Борисовка,Бельцкая улица,55,46.83976,29.47354,27.3,Бельцкая улица,Бельцкая улица,tertiary,28.9
w318702083,Бендеры,Борисовка,Бельцкая улица,57,46.83978,29.47383,18.5,Бельцкая улица,Бельцкая улица,tertiary,19.6
w318185749,Бендеры,Борисовка,Бельцкая улица,92,46.83746,29.46629,27.1,Кишинёвская улица,Кишинёвская улица,primary,33.9
w318072708,Бендеры,Борисовка,Бельцкая улица,94,46.83767,29.46619,16.0,Бельцкая улица,Бельцкая улица,tertiary,15.6
n2325366572,Бендеры,Борисовка,Бельцкая улица,98,46.83762,29.46581,5.8,Кишинёвская улица,Кишинёвская улица,primary,7.3
n2325366573,Бендеры,Борисовка,Бельцкая улица,100,46.8379,29.46556,6.5,Кишинёвская улица,Кишинёвская улица,primary,8.3
w319139358,Бендеры,Борисовка,Бельцкая улица,104,46.83811,29.46571,28.7,Кишинёвская улица,Бельцкая улица,tertiary,35.0
w319139372,Бендеры,Борисовка,Бельцкая улица,106,46.83827,29.46567,35.8,Кишинёвская улица,Кишинёвская улица,primary,45.2
n2337855688,Бендеры,Борисовка,Братская улица,7,46.84135,29.46616,15.3,Братская улица,Братская улица,residential,19.1
w297047299,Бендеры,Борисовка,Братская улица,8,46.84149,29.46573,20.2,Братская улица,Братская улица,residential,24.5
w297047300,Бендеры,Борисовка,Братская улица,10,46.84134,29.46557,19.9,Братская улица,Братская улица,residential,24.2
n2337855692,Бендеры,Борисовка,Братская улица,11,46.84119,29.46598,15.0,Братская улица,Братская улица,residential,18.8
w319615914,Бендеры,Борисовка,Братская улица,12,46.84118,29.46549,14.1,Братская улица,Братская улица,residential,17.0
n5682775200,Бендеры,Борисовка,Братская улица,12/1,46.84116,29.4654,18.2,Братская улица,Братская улица,residential,22.0
n2337855693,Бендеры,Борисовка,Братская улица,13,46.84086,29.46562,15.7,Братская улица,Братская улица,residential,19.2
w319620058,Бендеры,Борисовка,Братская улица,14,46.84102,29.46529,15.2,Братская улица,Братская улица,residential,18.5
n2325729703,Бендеры,Борисовка,Братская улица,22,46.8404,29.46467,9.8,Братская улица,Братская улица,residential,11.8
n2325729718,Бендеры,Борисовка,Варницкий тупик,1,46.84126,29.4639,15.3,Варницкий тупик,Варницкий тупик,residential,16.9
w352110120,Бендеры,Борисовка,Варницкий тупик,9,46.84118,29.4642,9.3,Варницкий тупик,Варницкий тупик,residential,9.9
n2325729715,Бендеры,Борисовка,Варницкий тупик,13,46.84175,29.46295,22.4,Варницкий тупик,Варницкий тупик,residential,25.9
w352667478,Бендеры,Борисовка,Варницкий тупик,14,46.84195,29.46341,17.7,Варницкий тупик,Варницкий тупик,residential,20.0
w352667476,Бендеры,Борисовка,Варницкий тупик,16,46.84209,29.4632,18.3,Варницкий тупик,Варницкий тупик,residential,20.8
n2337985509,Бендеры,Хомутяновка,Гербовецкая улица,1,46.82229,29.44966,27.3,Гербовецкая улица,Гербовецкая улица,tertiary,27.2
w352064505,Бендеры,Хомутяновка,Гербовецкая улица,4,46.82282,29.45124,28.6,Гербовецкая улица,Гербовецкая улица,tertiary,29.0
w352064507,Бендеры,Хомутяновка,Гербовецкая улица,6,46.82282,29.45095,29.0,Гербовецкая улица,Гербовецкая улица,tertiary,29.2
w352161715,Бендеры,Хомутяновка,Гербовецкая улица,8,46.82283,29.45075,30.4,Гербовецкая улица,Гербовецкая улица,tertiary,30.5
w352161714,Бендеры,Хомутяновка,Гербовецкая улица,10,46.82286,29.45051,34.0,Гербовецкая улица,Гербовецкая улица,tertiary,34.1
w352161713,Бендеры,Хомутяновка,Гербовецкая улица,12,46.82281,29.45031,28.8,Гербовецкая улица,Гербовецкая улица,tertiary,28.7
w352161711,Бендеры,Хомутяновка,Гербовецкая улица,14,46.8229,29.44996,39.5,Гербовецкая улица,Гербовецкая улица,tertiary,39.3
w352161710,Бендеры,Хомутяновка,Гербовецкая улица,16,46.82279,29.44979,27.9,Гербовецкая улица,Гербовецкая улица,tertiary,27.8
w352161708,Бендеры,Хомутяновка,Гербовецкая улица,18,46.82291,29.44956,42.0,Гербовецкая улица,Гербовецкая улица,tertiary,41.9
w352161709,Бендеры,Хомутяновка,Гербовецкая улица,20,46.82279,29.44933,29.4,Гербовецкая улица,Гербовецкая улица,tertiary,29.4
w352161707,Бендеры,Хомутяновка,Гербовецкая улица,22,46.82277,29.44907,27.9,Гербовецкая улица,Гербовецкая улица,tertiary,28.1
w352161706,Бендеры,Хомутяновка,Гербовецкая улица,24,46.82277,29.44882,28.6,Гербовецкая улица,Гербовецкая улица,tertiary,28.8
w352161705,Бендеры,Хомутяновка,Гербовецкая улица,26,46.82286,29.4486,39.2,Гербовецкая улица,Гербовецкая улица,tertiary,39.4
w352161717,Бендеры,Хомутяновка,Гербовецкая улица,28,46.8229,29.44848,43.9,Гербовецкая улица,Гербовецкая улица,tertiary,44.1
w352161704,Бендеры,Хомутяновка,Гербовецкая улица,30,46.82286,29.4483,39.9,Гербовецкая улица,Гербовецкая улица,tertiary,40.2
n2321951519,Бендеры,Хомутяновка,Гербовецкая улица,43,46.82272,29.45425,7.0,Гербовецкая улица,Гербовецкая улица,tertiary,7.5
n4919309516,Бендеры,Хомутяновка,Гербовецкая улица,45,46.82268,29.45376,20.7,Гербовецкая улица,Гербовецкая улица,tertiary,21.1
w320440076,Бендеры,Хомутяновка,Гербовецкая улица,49,46.82239,29.45112,19.0,Гербовецкая улица,Гербовецкая улица,tertiary,18.6
w353974419,Бендеры,Хомутяновка,Главная улица,1,46.81534,29.45005,18.1,Главная улица,Главная улица,residential,22.9
w353974255,Бендеры,Хомутяновка,Главная улица,3,46.81566,29.45017,21.5,Главная улица,Главная улица,residential,31.3
w318084711,Бендеры,Хомутяновка,Глинная улица,1,46.82536,29.45396,11.3,Глинная улица,Глинная улица,residential,11.7
w318548578,Бендеры,Хомутяновка,Глинная улица,3,46.8252,29.45382,25.8,Глинная улица,Глинная улица,residential,26.4
w318548576,Бендеры,Хомутяновка,Глинная улица,5,46.82527,29.4535,12.1,Глинная улица,Глинная улица,residential,12.4
w318548577,Бендеры,Хомутяновка,Глинная улица,7,46.82526,29.45334,10.0,Глинная улица,Глинная улица,residential,10.3
w318084713,Бендеры,Хомутяновка,Глинная улица,9,46.82547,29.45446,9.2,Глинная улица,Глинная улица,residential,9.6
w315109557,Бендеры,Хомутяновка,Дачная улица,1,46.81806,29.45861,20.4,Дачная улица,Дачная улица,residential,28.7
w315109558,Бендеры,Хомутяновка,Дачная улица,3,46.8179,29.45852,18.4,Дачная улица,Дачная улица,residential,25.9
w318406782,Бендеры,Хомутяновка,Дачная улица,4,46.81831,29.45821,16.2,Дачная улица,Дачная улица,residential,22.7
w318406783,Бендеры,Хомутяновка,Дачная улица,6,46.81816,29.45814,17.0,Дачная улица,Дачная улица,residential,23.9
w318406789,Бендеры,Хомутяновка,Дачная улица,8,46.81802,29.45805,19.6,Дачная улица,Дачная улица,residential,27.6
w318406792,Бендеры,Хомутяновка,Дачная улица,10,46.81787,29.45804,16.0,Дачная улица,Дачная улица,residential,22.6
w299956671,Бендеры,Хомутяновка,Деповская улица,5,46.82875,29.47155,22.3,Деповская улица,Деповская улица,residential,29.1
w317051444,Бендеры,Хомутяновка,Железнодорожная улица,3,46.82824,29.46123,18.5,Железнодорожная улица,Железнодорожная улица,residential,25.7
w317149176,Бендеры,Хомутяновка,Железнодорожная улица,4,46.82959,29.46123,20.2,Железнодорожная улица,Железнодорожная улица,residential,28.6
w317051443,Бендеры,Хомутяновка,Железнодорожная улица,5,46.82812,29.4612,19.6,Железнодорожная улица,Железнодорожная улица,residential,27.3
w317149175,Бендеры,Хомутяновка,Железнодорожная улица,6,46.82945,29.46121,17.6,Железнодорожная улица,Железнодорожная улица,residential,25.1
w317051442,Бендеры,Хомутяновка,Железнодорожная улица,7,46.82797,29.46118,22.3,Железнодорожная улица,Железнодорожная улица,residential,31.2
w317051499,Бендеры,Хомутяновка,Железнодорожная улица,8,46.82924,29.4611,19.7,Железнодорожная улица,Железнодорожная улица,residential,27.9
w317051441,Бендеры,Хомутяновка,Железнодорожная улица,9,46.82786,29.46107,17.2,Железнодорожная улица,Железнодорожная улица,residential,24.1
w317051496,Бендеры,Хомутяновка,Железнодорожная улица,10,46.82895,29.46103,16.5,Железнодорожная улица,Железнодорожная улица,residential,23.4
w317051439,Бендеры,Хомутяновка,Железнодорожная улица,11,46.82775,29.46105,18.8,Железнодорожная улица,Железнодорожная улица,residential,26.3
w317051432,Бендеры,Хомутяновка,Железнодорожная улица,13,46.8276,29.46101,20.0,Железнодорожная улица,Железнодорожная улица,residential,28.1
w317051487,Бендеры,Хомутяновка,Железнодорожная улица,16,46.82831,29.46076,18.1,Железнодорожная улица,Железнодорожная улица,residential,25.8
n9170522018,Бендеры,Хомутяновка,Железнодорожная улица,17,46.82737,29.46078,9.5,Железнодорожная улица,Железнодорожная улица,residential,13.3
w317051467,Бендеры,Хомутяновка,Железнодорожная улица,18,46.82817,29.46072,17.1,Железнодорожная улица,Железнодорожная улица,residential,24.5
w317051466,Бендеры,Хомутяновка,Железнодорожная улица,20,46.82803,29.46064,19.2,Железнодорожная улица,Железнодорожная улица,residential,27.2
w316645121,Бендеры,Хомутяновка,Железнодорожная улица,21,46.82698,29.46078,20.9,Железнодорожная улица,улица Спартака,residential,26.9
w317051464,Бендеры,Хомутяновка,Железнодорожная улица,22,46.82788,29.46059,18.7,Железнодорожная улица,Железнодорожная улица,residential,26.5
w316645120,Бендеры,Хомутяновка,Железнодорожная улица,23,46.82688,29.46069,17.3,Железнодорожная улица,Железнодорожная улица,residential,24.3
w317051462,Бендеры,Хомутяновка,Железнодорожная улица,24,46.82775,29.46052,20.2,Железнодорожная улица,Железнодорожная улица,residential,28.7
w317051457,Бендеры,Хомутяновка,Железнодорожная улица,26,46.82762,29.46048,19.6,Железнодорожная улица,Железнодорожная улица,residential,27.7
w316645010,Бендеры,Хомутяновка,Железнодорожная улица,27,46.82661,29.46061,19.6,Железнодорожная улица,Железнодорожная улица,residential,27.6
w316645009,Бендеры,Хомутяновка,Железнодорожная улица,29,46.8265,29.46054,17.8,Железнодорожная улица,Железнодорожная улица,residential,25.1
w316645008,Бендеры,Хомутяновка,Железнодорожная улица,31,46.82637,29.46053,21.0,Железнодорожная улица,Железнодорожная улица,residential,29.6
w316645007,Бендеры,Хомутяновка,Железнодорожная улица,33,46.82625,29.46046,19.5,Железнодорожная улица,Железнодорожная улица,residential,27.5
w316785287,Бендеры,Хомутяновка,Железнодорожная улица,34,46.82693,29.46015,23.7,Железнодорожная улица,Железнодорожная улица,residential,33.2
w561469641,Бендеры,Хомутяновка,Железнодорожная улица,36,46.82679,29.46008,24.6,Железнодорожная улица,Железнодорожная улица,residential,34.4
w316758837,Бендеры,Хомутяновка,Железнодорожная улица,38,46.82664,29.46004,23.0,Железнодорожная улица,Железнодорожная улица,residential,32.1
w315618139,Бендеры,Хомутяновка,Железнодорожная улица,39,46.82567,29.46022,19.7,Железнодорожная улица,Железнодорожная улица,residential,27.8
w316758836,Бендеры,Хомутяновка,Железнодорожная улица,40,46.82651,29.46002,20.5,Железнодорожная улица,Железнодорожная улица,residential,28.7
w315618140,Бендеры,Хомутяновка,Железнодорожная улица,41,46.82555,29.46017,19.8,Железнодорожная улица,Железнодорожная улица,residential,28.0
w316665822,Бендеры,Хомутяновка,Железнодорожная улица,42,46.82637,29.45995,21.5,Железнодорожная улица,Железнодорожная улица,residential,29.9
w315618141,Бендеры,Хомутяновка,Железнодорожная улица,43,46.82542,29.46011,19.5,Железнодорожная улица,Железнодорожная улица,residential,27.5
w315618142,Бендеры,Хомутяновка,Железнодорожная улица,45,46.82529,29.46006,19.9,Железнодорожная улица,Железнодорожная улица,residential,28.1
w315618133,Бендеры,Хомутяновка,Железнодорожная улица,47,46.82517,29.46002,20.7,Железнодорожная улица,Железнодорожная улица,residential,29.2
w315618160,Бендеры,Хомутяновка,Железнодорожная улица,48,46.82573,29.45969,20.9,Железнодорожная улица,Железнодорожная улица,residential,28.9
w315618131,Бендеры,Хомутяновка,Железнодорожная улица,49,46.82503,29.46,23.6,Железнодорожная улица,Железнодорожная улица,residential,33.3
w315618161,Бендеры,Хомутяновка,Железнодорожная улица,50,46.82556,29.45964,19.2,Железнодорожная улица,Железнодорожная улица,residential,26.6
w315618129,Бендеры,Хомутяновка,Железнодорожная улица,51,46.82492,29.45991,20.5,Железнодорожная улица,Железнодорожная улица,residential,28.9
w315618165,Бендеры,Хомутяновка,Железнодорожная улица,52,46.82541,29.45957,19.7,Железнодорожная улица,Железнодорожная улица,residential,27.2
w184989544,Бендеры,Хомутяновка,Железнодорожная улица,52а,46.82973,29.46329,56.7,,улица Бендерского Восстания,primary,104.9
w315425254,Бендеры,Хомутяновка,Железнодорожная улица,53,46.82479,29.45987,21.5,Железнодорожная улица,Железнодорожная улица,residential,30.5
w315618154,Бендеры,Хомутяновка,Железнодорожная улица,54,46.82529,29.45938,29.8,Железнодорожная улица,Железнодорожная улица,residential,41.3
w315425247,Бендеры,Хомутяновка,Железнодорожная улица,55,46.8246,29.45998,35.6,Железнодорожная улица,переулок Лермонтова,residential,42.9
w315618155,Бендеры,Хомутяновка,Железнодорожная улица,56,46.82514,29.4594,23.6,Железнодорожная улица,Железнодорожная улица,residential,32.7
w315425245,Бендеры,Хомутяновка,Железнодорожная улица,57,46.82451,29.45982,26.7,Железнодорожная улица,переулок Лермонтова,residential,29.8
w315425252,Бендеры,Хомутяновка,Железнодорожная улица,58,46.82497,29.4594,18.3,Железнодорожная улица,Железнодорожная улица,residential,25.3
w315425250,Бендеры,Хомутяновка,Железнодорожная улица,60,46.82483,29.45934,18.4,Железнодорожная улица,Железнодорожная улица,residential,25.3
w315425248,Бендеры,Хомутяновка,Железнодорожная улица,62,46.82468,29.45929,17.4,Железнодорожная улица,Железнодорожная улица,residential,23.9
w315193170,Бендеры,Хомутяновка,Железнодорожная улица,63,46.82405,29.45957,21.9,Железнодорожная улица,переулок Лермонтова,residential,25.4
w315193163,Бендеры,Хомутяновка,Железнодорожная улица,65,46.82391,29.45952,22.1,Железнодорожная улица,Железнодорожная улица,residential,31.4
w315193149,Бендеры,Хомутяновка,Железнодорожная улица,67,46.8238,29.45947,21.4,Железнодорожная улица,Железнодорожная улица,residential,30.5
w315425219,Бендеры,Хомутяновка,Железнодорожная улица,68,46.82414,29.45908,16.6,Железнодорожная улица,Железнодорожная улица,residential,23.2
w315193143,Бендеры,Хомутяновка,Железнодорожная улица,69,46.82367,29.45944,22.8,Железнодорожная улица,Железнодорожная улица,residential,32.4
w315425218,Бендеры,Хомутяновка,Железнодорожная улица,70,46.82398,29.459,18.2,Железнодорожная улица,Железнодорожная улица,residential,25.4
w315108372,Бендеры,Хомутяновка,Железнодорожная улица,71,46.82355,29.45947,28.3,Железнодорожная улица,Железнодорожная улица,residential,40.1
w315193130,Бендеры,Хомутяновка,Железнодорожная улица,72,46.82385,29.45889,22.7,Железнодорожная улица,Железнодорожная улица,residential,31.8
w315108371,Бендеры,Хомутяновка,Железнодорожная улица,73,46.82342,29.45933,21.6,Железнодорожная улица,Железнодорожная улица,residential,30.6
w315193155,Бендеры,Хомутяновка,Железнодорожная улица,74,46.82369,29.4589,17.5,Железнодорожная улица,Железнодорожная улица,residential,24.6
w315108370,Бендеры,Хомутяновка,Железнодорожная улица,75,46.82328,29.45928,21.8,Железнодорожная улица,Железнодорожная улица,residential,30.8
w315108369,Бендеры,Хомутяновка,Железнодорожная улица,77,46.82315,29.45923,21.9,Железнодорожная улица,Железнодорожная улица,residential,30.7
w315193133,Бендеры,Хомутяновка,Железнодорожная улица,80,46.82317,29.45869,18.4,Железнодорожная улица,Железнодорожная улица,residential,26.1
w302074717,Бендеры,Хомутяновка,Железнодорожная улица,85,46.82253,29.45896,20.0,Железнодорожная улица,улица Добродеева,residential,26.5
w302074724,Бендеры,Хомутяновка,Железнодорожная улица,86,46.82262,29.45847,18.5,Железнодорожная улица,Железнодорожная улица,residential,26.2
w302074719,Бендеры,Хомутяновка,Железнодорожная улица,87,46.82237,29.45891,21.2,Железнодорожная улица,Железнодорожная улица,residential,29.5
w302074718,Бендеры,Хомутяновка,Железнодорожная улица,88,46.82247,29.45842,17.8,Железнодорожная улица,Железнодорожная улица,residential,25.0
w302074720,Бендеры,Хомутяновка,Железнодорожная улица,89,46.8222,29.45888,24.0,Железнодорожная улица,улица Старого,tertiary,24.5
w297019342,Бендеры,Хомутяновка,Железнодорожная улица,90,46.82228,29.45834,18.0,Железнодорожная улица,улица Старого,tertiary,22.2
w209287641,Бендеры,Хомутяновка,Железнодорожная улица,93,46.82046,29.45813,9.5,,Железнодорожная улица,residential,25.9
w318406781,Бендеры,Хомутяновка,Железнодорожная улица,95,46.81846,29.45739,20.8,Железнодорожная улица,Железнодорожная улица,residential,29.2
w318406779,Бендеры,Хомутяновка,Железнодорожная улица,97а,46.81822,29.45728,20.0,Железнодорожная улица,Железнодорожная улица,residential,27.4
w209287691,Бендеры,Хомутяновка,Железнодорожная улица,98,46.82064,29.45758,27.1,Железнодорожная улица,Железнодорожная улица,residential,38.3
w209287682,Бендеры,Хомутяновка,Железнодорожная улица,100,46.81957,29.45721,9.3,,Железнодорожная улица,residential,33.4
w302067664,Бендеры,Хомутяновка,Железнодорожная улица,102,46.81925,29.4571,22.8,Железнодорожная улица,Железнодорожная улица,residential,32.1
w302067666,Бендеры,Хомутяновка,Железнодорожная улица,104,46.81908,29.45718,12.1,Железнодорожная улица,Железнодорожная улица,residential,17.1
