settlement,street_ru,osm_ids,confirmed_addresses,confirmed_residential_buildings,probable_residential_buildings,apartment_buildings,nonresidential_buildings,outbuildings,abandoned_or_ruin,official_web_evidence,civic_or_commercial_pois,connected_to_core,distance_to_core_by_road_km,demand_tier,affects_zone_pricing,service_status,reason
bender_core,улица Кавриаго,87502094,163,213,37,0,2,0,0,False,9,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Калашникова,87496982;222986023;225093059,88,80,62,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Калинина,87496983;87497007;87497010;87502092,114,121,52,1,1,0,3,False,61,True,0.0,A,True,standard,apartment_building
bender_core,улица Карбышева,222702909,69,97,4,0,0,0,0,False,1,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Кирова,41851869;162030338;162030339;222913850,124,153,41,2,1,1,0,False,15,True,0.0,A,True,standard,apartment_building
bender_core,улица Клары Цеткин,91850342,62,49,33,0,1,0,0,False,3,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Космонавтов,63221789;133021427,15,14,3,0,1,0,0,False,2,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Кошевого,91850344,33,31,13,0,1,0,0,False,1,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Крупской,115331520,9,9,0,0,0,0,0,False,2,False,2.208,A,True,standard,confirmed_addresses>=5
bender_core,улица Крянгэ,161630390,41,29,39,0,0,0,0,False,7,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Куйбышева,223691987,37,35,26,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Курило,47475976,8,8,2,0,0,0,0,False,1,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Ленина,87497002;87506322;87506339;252579181;447634961;737790966;1421552719;1421552723,86,59,15,2,5,2,0,False,92,True,0.0,A,True,standard,apartment_building
bender_core,улица Лермонтова,91850364,66,46,94,0,1,0,0,False,5,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Ломоносова,209668149;222986022;223904548,51,49,23,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Луначарского,402416688,11,11,2,1,0,0,0,False,0,False,2.241,A,True,standard,apartment_building
bender_core,улица Матросова,91850361,86,75,66,0,0,0,0,False,1,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Мацнева,103643506;1354904243,5,5,0,0,0,3,0,False,1,True,0.03,A,True,standard,confirmed_addresses>=5
bender_core,улица Маяковского,41749658;326375586,104,143,13,0,0,1,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Менделеева,165943499,41,39,12,0,0,6,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Мира,115331483,55,55,42,0,0,1,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Мичурина,165943510,56,56,19,0,0,1,0,False,7,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Некрасова,41844062;47475964;222913052;697846845;697846846,162,238,20,0,1,0,0,False,10,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Няги,115331480;161126080;225251753;525053224,50,70,9,0,0,4,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Осипенко,45858827,72,72,53,0,0,0,0,False,2,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Островского,87496995,27,41,2,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Павлика Морозова,209668156,18,11,3,0,4,0,0,True,16,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Павлова,165943506,60,59,10,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Панфилова,91850333,38,33,34,1,0,1,0,False,8,True,0.0,A,True,standard,apartment_building
bender_core,улица Петровского,60739704;165763754,60,48,32,0,1,0,0,False,4,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Пирогова,165943498,28,26,13,1,0,0,0,False,1,True,0.0,A,True,standard,apartment_building
bender_core,улица Победы,161630393,11,6,2,0,0,0,0,False,10,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Ползунова,45858826,88,86,73,0,1,0,0,False,1,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Полоза,91850338,29,25,8,0,1,0,0,False,3,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Правды,222660149;222699797,44,63,3,0,1,0,0,False,1,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Пугачёва,222776786,17,17,8,0,0,0,0,False,1,False,,A,True,standard,confirmed_addresses>=5
bender_core,улица Пушкина,41851867,70,93,35,5,2,0,0,False,19,True,0.0,A,True,standard,apartment_building
bender_core,улица Разина,91430822,64,64,23,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Сергея Лазо,41749660;132957182;132957190;486331269;492733881;680056523;680056527;680304256,53,48,32,0,7,0,0,False,86,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Сергея Ревенялэ,161635491;184989518,26,39,9,3,0,0,0,False,1,True,0.0,A,True,standard,apartment_building
bender_core,улица Советской Армии,115331475,48,48,29,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Спартака,91850340,80,76,51,0,1,0,0,False,1,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Старого,525055331;680093938;680093941,73,60,46,0,1,0,0,False,22,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Строителей,115331515,20,17,9,0,0,0,0,False,1,False,1.109,A,True,standard,confirmed_addresses>=5
bender_core,улица Тамары Кручок,91430809;133021421;225103997;225103998;415353917;707303800,127,104,68,0,0,0,0,False,10,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Тельмана,165943500,45,45,12,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Тимирязева,133021436;161126084;485074279,18,16,9,1,0,0,0,False,10,False,1.512,A,True,standard,apartment_building
bender_core,улица Титова,116073586;161630389;385234575;493891920;813128462,113,90,109,0,0,0,0,False,9,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Ткаченко,38633095;397621434;410027398;410027399,153,208,19,0,1,0,0,False,13,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Толбухина,115331424;225241700,58,79,22,0,0,1,0,False,1,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Толстого,91850341,45,38,20,0,3,0,0,False,10,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Тургенева,87496996;161630394,32,48,4,0,0,1,0,False,1,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Урицкого,47475967,44,56,0,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Франко,225249096;1354893071,16,19,4,0,0,3,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Фрунзе,165943501,31,27,21,0,0,6,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Халтурина,161635492,29,35,10,3,0,0,0,False,2,True,0.0,A,True,standard,apartment_building
bender_core,улица Чайковского,64717017,29,26,14,0,0,0,0,False,4,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Чапаева,161126085,39,69,2,0,0,0,0,False,1,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Чернышевского,224958524,11,7,12,0,0,0,0,False,0,False,,A,True,standard,confirmed_addresses>=5
bender_core,улица Чехова,87496994,43,39,16,0,0,0,0,False,7,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Чкалова,222660150,34,35,10,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Шевченко,87506355,91,117,17,0,0,1,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Шестакова,223422015;276790974;276790975;393488077,137,163,44,0,2,0,0,False,16,True,0.0,A,True,standard,confirmed_addresses>=5
bender_core,улица Щорса,87496985,34,44,13,0,0,0,0,False,1,True,0.0,A,True,standard,confirmed_addresses>=5
bender_lipcani,1-й переулок Кутузова,60739720;223965549,25,25,8,0,2,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_lipcani,2-й переулок Кутузова,160164525;404772352,27,27,6,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_lipcani,Колхозная улица,136388032,52,52,26,3,0,0,0,False,0,True,0.0,A,True,standard,apartment_building
bender_lipcani,Колхозный переулок,161631166,33,30,16,1,0,0,0,False,0,True,0.0,A,True,standard,apartment_building
bender_lipcani,Красивая улица,159915378,32,32,11,4,0,0,0,False,1,True,0.0,A,True,standard,apartment_building
bender_lipcani,Парканская улица,160164527;223673317,30,29,13,1,0,0,0,False,2,True,0.0,A,True,standard,apartment_building
bender_lipcani,Пограничный переулок,160024304,11,9,15,3,1,0,0,False,2,True,0.0,A,True,standard,apartment_building
bender_lipcani,Подольская улица,161627667;541604656;541604657,24,24,21,4,0,0,0,False,0,True,0.0,A,True,standard,apartment_building
bender_lipcani,Подольский переулок,96821662,21,18,13,0,1,0,0,False,1,True,0.0,A,True,standard,confirmed_addresses>=5
bender_lipcani,переулок Грибоедова,160166705,11,11,6,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_lipcani,переулок Иона Солтыса,165636730,14,14,10,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
bender_lipcani,переулок Энгельса,223694600,5,5,8,0,1,0,0,True,0,True,0.0,A,True,standard,confirmed_addresses>=5
