corridor,district,streets_in_order,mandatory_way_count,mandatory_way_ids,forward_km,reverse_km,all_mandatory_ways_traversed_fwd,all_mandatory_ways_traversed_rev,detour_arrival_problems,oneway_asymmetric_by_TAGS,turn_restrictions_touching_corridor,true_shortest_free_km,road_truth_verdict,graph_proof,graph_sha256,cross_engine,source,owner_review_required
BORISOVKA,Борисовка,Тираспольская улица -> улица Титова -> Кишинёвская улица -> улица Богдана Хмельницкого -> улица 50 лет ВЛКСМ -> улица Осипенко,6,"228367336,116073586,63221794,46581879,222986033,45858827",10.5197,9.6706,True,True,,True,0,5.1884,CORRIDOR_FULLY_TRAVERSABLE_BOTH_DIRECTIONS,FULL_MOLDOVA_PBF_CONFIRMED,09ba0c058e89faac…,INSUFFICIENT_EVIDENCE (GraphHopper/Valhalla/ORS need JVM/Docker),generated from stage10b-corridor-*.csv (no hardcoded values),True
KHOMUTYANOVKA_A,Хомутяновка,улица Дружбы -> улица Ечина -> улица Старого,3,"45858821,63221780,525055331",7.374,7.2955,True,True,,False,0,4.5986,CORRIDOR_FULLY_TRAVERSABLE_BOTH_DIRECTIONS,FULL_MOLDOVA_PBF_CONFIRMED,09ba0c058e89faac…,INSUFFICIENT_EVIDENCE (GraphHopper/Valhalla/ORS need JVM/Docker),generated from stage10b-corridor-*.csv (no hardcoded values),True
KHOMUTYANOVKA_B,Хомутяновка,Московская улица -> Первомайская улица -> улица Некрасова -> улица Ечина -> улица Старого,5,"404564011,133021433,697846845,63221780,525055331",7.67,8.3801,True,True,,False,1,4.5986,CORRIDOR_FULLY_TRAVERSABLE_BOTH_DIRECTIONS,FULL_MOLDOVA_PBF_CONFIRMED,09ba0c058e89faac…,INSUFFICIENT_EVIDENCE (GraphHopper/Valhalla/ORS need JVM/Docker),generated from stage10b-corridor-*.csv (no hardcoded values),True
PROTYAGAILOVKA,Протягайловка,улица Старого -> улица Мира,2,"525055331,223691988",6.8657,6.882,True,True,,False,0,5.087,CORRIDOR_FULLY_TRAVERSABLE_BOTH_DIRECTIONS,FULL_MOLDOVA_PBF_CONFIRMED,09ba0c058e89faac…,INSUFFICIENT_EVIDENCE (GraphHopper/Valhalla/ORS need JVM/Docker),generated from stage10b-corridor-*.csv (no hardcoded values),True
