source,kind,uid,district,detail,owner_review_required
stage-09b-crossings,BROKEN_CONNECTIVITY,318126158,rail-corridor,"service  @ 46.823785,29.466521",True
stage-09b-crossings,BROKEN_CONNECTIVITY,318126158,rail-corridor,"service  @ 46.823887,29.466641",True
stage-09b-crossings,BROKEN_CONNECTIVITY,318126158,rail-corridor,"service  @ 46.82488,29.467583",True
stage-09b-crossings,BROKEN_CONNECTIVITY,318126158,rail-corridor,"service  @ 46.824844,29.467533",True
stage-09b-crossings,UNKNOWN_OWNER_REVIEW,757851053,rail-corridor,"service  @ 46.827692,29.46859",True
stage-09b-crossings,BROKEN_CONNECTIVITY,757872450,rail-corridor,"service  @ 46.821237,29.468059",True
stage-09b-crossings,BROKEN_CONNECTIVITY,857747822,rail-corridor,"service  @ 46.837292,29.476381",True
stage-09b-crossings,BROKEN_CONNECTIVITY,857747822,rail-corridor,"service  @ 46.837301,29.476755",True
stage-09b-crossings,BROKEN_CONNECTIVITY,857747822,rail-corridor,"service  @ 46.837303,29.476839",True
stage-09b-crossings,BROKEN_CONNECTIVITY,857747822,rail-corridor,"service  @ 46.837306,29.476957",True
stage-09b-crossings,BROKEN_CONNECTIVITY,857747822,rail-corridor,"service  @ 46.837305,29.476894",True
stage-09b-crossings,BROKEN_CONNECTIVITY,857747822,rail-corridor,"service  @ 46.837295,29.476524",True
stage-09b-crossings,BROKEN_CONNECTIVITY,857747822,rail-corridor,"service  @ 46.837297,29.476596",True
stage-09b-crossings,BROKEN_CONNECTIVITY,857747822,rail-corridor,"service  @ 46.83729,29.476299",True
stage-09b-crossings,BROKEN_CONNECTIVITY,857747822,rail-corridor,"service  @ 46.837299,29.476669",True
stage-09b-crossings,BROKEN_CONNECTIVITY,857747822,rail-corridor,"service  @ 46.837288,29.476234",True
stage-09b-crossings,BROKEN_CONNECTIVITY,857747822,rail-corridor,"service  @ 46.837286,29.47617",True
