canonical_address,full_address_ru,display_address_ru,settlement_ru,district_ru,street_ru,housenumber,coordinate_spread_m,candidate_uid,lon,lat,expected_km,status,resolution,direct_export_eligible
бендеры||улица 40 лет победы|34,"Бендеры, улица 40 лет Победы, дом 34",улица 40 лет Победы,Бендеры,,улица 40 лет Победы,34,574,w165439301,29.46189,46.85259,4.921,disputed,owner_review_required,False
бендеры||улица 40 лет победы|34,"Бендеры, улица 40 лет Победы, дом 34",улица 40 лет Победы,Бендеры,,улица 40 лет Победы,34,574,w225186331,29.46545,46.84742,4.646,disputed,owner_review_required,False
бендеры||улица шестакова|22,"Бендеры, улица Шестакова, дом 22",улица Шестакова,Бендеры,,улица Шестакова,22,947,w165625178,29.48804,46.8246,1.07,disputed,owner_review_required,False
бендеры||улица шестакова|22,"Бендеры, улица Шестакова, дом 22",улица Шестакова,Бендеры,,улица Шестакова,22,947,w224685219,29.48319,46.81607,1.485,disputed,owner_review_required,False
бендеры||тираспольская улица|4,"Бендеры, Тираспольская улица, дом 4",Тираспольская улица,Бендеры,,Тираспольская улица,4,691,w165627813,29.48602,46.82827,1.511,disputed,owner_review_required,False
бендеры||тираспольская улица|4,"Бендеры, Тираспольская улица, дом 4",Тираспольская улица,Бендеры,,Тираспольская улица,4,691,w165631112,29.47693,46.83077,1.359,disputed,owner_review_required,False
бендеры||тираспольская улица|4,"Бендеры, Тираспольская улица, дом 4",Тираспольская улица,Бендеры,,Тираспольская улица,4,691,w295081489,29.47787,46.83019,1.327,disputed,owner_review_required,False
бендеры||улица дзержинского|1а,"Бендеры, улица Дзержинского, дом 1А",улица Дзержинского,Бендеры,,улица Дзержинского,1А,1252,w165631089,29.47601,46.8312,1.478,disputed,owner_review_required,False
бендеры||улица дзержинского|1а,"Бендеры, улица Дзержинского, дом 1А",улица Дзержинского,Бендеры,,улица Дзержинского,1А,1252,w211496788,29.47103,46.81992,1.962,disputed,owner_review_required,False
бендеры||улица клары цеткин|1,"Бендеры, улица Клары Цеткин, дом 1",улица Клары Цеткин,Бендеры,,улица Клары Цеткин,1,281,w184989542,29.46977,46.83453,4.055,disputed,owner_review_required,False
бендеры||улица клары цеткин|1,"Бендеры, улица Клары Цеткин, дом 1",улица Клары Цеткин,Бендеры,,улица Клары Цеткин,1,281,w316027888,29.4691,46.83543,3.932,disputed,owner_review_required,False
бендеры||улица клары цеткин|1,"Бендеры, улица Клары Цеткин, дом 1",улица Клары Цеткин,Бендеры,,улица Клары Цеткин,1,281,w532689768,29.47016,46.83706,3.733,disputed,owner_review_required,False
бендеры||улица спартака|7,"Бендеры, улица Спартака, дом 7",улица Спартака,Бендеры,,улица Спартака,7,468,w184989558,29.46346,46.8262,4.973,disputed,owner_review_required,False
бендеры||улица спартака|7,"Бендеры, улица Спартака, дом 7",улица Спартака,Бендеры,,улица Спартака,7,468,w317053521,29.4573,46.8278,5.443,disputed,owner_review_required,False
бендеры||улица панфилова|8,"Бендеры, улица Панфилова, дом 8",улица Панфилова,Бендеры,,улица Панфилова,8,328,w209267124,29.46193,46.83752,6.163,disputed,owner_review_required,False
бендеры||улица панфилова|8,"Бендеры, улица Панфилова, дом 8",улица Панфилова,Бендеры,,улица Панфилова,8,328,w209267185,29.46625,46.83517,5.686,disputed,owner_review_required,False
бендеры||улица богдана хмельницкого|32,"Бендеры, улица Богдана Хмельницкого, дом 32",улица Богдана Хмельницкого,Бендеры,,улица Богдана Хмельницкого,32,269,w209267133,29.46555,46.83343,5.578,disputed,owner_review_required,False
бендеры||улица богдана хмельницкого|32,"Бендеры, улица Богдана Хмельницкого, дом 32",улица Богдана Хмельницкого,Бендеры,,улица Богдана Хмельницкого,32,269,w319223035,29.46201,46.83462,5.915,disputed,owner_review_required,False
бендеры||улица панфилова|2,"Бендеры, улица Панфилова, дом 2",улица Панфилова,Бендеры,,улица Панфилова,2,256,w209267137,29.4632,46.83681,6.026,disputed,owner_review_required,False
бендеры||улица панфилова|2,"Бендеры, улица Панфилова, дом 2",улица Панфилова,Бендеры,,улица Панфилова,2,256,w209267182,29.46657,46.83588,5.744,disputed,owner_review_required,False
бендеры||улица богдана хмельницкого|30,"Бендеры, улица Богдана Хмельницкого, дом 30",улица Богдана Хмельницкого,Бендеры,,улица Богдана Хмельницкого,30,255,w209267143,29.46565,46.83368,5.578,disputed,owner_review_required,False
бендеры||улица богдана хмельницкого|30,"Бендеры, улица Богдана Хмельницкого, дом 30",улица Богдана Хмельницкого,Бендеры,,улица Богдана Хмельницкого,30,255,w319226813,29.4623,46.83483,5.897,disputed,owner_review_required,False
бендеры||улица панфилова|4,"Бендеры, улица Панфилова, дом 4",улица Панфилова,Бендеры,,улица Панфилова,4,302,w209267145,29.46256,46.83722,6.114,disputed,owner_review_required,False
бендеры||улица панфилова|4,"Бендеры, улица Панфилова, дом 4",улица Панфилова,Бендеры,,улица Панфилова,4,302,w209267168,29.46251,46.83753,6.154,disputed,owner_review_required,False
бендеры||улица панфилова|4,"Бендеры, улица Панфилова, дом 4",улица Панфилова,Бендеры,,улица Панфилова,4,302,w209267176,29.46649,46.83574,5.742,disputed,owner_review_required,False
бендеры||бельцкая улица|31,"Бендеры, Бельцкая улица, дом 31",Бельцкая улица,Бендеры,,Бельцкая улица,31,436,w209267187,29.46494,46.83782,4.091,disputed,owner_review_required,False
бендеры||бельцкая улица|31,"Бендеры, Бельцкая улица, дом 31",Бельцкая улица,Бендеры,,Бельцкая улица,31,436,w317148290,29.47068,46.83857,3.61,disputed,owner_review_required,False
бендеры||улица 50 лет влксм|3,"Бендеры, улица 50 лет ВЛКСМ, дом 3",улица 50 лет ВЛКСМ,Бендеры,,улица 50 лет ВЛКСМ,3,154,w209273581,29.4608,46.83064,5.735,disputed,owner_review_required,False
бендеры||улица 50 лет влксм|3,"Бендеры, улица 50 лет ВЛКСМ, дом 3",улица 50 лет ВЛКСМ,Бендеры,,улица 50 лет ВЛКСМ,3,154,w209273636,29.46142,46.8309,5.8,disputed,owner_review_required,False
бендеры||улица 50 лет влксм|3,"Бендеры, улица 50 лет ВЛКСМ, дом 3",улица 50 лет ВЛКСМ,Бендеры,,улица 50 лет ВЛКСМ,3,154,w318070644,29.45947,46.82951,5.782,disputed,owner_review_required,False
бендеры||улица 50 лет влксм|2а,"Бендеры, улица 50 лет ВЛКСМ, дом 2а",улица 50 лет ВЛКСМ,Бендеры,,улица 50 лет ВЛКСМ,2а,407,w209273605,29.45576,46.8282,5.615,disputed,owner_review_required,False
бендеры||улица 50 лет влксм|2а,"Бендеры, улица 50 лет ВЛКСМ, дом 2а",улица 50 лет ВЛКСМ,Бендеры,,улица 50 лет ВЛКСМ,2а,407,w317149171,29.46112,46.82994,5.658,disputed,owner_review_required,False
бендеры||улица 50 лет влксм|2а,"Бендеры, улица 50 лет ВЛКСМ, дом 2а",улица 50 лет ВЛКСМ,Бендеры,,улица 50 лет ВЛКСМ,2а,407,n4919309105,29.4559,46.82839,5.559,disputed,owner_review_required,False
бендеры||железнодорожная улица|25,"Бендеры, Железнодорожная улица, дом 25",Железнодорожная улица,Бендеры,,Железнодорожная улица,25,808,w209287694,29.45679,46.81947,4.79,disputed,owner_review_required,False
бендеры||железнодорожная улица|25,"Бендеры, Железнодорожная улица, дом 25",Железнодорожная улица,Бендеры,,Железнодорожная улица,25,808,w316645119,29.46064,46.82675,5.172,disputed,owner_review_required,False
