control_id,our_address,yandex_destination_label,yandex_destination_street,yandex_destination_house,destination_lat,destination_lon,flag,possible_cause,action,owner_review_required
MY-021,Светлая улица 5,Светлая улица,Светлая улица,,46.81967,29.5265,ADDRESS_ANCHOR_DISAGREEMENT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-022,улица Горького 1,"Тираспольское шоссе, 38А",Тираспольское шоссе,38А,46.83546,29.52788,STREET_NAME_VARIANT;HOUSE_NUMBER_DISAGREEMENT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-026,улица Маяковского 165,"улица Ворошилова, 165",улица Ворошилова,165,46.82127,29.52726,STREET_NAME_VARIANT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-027,улица Петра Николаева 39,"улица Петра Николаева, 37",улица Петра Николаева,37,46.84688,29.50622,HOUSE_NUMBER_DISAGREEMENT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-028,улица Пушкина 72,улица Пушкина,улица Пушкина,,46.8288,29.51517,ADDRESS_ANCHOR_DISAGREEMENT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-029,улица Романенко 14,улица Романенко,улица Романенко,,46.84806,29.51491,ADDRESS_ANCHOR_DISAGREEMENT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-030,улица Свердлова 100,улица Свердлова,улица Свердлова,,46.8609,29.50956,ADDRESS_ANCHOR_DISAGREEMENT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-031,улица Свердлова 53,улица Свердлова,улица Свердлова,,46.86074,29.50932,ADDRESS_ANCHOR_DISAGREEMENT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-032,улица Свердлова 98,улица Свердлова,улица Свердлова,,46.86077,29.50958,ADDRESS_ANCHOR_DISAGREEMENT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-034,улица Чапаева 37,улица Чапаева,улица Чапаева,,46.84179,29.52393,ADDRESS_ANCHOR_DISAGREEMENT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-036,Главная улица 24,"Протягайловская улица, 24",Протягайловская улица,24,46.81594,29.45069,STREET_NAME_VARIANT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-037,Главная улица 2а,"улица Бориса Главана, 2А",улица Бориса Главана,2А,46.81659,29.4511,STREET_NAME_VARIANT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-045,переулок Куйбышева 1,"улица Куйбышева, 1А",улица Куйбышева,1А,46.81849,29.45515,STREET_NAME_VARIANT;HOUSE_NUMBER_DISAGREEMENT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
MY-046,переулок Куйбышева 3,"улица Куйбышева, 3",улица Куйбышева,3,46.81868,29.455,STREET_NAME_VARIANT,Яндекс подписывает точку иначе; проверить привязку вручную,НЕ менять нашу адресную базу автоматически,True
