uid,district,street,house,current_zone,snap_m,true_shortest_km,current_osrm_km,current_minus_true_km,overstated_gt_10pct,owner_review_required
w306219466,Борисовка,Бельцкая улица,26,2,50.4,3.8228,4.1307,0.3079,False,True
w317148288,Борисовка,Бельцкая улица,27,3,29.8,4.1707,4.8016,0.6309,True,True
w306219465,Борисовка,Бельцкая улица,28,2,34.8,3.8228,4.1479,0.3251,False,True
w209267155,Борисовка,Бельцкая улица,29,4,17.4,4.2231,6.664,2.4409,True,True
w318701773,Борисовка,Бельцкая улица,33,2,68.4,3.7529,4.0376,0.2847,False,True
w295571380,Борисовка,Бельцкая улица,33б,2,18.9,4.0259,4.3743,0.3484,False,True
w318058442,Борисовка,Бельцкая улица,34,3,29.6,4.2229,4.6062,0.3833,False,True
w318701778,Борисовка,Бельцкая улица,35,2,65.1,3.7529,4.0594,0.3065,False,True
w319144223,Борисовка,Бельцкая улица,36/36а,2,29.8,3.2587,3.5915,0.3328,True,True
w318701780,Борисовка,Бельцкая улица,37,2,73.5,3.7529,4.084,0.3311,False,True
w318701795,Борисовка,Бельцкая улица,41,2,70.2,3.8228,4.1116,0.2888,False,True
w318701803,Борисовка,Бельцкая улица,43,2,45.3,3.8228,4.1371,0.3143,False,True
w318701805,Борисовка,Бельцкая улица,45,2,27.9,3.8228,4.1568,0.334,False,True
w532689732,Борисовка,Бельцкая улица,49,2,26.6,3.8228,4.1936,0.3708,False,True
w318701862,Борисовка,Бельцкая улица,51,2,26.1,3.8629,4.2129,0.35,False,True
w318702082,Борисовка,Бельцкая улица,55,2,63.0,3.8629,4.2759,0.413,True,True
w318702083,Борисовка,Бельцкая улица,57,2,79.3,3.8629,4.2963,0.4334,True,True
w318185749,Борисовка,Бельцкая улица,92,3,40.1,4.1965,4.5238,0.3273,False,True
w318072708,Борисовка,Бельцкая улица,94,3,50.1,4.1056,4.5099,0.4043,False,True
n2325366572,Борисовка,Бельцкая улица,98,3,27.4,4.1056,4.4891,0.3835,False,True
n2325366573,Борисовка,Бельцкая улица,100,2,11.7,4.1056,4.4526,0.347,False,True
w319139358,Борисовка,Бельцкая улица,104,2,36.9,4.1056,4.4391,0.3335,False,True
