uid,osm_type,osm_id,unit_type,settlement,street_ru,housenumber,tier,lon,lat,weight,expected_km,expected_min,central_km,central_min,bam_km,bam_min,worst_origin_km,band_k4,band_k5
w704801763,w,704801763,unaddressed_residential_building,bender_core,площадь Освобождения,,A,29.48259,46.8238,0.5,0.361,0.554,0.001,0.002,2.9341,4.607,2.976,1,1
w291432101,w,291432101,unaddressed_residential_building,bender_core,площадь Освобождения,,A,29.48255,46.82369,0.5,0.362,0.554,0.001,0.002,2.9366,4.61,2.978,1,1
w316018729,w,316018729,unaddressed_residential_building,bender_core,улица Сергея Лазо,,A,29.48253,46.82403,0.5,0.371,0.565,0.015,0.018,2.92,4.59,2.962,1,1
n7077586452,n,7077586452,standalone_address_node,bender_core,улица Сергея Лазо,16,A,29.48298,46.82408,1.0,0.375,0.571,0.014,0.018,2.9496,4.627,2.991,1,1
w700792421,w,700792421,unaddressed_residential_building,bender_core,улица Сергея Лазо,,A,29.48239,46.82426,0.5,0.385,0.575,0.034,0.042,2.9009,4.492,2.943,1,1
w160140429,w,160140429,unaddressed_residential_building,bender_core,улица Сергея Лазо,,A,29.48306,46.82393,0.5,0.387,0.586,0.026,0.033,2.9615,4.642,3.003,1,1
w290334285,w,290334285,unaddressed_residential_building,bender_core,улица Сергея Лазо,,A,29.48222,46.82411,0.5,0.388,0.584,0.039,0.047,2.9052,4.548,2.939,1,1
w700792420,w,700792420,unaddressed_residential_building,bender_core,улица Сергея Лазо,,A,29.48301,46.82381,0.5,0.388,0.587,0.028,0.035,2.9628,4.643,3.005,1,1
w165627327,w,165627327,unaddressed_residential_building,bender_core,улица Сергея Лазо,,A,29.4838,46.82439,0.5,0.417,0.622,0.057,0.07,2.9917,4.678,3.034,1,1
w162030333,w,162030333,addressed_residential_building,bender_core,улица Сергея Лазо,35,A,29.4838,46.82421,1.0,0.426,0.634,0.065,0.082,3.0006,4.69,3.043,1,1
n4196596589,n,4196596589,standalone_address_node,bender_core,улица Сергея Лазо,55,A,29.48421,46.82375,1.0,0.45,0.622,0.114,0.167,2.7729,3.693,3.091,1,1
w165627306,w,165627306,addressed_residential_building,bender_core,улица Сергея Лазо,20/1,A,29.4846,46.82358,1.0,0.457,0.63,0.122,0.175,2.7804,3.702,3.099,1,1
w700797282,w,700797282,unaddressed_residential_building,bender_core,улица Сергея Лазо,,A,29.48439,46.82361,0.5,0.46,0.633,0.124,0.178,2.7831,3.705,3.102,1,1
w165627348,w,165627348,addressed_residential_building,bender_core,площадь Освобождения,55A,A,29.48425,46.82361,1.0,0.463,0.635,0.127,0.18,2.7857,3.707,3.104,1,1
w700797283,w,700797283,unaddressed_residential_building,bender_core,улица Сергея Лазо,,A,29.48437,46.82355,0.5,0.466,0.64,0.131,0.185,2.7895,3.712,3.108,1,1
w353681480,w,353681480,unaddressed_residential_building,bender_core,улица Сергея Лазо,,A,29.48457,46.82348,0.5,0.469,0.642,0.133,0.187,2.7918,3.713,3.11,1,1
n4196580392,n,4196580392,standalone_address_node,bender_core,улица Сергея Лазо,55/2,A,29.48444,46.8234,1.0,0.48,0.655,0.145,0.2,2.8035,3.727,3.122,1,1
w323713303,w,323713303,addressed_residential_building,bender_core,площадь Освобождения,55/1,A,29.48416,46.82341,1.0,0.486,0.662,0.151,0.207,2.8094,3.733,3.128,1,1
w700797281,w,700797281,unaddressed_residential_building,bender_core,улица Сергея Лазо,,A,29.48466,46.82324,0.5,0.491,0.667,0.156,0.212,2.8145,3.738,3.133,1,1
w288717209,w,288717209,unaddressed_residential_building,bender_core,улица Сергея Лазо,,A,29.48448,46.82328,0.5,0.492,0.667,0.157,0.212,2.8151,3.738,3.134,1,1
w160140423,w,160140423,addressed_residential_building,bender_core,улица Сергея Лазо,18,A,29.4816,46.82432,1.0,0.496,0.848,0.115,0.328,3.3796,4.742,3.38,1,1
w642688096,w,642688096,unaddressed_residential_building,bender_core,улица Сергея Лазо,,A,29.48127,46.82467,0.5,0.496,0.67,0.131,0.162,3.2911,4.498,3.291,1,1
w288717207,w,288717207,addressed_residential_building,bender_core,площадь Освобождения,55,A,29.48412,46.82329,1.0,0.5,0.675,0.164,0.22,2.823,3.747,3.142,1,1
w303915653,w,303915653,unaddressed_residential_building,bender_core,площадь Освобождения,,A,29.48294,46.82361,0.5,0.501,0.783,0.165,0.328,2.8239,3.855,3.142,1,1
w700792419,w,700792419,unaddressed_residential_building,bender_core,площадь Освобождения,,A,29.48314,46.82354,0.5,0.503,0.792,0.168,0.337,2.8261,3.863,3.145,1,1
n1496142337,n,1496142337,standalone_address_node,bender_core,площадь Освобождения,28,A,29.48329,46.8235,1.0,0.504,0.797,0.169,0.342,2.8273,3.868,3.146,1,1
n1017949263,n,1017949263,standalone_address_node,bender_core,площадь Освобождения,28,A,29.48332,46.82342,1.0,0.511,0.825,0.176,0.37,2.8343,3.897,3.153,1,1
w354937308,w,354937308,unaddressed_residential_building,bender_core,площадь Освобождения,,A,29.48224,46.82389,0.5,0.518,0.94,0.138,0.42,3.4025,4.833,3.402,1,1
w305228145,w,305228145,unaddressed_residential_building,bender_core,площадь Освобождения,,A,29.48428,46.82305,0.5,0.521,0.698,0.185,0.243,2.8439,3.77,3.163,1,1
w161068055,w,161068055,addressed_residential_building,bender_core,площадь Освобождения,31,A,29.48218,46.82388,1.0,0.522,0.952,0.141,0.432,3.4055,4.845,3.405,1,1
w318088993,w,318088993,unaddressed_residential_building,bender_core,площадь Освобождения,,A,29.48445,46.82301,0.5,0.522,0.698,0.186,0.243,2.8448,3.77,3.163,1,1
w333963485,w,333963485,unaddressed_residential_building,bender_core,площадь Освобождения,,A,29.48188,46.8239,0.5,0.529,0.982,0.148,0.462,3.413,4.875,3.413,1,1
w305227128,w,305227128,unaddressed_residential_building,bender_core,площадь Освобождения,,A,29.48134,46.82405,0.5,0.531,0.992,0.151,0.472,3.4153,4.885,3.415,1,1
n3585409145,n,3585409145,standalone_address_node,bender_core,площадь Освобождения,17,A,29.48204,46.82371,1.0,0.542,1.035,0.161,0.515,3.426,4.928,3.426,1,1
w160140430,w,160140430,addressed_residential_building,bender_core,площадь Освобождения,17,A,29.48196,46.82362,1.0,0.542,1.035,0.161,0.515,3.426,4.928,3.426,1,1
w160140425,w,160140425,addressed_residential_building,bender_core,улица Калинина,18б,A,29.48104,46.82423,1.0,0.551,1.013,0.178,0.503,3.3869,4.85,3.387,1,1
w694291438,w,694291438,unaddressed_residential_building,bender_core,улица Сергея Лазо,,A,29.48013,46.82485,0.5,0.558,0.746,0.219,0.27,3.2028,4.39,3.203,1,1
w162030335,w,162030335,addressed_residential_building,bender_core,улица Ленина,57,A,29.48399,46.82276,1.0,0.559,0.738,0.223,0.283,2.8818,3.81,3.2,1,1
w164987486,w,164987486,addressed_residential_building,bender_core,улица Сергея Лазо,29,A,29.48035,46.82528,1.0,0.561,0.751,0.224,0.277,3.1985,4.383,3.199,1,1
w307935596,w,307935596,unaddressed_residential_building,bender_core,улица Сергея Лазо,,A,29.48109,46.82502,0.5,0.563,1.063,0.198,0.545,3.3583,4.942,3.358,1,1
w96821618,w,96821618,addressed_residential_building,bender_core,улица Сергея Лазо,31,A,29.48113,46.8251,1.0,0.563,1.063,0.198,0.545,3.3583,4.942,3.358,1,1
w136387824,w,136387824,addressed_residential_building,bender_core,улица Сергея Лазо,33,A,29.48185,46.82484,1.0,0.567,1.029,0.202,0.512,3.3621,4.908,3.362,1,1
w333963486,w,333963486,addressed_residential_building,bender_core,улица Ленина,57,A,29.4838,46.82271,1.0,0.569,0.75,0.234,0.295,2.8925,3.822,3.211,1,1
w164985957,w,164985957,addressed_residential_building,bender_core,улица Калинина,23,A,29.48066,46.82425,1.0,0.572,1.1,0.2,0.59,3.4082,4.937,3.408,1,1
w318089918,w,318089918,unaddressed_residential_building,bender_core,улица Сергея Лазо,,A,29.47964,46.82468,0.5,0.576,0.769,0.246,0.303,3.1766,4.357,3.177,1,1
w292460882,w,292460882,unaddressed_residential_building,bender_core,улица Сергея Лазо,,A,29.47974,46.82488,0.5,0.578,0.772,0.248,0.307,3.1745,4.353,3.175,1,1
w161068054,w,161068054,addressed_residential_building,bender_core,улица Сергея Лазо,16,A,29.47979,46.82503,1.0,0.58,0.774,0.251,0.31,3.1709,4.35,3.171,1,1
w160140432,w,160140432,addressed_residential_building,bender_core,улица Калинина,18а,A,29.48077,46.82456,1.0,0.587,1.158,0.214,0.648,3.423,4.995,3.423,1,1
w709615524,w,709615524,unaddressed_residential_building,bender_core,улица Калинина,,A,29.48154,46.82531,0.5,0.587,1.153,0.222,0.635,3.3825,5.032,3.382,1,1
w162030337,w,162030337,unaddressed_residential_building,bender_core,улица Калинина,,A,29.48009,46.82457,0.5,0.591,0.934,0.243,0.457,3.2874,4.587,3.287,1,1
w164987476,w,164987476,addressed_residential_building,bender_core,улица Сергея Лазо,27,A,29.47988,46.82565,1.0,0.596,0.794,0.274,0.338,3.1487,4.322,3.149,1,1
w96821731,w,96821731,addressed_residential_building,bender_core,улица Калинина,21,A,29.4812,46.8256,1.0,0.609,1.234,0.244,0.717,3.4041,5.113,3.404,1,1
w164985953,w,164985953,addressed_residential_building,bender_core,улица Калинина,31а,A,29.48168,46.82549,1.0,0.613,1.377,0.289,0.885,2.9955,4.997,3.004,1,1
w320386977,w,320386977,unaddressed_residential_building,bender_core,улица Калинина,,A,29.48003,46.82432,0.5,0.619,1.001,0.271,0.523,3.3155,4.653,3.316,1,1
w701061681,w,701061681,unaddressed_residential_building,bender_core,улица Калинина,,A,29.47982,46.82419,0.5,0.633,1.036,0.285,0.558,3.3297,4.688,3.33,1,1
w305226283,w,305226283,unaddressed_residential_building,bender_core,улица Ленина,,A,29.48439,46.82274,0.5,0.649,0.938,0.314,0.483,2.9722,4.01,3.291,1,1
n6504596690,n,6504596690,standalone_address_node,bender_core,площадь Освобождения,20,A,29.48306,46.82247,1.0,0.654,0.973,0.318,0.518,2.9769,4.045,3.295,1,1
n8411901617,n,8411901617,standalone_address_node,bender_core,площадь Освобождения,30,A,29.48302,46.82208,1.0,0.654,0.84,0.319,0.385,2.9773,3.912,3.296,1,1
w694714148,w,694714148,unaddressed_residential_building,bender_core,улица Ленина,,A,29.48456,46.82291,0.5,0.654,0.945,0.318,0.49,2.9769,4.017,3.295,1,1
w290326313,w,290326313,addressed_residential_building,bender_core,площадь Освобождения,30,A,29.48287,46.8221,1.0,0.656,0.843,0.32,0.388,2.9788,3.915,3.297,1,1
w222823677,w,222823677,addressed_residential_building,bender_core,площадь Освобождения,28/1,A,29.48288,46.82224,1.0,0.657,0.983,0.321,0.528,2.9796,4.055,3.298,1,1
n6618672841,n,6618672841,standalone_address_node,bender_core,улица Ленина,21,A,29.48436,46.82249,1.0,0.659,0.952,0.323,0.497,2.9818,4.023,3.3,1,1
w164987468,w,164987468,unaddressed_residential_building,bender_core,Коммунистическая улица,,A,29.47949,46.8257,0.5,0.661,0.883,0.361,0.467,3.0611,4.143,3.061,1,1
w96821630,w,96821630,addressed_residential_building,bender_core,улица Гагарина,2,A,29.4822,46.82609,1.0,0.663,1.581,0.346,1.112,2.9759,4.975,3.061,1,1
w290334284,w,290334284,unaddressed_residential_building,bender_core,площадь Освобождения,,A,29.48289,46.82332,0.5,0.665,1.052,0.329,0.597,2.9877,4.123,3.306,1,1
w291294918,w,291294918,addressed_residential_building,bender_core,площадь Освобождения,32,A,29.48278,46.82202,1.0,0.666,0.853,0.331,0.398,2.9893,3.925,3.308,1,1
n10966475925,n,10966475925,standalone_address_node,bender_core,площадь Освобождения,22,A,29.48294,46.82257,1.0,0.667,1.023,0.331,0.568,2.9897,4.095,3.308,1,1
w320386976,w,320386976,unaddressed_residential_building,bender_core,Коммунистическая улица,,A,29.47916,46.82507,0.5,0.667,0.954,0.366,0.548,3.1347,4.225,3.135,1,1
w320183175,w,320183175,unaddressed_residential_building,bender_core,площадь Освобождения,,A,29.4825,46.82199,0.5,0.675,0.863,0.34,0.408,2.9986,3.935,3.317,1,1
w285013139,w,285013139,addressed_residential_building,bender_core,улица Сергея Лазо,60,A,29.47863,46.82592,1.0,0.679,0.899,0.373,0.463,3.1414,4.288,3.141,1,1
w291294916,w,291294916,addressed_residential_building,bender_core,площадь Освобождения,34,A,29.48274,46.8219,1.0,0.68,0.868,0.344,0.413,3.0027,3.94,3.321,1,1
w222823678,w,222823678,unaddressed_residential_building,bender_core,площадь Освобождения,,A,29.48256,46.82231,0.5,0.682,1.085,0.346,0.63,3.0048,4.157,3.323,1,1
w704801759,w,704801759,unaddressed_residential_building,bender_core,площадь Освобождения,,A,29.48257,46.82192,0.5,0.682,0.87,0.346,0.415,3.0047,3.942,3.323,1,1
w291296559,w,291296559,unaddressed_residential_building,bender_core,Советская улица,,A,29.48233,46.82196,0.5,0.683,0.872,0.347,0.417,3.0058,3.943,3.324,1,1
w161068050,w,161068050,addressed_residential_building,bender_core,Советская улица,34,A,29.48238,46.82552,1.0,0.686,1.742,0.366,1.26,3.0312,5.263,3.081,1,1
w256217556,w,256217556,addressed_residential_building,bender_core,Коммунистическая улица,51,A,29.47952,46.82599,1.0,0.687,0.911,0.393,0.502,3.0297,4.108,3.03,1,1
w319151366,w,319151366,unaddressed_residential_building,bender_core,Советская улица,,A,29.48244,46.8219,0.5,0.687,0.877,0.351,0.422,3.0098,3.948,3.328,1,1
w256217557,w,256217557,unaddressed_residential_building,bender_core,Коммунистическая улица,,A,29.47975,46.82595,0.5,0.688,0.913,0.394,0.503,3.0286,4.107,3.029,1,1
w305226929,w,305226929,unaddressed_residential_building,bender_core,площадь Освобождения,,A,29.48243,46.82224,0.5,0.688,1.11,0.352,0.655,3.0111,4.182,3.33,1,1
w295020167,w,295020167,unaddressed_residential_building,bender_core,Коммунистическая улица,,A,29.47904,46.8261,0.5,0.689,0.913,0.395,0.503,3.0277,4.107,3.028,1,1
w291296557,w,291296557,unaddressed_residential_building,bender_core,Советская улица,,A,29.48229,46.82209,0.5,0.691,1.122,0.355,0.667,3.0141,4.193,3.333,1,1
w295020168,w,295020168,unaddressed_residential_building,bender_core,Коммунистическая улица,,A,29.47878,46.82618,0.5,0.691,0.915,0.397,0.507,3.0252,4.103,3.025,1,1
w704782167,w,704782167,unaddressed_residential_building,bender_core,Советская улица,,A,29.48231,46.82216,0.5,0.693,1.13,0.357,0.675,3.016,4.202,3.334,1,1
w134039473,w,134039473,addressed_residential_building,bender_core,площадь Освобождения,20,A,29.48252,46.82259,1.0,0.697,1.147,0.362,0.692,3.0202,4.218,3.339,1,1
w161068053,w,161068053,addressed_residential_building,bender_core,улица Ленина,15,A,29.47981,46.82408,1.0,0.697,1.254,0.378,0.842,3.3453,4.665,3.345,1,1
w161068051,w,161068051,unaddressed_residential_building,bender_core,Коммунистическая улица,,A,29.47902,46.82477,0.5,0.698,0.988,0.401,0.587,3.1693,4.263,3.169,1,1
w291294917,w,291294917,addressed_residential_building,bender_core,Московская улица,36,A,29.48261,46.82176,1.0,0.698,0.888,0.363,0.433,3.0213,3.96,3.34,1,1
n3581278391,n,3581278391,standalone_address_node,bender_core,площадь Освобождения,20,A,29.48255,46.82269,1.0,0.699,1.155,0.364,0.7,3.0225,4.227,3.341,1,1
w161058116,w,161058116,addressed_residential_building,bender_core,улица Калинина,19,A,29.48163,46.82591,1.0,0.704,1.69,0.348,1.215,2.9361,4.722,3.772,1,1
w222789266,w,222789266,addressed_residential_building,bender_core,Коммунистическая улица,58,A,29.479,46.82631,1.0,0.706,0.932,0.416,0.527,3.0067,4.083,3.007,1,1
w320388836,w,320388836,unaddressed_residential_building,bender_core,Советская улица,,A,29.48224,46.82236,0.5,0.706,1.183,0.371,0.728,3.0293,4.255,3.348,1,1
w165627299,w,165627299,addressed_residential_building,bender_core,Коммунистическая улица,49,A,29.47962,46.8262,1.0,0.707,0.933,0.417,0.528,3.0054,4.082,3.005,1,1
w164987642,w,164987642,addressed_residential_building,bender_core,улица Сергея Лазо,21А,A,29.47823,46.82603,1.0,0.712,0.939,0.406,0.503,3.1743,4.328,3.174,1,1
w165627341,w,165627341,addressed_residential_building,bender_core,Коммунистическая улица,47,A,29.47997,46.82619,1.0,0.712,0.939,0.424,0.535,2.9987,4.075,2.999,1,1
w353675534,w,353675534,addressed_residential_building,bender_core,улица Ленина,50/1,A,29.47924,46.82376,1.0,0.713,1.294,0.402,0.898,3.3217,4.608,3.322,1,1
w304008618,w,304008618,unaddressed_residential_building,bender_core,Советская улица,,A,29.48198,46.82522,0.5,0.714,1.852,0.394,1.37,3.0587,5.373,3.109,1,1
w709615523,w,709615523,unaddressed_residential_building,bender_core,Советская улица,,A,29.48183,46.8253,0.5,0.714,1.852,0.394,1.37,3.0587,5.373,3.109,1,1
w164985955,w,164985955,unaddressed_residential_building,bender_core,Коммунистическая улица,,A,29.47932,46.82451,0.5,0.716,1.007,0.421,0.608,3.1898,4.285,3.19,1,1
w222823679,w,222823679,addressed_residential_building,bender_core,Московская улица,38,A,29.48251,46.82161,1.0,0.716,0.908,0.381,0.453,3.0393,3.98,3.358,1,1
n4757854521,n,4757854521,standalone_address_node,bender_core,площадь Освобождения,11,A,29.48232,46.82278,1.0,0.719,1.237,0.384,0.782,3.0425,4.308,3.361,1,1
w694710044,w,694710044,unaddressed_residential_building,bender_core,Коммунистическая улица,,A,29.47965,46.82635,0.5,0.721,0.948,0.434,0.547,2.9882,4.063,2.988,1,1
w164987765,w,164987765,addressed_residential_building,bender_core,улица Калинина,43,A,29.48033,46.82311,1.0,0.724,1.27,0.394,0.817,3.4402,4.913,3.44,1,1
w705373823,w,705373823,unaddressed_residential_building,bender_core,улица Сергея Лазо,,A,29.47812,46.82613,0.5,0.724,0.954,0.418,0.518,3.1867,4.343,3.187,1,1
w694710045,w,694710045,unaddressed_residential_building,bender_core,Коммунистическая улица,,A,29.47968,46.82642,0.5,0.727,0.955,0.442,0.555,2.9806,4.055,2.981,1,1
n7206929385,n,7206929385,standalone_address_node,bender_core,площадь Освобождения,20,A,29.48221,46.82282,1.0,0.729,1.275,0.394,0.82,3.0521,4.347,3.371,1,1
w295020166,w,295020166,unaddressed_residential_building,bender_core,Коммунистическая улица,,A,29.48014,46.82635,0.5,0.73,0.958,0.445,0.558,2.9777,4.052,2.978,1,1
w164987640,w,164987640,addressed_residential_building,bender_core,улица Сергея Лазо,21,A,29.47792,46.82603,1.0,0.733,0.965,0.427,0.53,3.1955,4.355,3.196,1,1
w165627338,w,165627338,unaddressed_residential_building,bender_core,Коммунистическая улица,,A,29.48004,46.8264,0.5,0.733,0.96,0.448,0.562,2.974,4.048,2.974,1,1
w292041219,w,292041219,unaddressed_residential_building,bender_core,Московская улица,,A,29.48251,46.82143,0.5,0.735,0.928,0.399,0.473,3.0579,4.0,3.376,1,1
n7207127585,n,7207127585,standalone_address_node,bender_core,площадь Освобождения,20,A,29.48209,46.82285,1.0,0.738,1.312,0.403,0.857,3.0615,4.383,3.38,1,1
n8220733618,n,8220733618,standalone_address_node,bender_core,улица Ленина,21,A,29.48496,46.82244,1.0,0.741,1.168,0.426,0.737,3.0851,4.263,3.085,1,1
w286137904,w,286137904,unaddressed_residential_building,bender_core,улица Сергея Лазо,,A,29.47794,46.82622,0.5,0.741,0.975,0.434,0.54,3.203,4.365,3.203,1,1
w295020165,w,295020165,addressed_residential_building,bender_core,Коммунистическая улица,45,A,29.47994,46.82652,1.0,0.741,0.97,0.458,0.573,2.9642,4.037,2.964,1,1
n1096019201,n,1096019201,standalone_address_node,bender_core,Советская улица,20a,A,29.48198,46.82277,1.0,0.742,1.327,0.406,0.872,3.0649,4.398,3.383,1,1
w352024551,w,352024551,unaddressed_residential_building,bender_core,улица Калинина,,A,29.4796,46.82312,0.5,0.744,1.389,0.414,0.935,3.4603,5.032,3.46,1,1
w1414103434,w,1414103434,unaddressed_residential_building,bender_core,улица Калинина,,A,29.48023,46.82287,0.5,0.745,1.313,0.422,0.887,3.4994,4.823,3.499,1,1
w164987762,w,164987762,addressed_residential_building,bender_core,улица Калинина,43,A,29.48007,46.82287,1.0,0.746,1.317,0.424,0.892,3.4975,4.818,3.498,1,1
w717128123,w,717128123,unaddressed_residential_building,bender_core,Коммунистическая улица,,A,29.48014,46.82655,0.5,0.747,0.977,0.466,0.582,2.9566,4.028,2.957,1,1
w293713877,w,293713877,addressed_residential_building,bender_core,Коммунистическая улица,56,A,29.4793,46.82675,1.0,0.75,0.98,0.469,0.585,2.9532,4.025,2.953,1,1
w806228938,w,806228938,addressed_residential_building,bender_core,улица Сергея Лазо,57,A,29.47772,46.82609,1.0,0.75,0.987,0.444,0.552,3.2124,4.377,3.212,1,1
w289102419,w,289102419,addressed_residential_building,bender_core,улица Калинина,52,A,29.47942,46.82302,1.0,0.754,1.427,0.424,0.973,3.4701,5.07,3.47,1,1
w211496764,w,211496764,addressed_residential_building,bender_core,улица Калинина,50A,A,29.47949,46.82319,1.0,0.755,1.43,0.424,0.977,3.4707,5.073,3.471,1,1
w165627354,w,165627354,addressed_residential_building,bender_core,Коммунистическая улица,54,A,29.47878,46.82693,1.0,0.757,0.988,0.478,0.595,2.9441,4.015,2.944,1,1
w709615522,w,709615522,unaddressed_residential_building,bender_core,Коммунистическая улица,,A,29.48013,46.82667,0.5,0.757,0.988,0.478,0.595,2.9441,4.015,2.944,1,1
w164987767,w,164987767,addressed_residential_building,bender_core,улица Ленина,50,A,29.47962,46.82353,1.0,0.758,1.445,0.428,0.992,3.4744,5.088,3.474,1,1
w701058041,w,701058041,unaddressed_residential_building,bender_core,улица Калинина,,A,29.47954,46.82336,0.5,0.758,1.444,0.428,0.99,3.474,5.087,3.474,1,1
n4586898394,n,4586898394,standalone_address_node,bender_core,улица Ленина,23б,A,29.48549,46.82249,1.0,0.759,1.186,0.444,0.755,3.1031,4.282,3.103,1,1
w165627344,w,165627344,unaddressed_residential_building,bender_core,Коммунистическая улица,,A,29.48024,46.82667,0.5,0.759,0.989,0.48,0.597,2.9421,4.013,2.942,1,1
w256218358,w,256218358,addressed_residential_building,bender_core,Коммунистическая улица,43,A,29.4799,46.82675,1.0,0.76,0.99,0.481,0.598,2.9408,4.012,2.941,1,1
w290295828,w,290295828,addressed_residential_building,bender_core,Московская улица,40,A,29.48236,46.8213,1.0,0.76,1.006,0.472,0.602,3.1306,4.128,3.131,1,1
w721075613,w,721075613,unaddressed_residential_building,bender_core,улица Калинина,,A,29.47919,46.82287,0.5,0.76,1.352,0.445,0.942,3.4769,4.768,3.477,1,1
w317102609,w,317102609,unaddressed_residential_building,bender_core,Коммунистическая улица,,A,29.47939,46.82687,0.5,0.762,0.993,0.484,0.602,2.9384,4.008,2.938,1,1
w164987758,w,164987758,addressed_residential_building,bender_core,улица Калинина,45,A,29.47998,46.82263,1.0,0.766,1.365,0.453,0.96,3.4692,4.75,3.469,1,1
w289102420,w,289102420,addressed_residential_building,bender_core,улица Калинина,54,A,29.47936,46.82275,1.0,0.766,1.366,0.453,0.962,3.4685,4.748,3.469,1,1
w164987760,w,164987760,unaddressed_residential_building,bender_core,улица Калинина,,A,29.47917,46.8233,0.5,0.769,1.489,0.439,1.035,3.4852,5.132,3.485,1,1
w289102426,w,289102426,unaddressed_residential_building,bender_core,улица Калинина,,A,29.47891,46.82302,0.5,0.769,1.489,0.439,1.035,3.4852,5.132,3.485,1,1
w317094974,w,317094974,unaddressed_residential_building,bender_core,улица Калинина,,A,29.4788,46.82291,0.5,0.769,1.489,0.439,1.035,3.4852,5.132,3.485,1,1
w317094976,w,317094976,unaddressed_residential_building,bender_core,улица Калинина,,A,29.47889,46.82286,0.5,0.769,1.489,0.439,1.035,3.4852,5.132,3.485,1,1
w317094978,w,317094978,unaddressed_residential_building,bender_core,улица Калинина,,A,29.47894,46.82318,0.5,0.769,1.489,0.439,1.035,3.4852,5.132,3.485,1,1
w320388837,w,320388837,unaddressed_residential_building,bender_core,Коммунистическая улица,,A,29.47873,46.823,0.5,0.769,1.489,0.439,1.035,3.4852,5.132,3.485,1,1
w323696327,w,323696327,unaddressed_residential_building,bender_core,улица Калинина,,A,29.47898,46.82293,0.5,0.769,1.489,0.439,1.035,3.4852,5.132,3.485,1,1
w462724905,w,462724905,unaddressed_residential_building,bender_core,улица Калинина,,A,29.47908,46.82312,0.5,0.769,1.489,0.439,1.035,3.4852,5.132,3.485,1,1
w462724906,w,462724906,unaddressed_residential_building,bender_core,улица Калинина,,A,29.47906,46.823,0.5,0.769,1.489,0.439,1.035,3.4852,5.132,3.485,1,1
w717128121,w,717128121,unaddressed_residential_building,bender_core,Коммунистическая улица,,A,29.47875,46.82284,0.5,0.769,1.489,0.439,1.035,3.4852,5.132,3.485,1,1
w319151369,w,319151369,unaddressed_residential_building,bender_core,Московская улица,,A,29.48199,46.82086,0.5,0.77,1.021,0.483,0.618,3.1414,4.145,3.141,1,1
w162030331,w,162030331,addressed_residential_building,bender_core,улица Ленина,21,A,29.48474,46.82278,1.0,0.771,1.2,0.457,0.768,3.1152,4.295,3.115,1,1
w302375151,w,302375151,unaddressed_residential_building,bender_core,улица Калинина,,A,29.47909,46.82273,0.5,0.772,1.379,0.461,0.98,3.4605,4.73,3.461,1,1
w222823680,w,222823680,addressed_residential_building,bender_core,Московская улица,42,A,29.48213,46.82075,1.0,0.773,0.975,0.481,0.56,3.1393,4.087,3.139,1,1
w319151368,w,319151368,unaddressed_residential_building,bender_core,Московская улица,,A,29.48226,46.82153,0.5,0.774,1.025,0.487,0.623,3.1455,4.15,3.146,1,1
w165627326,w,165627326,unaddressed_residential_building,bender_core,Коммунистическая улица,,A,29.48046,46.8268,0.5,0.775,1.008,0.5,0.62,2.9221,3.99,2.922,1,1
w256218359,w,256218359,unaddressed_residential_building,bender_core,Коммунистическая улица,,A,29.47999,46.82689,0.5,0.775,1.007,0.499,0.618,2.9228,3.992,2.923,1,1
w701056639,w,701056639,unaddressed_residential_building,bender_core,Московская улица,,A,29.48187,46.82089,0.5,0.779,1.034,0.493,0.633,3.1514,4.16,3.151,1,1
w290295843,w,290295843,addressed_residential_building,bender_core,Московская улица,77,A,29.48291,46.82051,1.0,0.78,0.981,0.487,0.567,3.146,4.093,3.146,1,1
w293713544,w,293713544,addressed_residential_building,bender_core,Коммунистическая улица,52,A,29.47915,46.82715,1.0,0.782,1.015,0.508,0.628,2.9139,3.982,2.914,1,1
w302375153,w,302375153,unaddressed_residential_building,bender_core,улица Калинина,,A,29.48015,46.82236,0.5,0.783,1.407,0.478,1.02,3.4442,4.69,3.444,1,1
w289102422,w,289102422,addressed_residential_building,bender_core,улица Калинина,56,A,29.47923,46.82255,1.0,0.784,1.407,0.478,1.02,3.4438,4.69,3.444,1,1
w289102424,w,289102424,unaddressed_residential_building,bender_core,улица Калинина,,A,29.47896,46.8226,0.5,0.784,1.408,0.479,1.022,3.4432,4.688,3.443,1,1
w694710039,w,694710039,unaddressed_residential_building,bender_core,улица Калинина,,A,29.47884,46.82262,0.5,0.785,1.409,0.479,1.023,3.4424,4.687,3.442,1,1
w290326315,w,290326315,unaddressed_residential_building,bender_core,Московская улица,,A,29.48202,46.82142,0.5,0.786,1.044,0.501,0.645,3.1593,4.172,3.159,1,1
w164987759,w,164987759,addressed_residential_building,bender_core,улица Калинина,45A,A,29.47988,46.82237,1.0,0.787,1.415,0.482,1.032,3.4394,4.678,3.439,1,1
w290295834,w,290295834,unaddressed_residential_building,bender_core,Московская улица,,A,29.48162,46.82071,0.5,0.789,1.049,0.504,0.65,3.1631,4.177,3.163,1,1
w319151373,w,319151373,unaddressed_residential_building,bender_core,Московская улица,,A,29.48298,46.8204,0.5,0.789,0.991,0.497,0.577,3.1556,4.103,3.156,1,1
w293713545,w,293713545,addressed_residential_building,bender_core,Коммунистическая улица,50,A,29.47947,46.82718,1.0,0.79,1.025,0.519,0.64,2.9034,3.97,2.903,1,1
