uid,osm_type,osm_id,unit_type,settlement,street_ru,housenumber,tier,lon,lat,weight,expected_km,expected_min,central_km,central_min,bam_km,bam_min,worst_origin_km,band_k4,band_k5
w284659332,w,284659332,unaddressed_residential_building,parkany,улица Благоева,,A,29.51048,46.83731,0.5,3.632,4.428,3.503,4.228,4.2013,5.483,5.97,2,2
w285013958,w,285013958,unaddressed_residential_building,parkany,улица Благоева,,A,29.51061,46.83686,0.5,3.632,4.428,3.504,4.228,4.2017,5.483,5.971,2,2
w291296603,w,291296603,unaddressed_residential_building,parkany,улица Ленина,,A,29.50991,46.83193,0.5,3.632,4.446,3.503,4.247,4.2014,5.502,5.97,2,2
w310488609,w,310488609,addressed_residential_building,bender_core,улица Менделеева,13,A,29.46254,46.81209,1.0,3.632,5.109,3.611,5.052,4.8852,6.375,4.897,2,2
w295150813,w,295150813,unaddressed_residential_building,,,,A,29.48713,46.84084,0.5,3.633,6.88,3.691,6.975,1.4919,4.037,6.533,2,2
w303917471,w,303917471,addressed_residential_building,bender_core,улица Титова,10/2,A,29.47122,46.84294,1.0,3.633,5.393,3.76,5.593,0.4274,1.088,6.565,2,2
w352470482,w,352470482,unaddressed_residential_building,bender_core,улица Асаке,,A,29.4592,46.811,0.5,3.633,4.883,3.63,4.835,4.6091,6.01,4.915,2,2
w161048732,w,161048732,unaddressed_residential_building,bender_lipcani,Парканская улица,,A,29.48223,46.84652,0.5,3.634,5.652,3.701,5.773,1.3967,2.545,6.438,2,2
w319144138,w,319144138,unaddressed_residential_building,bender_core,улица Титова,,A,29.47114,46.83973,0.5,3.634,5.33,3.794,5.592,0.4253,0.65,5.592,2,2
w288574261,w,288574261,unaddressed_residential_building,parkany,улица Ленина,,A,29.51089,46.83203,0.5,3.635,4.451,3.507,4.252,4.2048,5.507,5.974,2,2
w301628001,w,301628001,unaddressed_residential_building,parkany,Садовая улица,,A,29.50741,46.83665,0.5,3.635,4.773,3.507,4.573,4.2051,5.828,5.974,2,2
w330883122,w,330883122,addressed_residential_building,bender_core,улица Менделеева,22,A,29.46227,46.81229,1.0,3.635,5.116,3.614,5.058,4.8884,6.382,4.9,2,2
w352470464,w,352470464,addressed_residential_building,bender_core,улица Асаке,2,A,29.46025,46.81142,1.0,3.635,4.434,3.631,4.38,4.6363,5.645,4.916,2,2
w701259561,w,701259561,unaddressed_residential_building,parkany,улица Благоева,,A,29.51197,46.83671,0.5,3.636,4.443,3.507,4.243,4.2054,5.498,5.974,2,2
n2459596451,n,2459596451,addressed_residential_building,parkany,Садовая улица,7,A,29.50727,46.83664,1.0,3.637,4.776,3.509,4.577,4.2066,5.832,5.976,2,2
w318701796,w,318701796,addressed_residential_building,bender_core,улица Титова,34,A,29.47142,46.83934,1.0,3.637,5.333,3.796,5.595,0.4279,0.653,5.595,2,2
n2457615992,n,2457615992,addressed_residential_building,parkany,улица Шевченко,5,A,29.51272,46.83604,1.0,3.638,4.536,3.51,4.337,4.2078,5.592,5.977,2,2
w291296602,w,291296602,unaddressed_residential_building,parkany,улица Ленина,,A,29.51019,46.83191,0.5,3.638,4.456,3.51,4.257,4.208,5.512,5.977,2,2
w330883124,w,330883124,unaddressed_residential_building,bender_core,улица Менделеева,,A,29.46212,46.81242,0.5,3.638,5.124,3.617,5.067,4.8913,6.39,4.903,2,2
w284657856,w,284657856,unaddressed_residential_building,parkany,улица Шевченко,,A,29.51271,46.8362,0.5,3.639,4.54,3.511,4.34,4.2089,5.595,5.978,2,2
w405292292,w,405292292,addressed_residential_building,bender_core,Индустриальная улица,55,A,29.48936,46.79612,1.0,3.639,4.525,3.456,4.238,6.1149,7.765,6.115,2,2
n2459417347,n,2459417347,addressed_residential_building,parkany,улица Пушкина,21,A,29.51244,46.83348,1.0,3.64,4.44,3.512,4.24,4.2098,5.495,5.979,2,2
w319142246,w,319142246,addressed_residential_building,bender_core,улица Титова,59,A,29.47118,46.83958,1.0,3.64,5.338,3.799,5.6,0.4306,0.658,5.598,2,2
w405292299,w,405292299,unaddressed_residential_building,bender_core,Индустриальная улица,,A,29.48951,46.7958,0.5,3.64,4.37,3.458,4.083,6.1161,7.61,6.116,2,2
n2457586654,n,2457586654,addressed_residential_building,parkany,улица Ленина,41,A,29.51069,46.83194,1.0,3.641,4.46,3.513,4.26,4.2109,5.515,5.98,2,2
n2459596426,n,2459596426,addressed_residential_building,parkany,Садовая улица,10,A,29.50764,46.83674,1.0,3.642,4.788,3.514,4.588,4.2117,5.843,5.981,2,2
w284759179,w,284759179,unaddressed_residential_building,parkany,Комсомольская улица,,A,29.5141,46.83513,0.5,3.642,4.421,3.514,4.222,4.2116,5.477,5.981,2,2
w285545452,w,285545452,unaddressed_residential_building,parkany,улица Пушкина,,A,29.51207,46.83338,0.5,3.642,4.441,3.513,4.242,4.2113,5.497,5.98,2,2
w399048809,w,399048809,addressed_residential_building,bender_lipcani,Красивая улица,8,A,29.48348,46.846,1.0,3.642,5.689,3.709,5.81,1.4049,2.582,6.446,2,2
w285066689,w,285066689,unaddressed_residential_building,parkany,улица Димитрова,,A,29.50877,46.83754,0.5,3.643,4.58,3.514,4.38,4.2126,5.635,5.982,2,2
w285545453,w,285545453,unaddressed_residential_building,parkany,улица Пушкина,,A,29.5127,46.83352,0.5,3.643,4.443,3.514,4.243,4.2121,5.498,5.981,2,2
w318122845,w,318122845,addressed_residential_building,bender_core,улица Тамары Кручок,41,A,29.49017,46.7974,1.0,3.643,4.66,3.461,4.373,6.1192,7.9,6.119,2,2
w532685130,w,532685130,unaddressed_residential_building,bender_lipcani,Подольский переулок,,A,29.47966,46.84684,0.5,3.643,5.557,3.711,5.678,1.4061,2.45,6.448,2,2
w301628000,w,301628000,unaddressed_residential_building,parkany,Садовая улица,,A,29.50789,46.83679,0.5,3.644,4.793,3.515,4.593,4.2136,5.848,5.983,2,2
w353810453,w,353810453,addressed_residential_building,,,59,A,29.47692,46.79521,1.0,3.644,3.746,3.5,3.497,6.1585,7.023,6.159,2,2
w405741158,w,405741158,unaddressed_residential_building,parkany,Садовая улица,,A,29.50727,46.8367,0.5,3.644,4.793,3.515,4.593,4.2135,5.848,5.982,2,2
w428539149,w,428539149,addressed_residential_building,parkany,улица Благоева,8,A,29.51191,46.83679,1.0,3.644,4.455,3.515,4.255,4.2132,5.51,5.982,2,2
w50736999,w,50736999,addressed_residential_building,,,26,A,29.47182,46.80305,1.0,3.645,4.329,3.587,4.197,5.8775,6.852,5.878,2,2
w706972390,w,706972390,unaddressed_residential_building,bender_core,улица Титова,,A,29.47092,46.84302,0.5,3.645,5.438,3.772,5.638,0.4389,1.133,6.577,2,2
w1428096020,w,1428096020,unaddressed_residential_building,,,,A,29.48708,46.83793,0.5,3.646,7.878,3.704,7.973,1.5047,5.035,6.546,2,2
w286744463,w,286744463,unaddressed_residential_building,parkany,улица Пушкина,,A,29.51365,46.83371,0.5,3.646,4.45,3.518,4.25,4.216,5.505,5.985,2,2
w295150812,w,295150812,unaddressed_residential_building,,,,A,29.48645,46.84054,0.5,3.646,6.932,3.704,7.027,1.5049,4.088,6.546,2,2
w318701797,w,318701797,unaddressed_residential_building,bender_core,улица Титова,,A,29.47139,46.8392,0.5,3.646,5.348,3.805,5.61,0.4371,0.668,5.604,2,2
w405741161,w,405741161,unaddressed_residential_building,parkany,Садовая улица,,A,29.50764,46.83677,0.5,3.646,4.798,3.517,4.598,4.2154,5.853,5.984,2,2
w318701793,w,318701793,addressed_residential_building,bender_core,улица Титова,32,A,29.47129,46.83931,1.0,3.647,5.35,3.806,5.612,0.4381,0.67,5.605,2,2
