address_id,street,house_number,router_distance_km,nearest_threshold_km,distance_to_threshold_m,provisional_zone,neighbor_zone_discontinuity,snap_risk,manual_review_required,reason
w303912209,улица Некрасова,1/Б,2.5124,2.424,88.4,Zone 2,False,False,True,WITHIN_100M_OF_THRESHOLD
w303912210,улица Некрасова,7,2.4681,2.424,44.1,Zone 2,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w303912212,улица Некрасова,5,2.4806,2.424,56.6,Zone 2,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w303912213,улица Некрасова,3,2.4936,2.424,69.6,Zone 2,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w303912215,улица Некрасова,6,2.5088,2.424,84.8,Zone 2,False,False,True,WITHIN_100M_OF_THRESHOLD
w303912216,улица Некрасова,8,2.4485,2.424,24.5,Zone 2,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w303912217,улица Некрасова,4,2.4981,2.424,74.1,Zone 2,False,False,True,WITHIN_100M_OF_THRESHOLD
w303912218,улица Некрасова,2а,2.5007,2.424,76.7,Zone 2,False,False,True,WITHIN_100M_OF_THRESHOLD
w303917471,улица Титова,10/2,3.7270,4.076,349.0,Zone 2,True,False,True,NEIGHBOR_ZONE_DISCONTINUITY
w303981457,Школьный переулок,7,2.3729,2.424,51.1,Zone 1,True,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
w303981459,Школьный переулок,5,2.4305,2.424,6.5,Zone 2,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
w303981460,Школьный переулок,3,2.4476,2.424,23.6,Zone 2,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w303981462,Школьный переулок,1,2.4622,2.424,38.2,Zone 2,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w303985857,улица 5 Декабря,34,2.3293,2.424,94.7,Zone 1,False,False,True,WITHIN_100M_OF_THRESHOLD
w303985866,улица 5 Декабря,25,2.3285,2.424,95.5,Zone 1,False,False,True,WITHIN_100M_OF_THRESHOLD
w303985879,Школьный переулок,12,2.3283,2.424,95.7,Zone 1,False,False,True,WITHIN_100M_OF_THRESHOLD
w303985891,тупик Некрасова,12,2.3498,2.424,74.2,Zone 1,True,False,True,WITHIN_100M_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
w304008912,Фруктовая улица,12,2.4436,2.424,19.6,Zone 2,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
w304008917,улица Урицкого,15,2.5159,2.424,91.9,Zone 2,False,False,True,WITHIN_100M_OF_THRESHOLD
w304087545,Школьный переулок,10,2.3976,2.424,26.4,Zone 1,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
w304087546,Школьный переулок,8,2.4112,2.424,12.8,Zone 1,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
w304087548,Школьный переулок,2,2.4865,2.424,62.5,Zone 2,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w304087549,Школьный переулок,4,2.4393,2.424,15.3,Zone 2,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
w304087552,тупик Некрасова,4,2.4900,2.424,66.0,Zone 2,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w304087553,тупик Некрасова,5,2.4877,2.424,63.7,Zone 2,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w304087554,тупик Некрасова,3,2.5001,2.424,76.1,Zone 2,False,False,True,WITHIN_100M_OF_THRESHOLD
w304087560,тупик Некрасова,8,2.4591,2.424,35.1,Zone 2,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w304087568,переулок Некрасова,29а,2.3684,2.424,55.6,Zone 1,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w304087569,переулок Некрасова,29,2.3565,2.424,67.5,Zone 1,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w304087570,переулок Некрасова,31а,2.3366,2.424,87.4,Zone 1,False,False,True,WITHIN_100M_OF_THRESHOLD
w304087658,Загородная улица,5,2.3457,2.424,78.3,Zone 1,False,False,True,WITHIN_100M_OF_THRESHOLD
w304491951,тупик Некрасова,14,2.3820,2.424,42.0,Zone 1,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
w304491952,тупик Некрасова,10,2.4446,2.424,20.6,Zone 2,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w304687295,Загородная улица,18,2.4039,2.424,20.1,Zone 1,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w304687299,Загородная улица,7,2.3670,2.424,57.0,Zone 1,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w304687300,Загородная улица,9,2.3803,2.424,43.7,Zone 1,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
