uid,address,territory,is_city,route_km,base_price,external_status,external_km,external_surcharge,reference_price,old_k4_zone_id,proposed_zone
n2321749435,"Гиска, улица Ленина, 75",Гиска,False,5.638,24.552,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749436,"Гиска, улица Ленина, 77",Гиска,False,5.62,24.48,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749437,"Гиска, улица Ленина, 90а",Гиска,False,5.571,24.284,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749438,"Гиска, улица Ленина, 92",Гиска,False,5.642,24.568,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749439,"Гиска, улица Мира, 82",Гиска,False,5.559,24.236,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749440,"Гиска, улица Мира, 80",Гиска,False,5.559,24.236,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749441,"Гиска, улица Мира, 93",Гиска,False,5.577,24.308,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749442,"Гиска, улица Мира, 95",Гиска,False,5.576,24.304,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749444,"Гиска, улица Ленина, 101",Гиска,False,5.643,24.572,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749445,"Гиска, Госпитальная улица, 55",Гиска,False,6.142,26.568,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749446,"Гиска, улица Мира, 30а",Гиска,False,6.175,26.7,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749447,"Гиска, Госпитальная улица, 53",Гиска,False,6.134,26.536,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749451,"Гиска, улица 60 лет Октября, 2",Гиска,False,5.697,24.788,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749452,"Гиска, улица 60 лет Октября, 1",Гиска,False,5.687,24.748,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749453,"Гиска, улица 60 лет Октября, 28",Гиска,False,6.255,27.02,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749454,"Гиска, улица 60 лет Октября, 39",Гиска,False,6.248,26.992,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749456,"Гиска, улица 60 лет Октября, 3",Гиска,False,5.618,24.472,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749458,"Гиска, улица 60 лет Октября, 4",Гиска,False,5.638,24.552,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749459,"Гиска, улица Бориса Главана, 5",Гиска,False,5.682,24.728,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749460,"Гиска, улица Бориса Главана, 6",Гиска,False,5.725,24.9,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749461,"Гиска, улица Бориса Главана, 22",Гиска,False,5.907,25.628,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749462,"Гиска, улица Бориса Главана, 7",Гиска,False,5.722,24.888,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749463,"Гиска, улица Бориса Главана, 27",Гиска,False,5.86,25.44,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749464,"Гиска, улица Бориса Главана, 22а",Гиска,False,5.864,25.456,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749465,"Гиска, Госпитальная улица, 24",Гиска,False,5.921,25.684,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749466,"Гиска, Госпитальная улица, 31",Гиска,False,5.909,25.636,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749467,"Гиска, Госпитальная улица, 78",Гиска,False,5.964,25.856,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749468,"Гиска, Госпитальная улица, 105",Гиска,False,5.971,25.884,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749469,"Гиска, Госпитальная улица, 56",Гиска,False,5.804,25.216,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749470,"Гиска, Госпитальная улица, 89",Гиска,False,5.816,25.264,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749471,"Гиска, Госпитальная улица, 87",Гиска,False,5.798,25.192,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749472,"Гиска, Госпитальная улица, 52",Гиска,False,5.805,25.22,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749473,"Гиска, Госпитальная улица, 54",Гиска,False,5.73,24.92,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749474,"Гиска, Госпитальная улица, 20",Гиска,False,6.323,27.292,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749475,"Гиска, Госпитальная улица, 47",Гиска,False,6.302,27.208,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749476,"Гиска, Госпитальная улица, 45",Гиска,False,6.39,27.56,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749477,"Гиска, Госпитальная улица, 39",Гиска,False,6.477,27.908,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
n2321749478,"Гиска, Госпитальная улица, 35",Гиска,False,6.484,27.936,PENDING (no ГАИ-post coords + boundary undecided),,,,4,
