model_id,metric,method,k,zone_id,lower_bound,upper_bound,all_address_count,all_population_share,city_address_count,city_population_share,economic_scope,median_route_km,median_effective_km,median_taxi_reference,candidate_delivery_fee_rub,client_median_saving_rub,driver_median_gap_rub,boundary_instability_count,confidence,notes
K5R_quantile,legacy_expected_km,quantile,5,5,5.767,,1844,0.2001,169,0.0347,DIAGNOSTIC_ROUTE_ONLY,6.357,,,,,,3479,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K5R_kmeans,legacy_expected_km,kmeans,5,1,0.0,2.19,1430,0.1552,1430,0.2939,DIAGNOSTIC_ROUTE_ONLY,1.453,,,,,,2916,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K5R_kmeans,legacy_expected_km,kmeans,5,2,2.19,3.69,1575,0.1709,1440,0.2959,DIAGNOSTIC_ROUTE_ONLY,2.826,,,,,,2916,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K5R_kmeans,legacy_expected_km,kmeans,5,3,3.69,5.004,2652,0.2878,1166,0.2396,DIAGNOSTIC_ROUTE_ONLY,4.534,,,,,,2916,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K5R_kmeans,legacy_expected_km,kmeans,5,4,5.004,6.222,2417,0.2623,783,0.1609,DIAGNOSTIC_ROUTE_ONLY,5.527,,,,,,2916,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K5R_kmeans,legacy_expected_km,kmeans,5,5,6.222,,1142,0.1239,47,0.0097,DIAGNOSTIC_ROUTE_ONLY,6.623,,,,,,2916,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K5R_dp_optimal_jenks,legacy_expected_km,dp_optimal_jenks,5,1,0.0,2.175,1420,0.1541,1420,0.2918,DIAGNOSTIC_ROUTE_ONLY,1.45,,,,,,2901,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K5R_dp_optimal_jenks,legacy_expected_km,dp_optimal_jenks,5,2,2.175,3.675,1567,0.17,1440,0.2959,DIAGNOSTIC_ROUTE_ONLY,2.809,,,,,,2901,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K5R_dp_optimal_jenks,legacy_expected_km,dp_optimal_jenks,5,3,3.675,4.975,2608,0.283,1152,0.2367,DIAGNOSTIC_ROUTE_ONLY,4.515,,,,,,2901,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K5R_dp_optimal_jenks,legacy_expected_km,dp_optimal_jenks,5,4,4.975,6.225,2482,0.2693,807,0.1658,DIAGNOSTIC_ROUTE_ONLY,5.511,,,,,,2901,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K5R_dp_optimal_jenks,legacy_expected_km,dp_optimal_jenks,5,5,6.225,,1139,0.1236,47,0.0097,DIAGNOSTIC_ROUTE_ONLY,6.624,,,,,,2901,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K6R_quantile,legacy_expected_km,quantile,6,1,0.0,2.301,1536,0.1667,1536,0.3157,DIAGNOSTIC_ROUTE_ONLY,1.506,,,,,,4128,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K6R_quantile,legacy_expected_km,quantile,6,2,2.301,3.74,1536,0.1667,1379,0.2834,DIAGNOSTIC_ROUTE_ONLY,2.938,,,,,,4128,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K6R_quantile,legacy_expected_km,quantile,6,3,3.74,4.642,1536,0.1667,628,0.1291,DIAGNOSTIC_ROUTE_ONLY,4.27,,,,,,4128,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K6R_quantile,legacy_expected_km,quantile,6,4,4.642,5.204,1535,0.1666,704,0.1447,DIAGNOSTIC_ROUTE_ONLY,4.904,,,,,,4128,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
K6R_quantile,legacy_expected_km,quantile,6,5,5.204,5.937,1536,0.1667,516,0.106,DIAGNOSTIC_ROUTE_ONLY,5.546,,,,,,4128,DIAGNOSTIC,LEGACY_RELEASE_DIAGNOSTIC (blended metric); NOT a city tariff
