address_id,territory,district,street,house_number,lat,lon,fixed_origin_lat,fixed_origin_lon,fixed_origin_km,metric_source,legacy_expected_km,delta_fixed_minus_legacy_km,provenance
n2321749424,Гиска,,Молодёжная улица,48,46.78974,29.45634,46.82388,29.48313,5.623,central_km,5.944,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749428,Гиска,,переулок Мира,8,46.78878,29.45778,46.82388,29.48313,6.466,central_km,6.786,-0.32,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749430,Гиска,,улица Ленина,58,46.7882,29.44847,46.82388,29.48313,5.17,central_km,5.491,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749431,Гиска,,улица Ленина,59,46.78737,29.4486,46.82388,29.48313,5.254,central_km,5.574,-0.32,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749432,Гиска,,Молодёжная улица,61,46.78673,29.44846,46.82388,29.48313,5.323,central_km,5.643,-0.32,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749433,Гиска,,улица Ленина,71,46.78582,29.44779,46.82388,29.48313,5.466,central_km,5.786,-0.32,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749435,Гиска,,улица Ленина,75,46.78487,29.44695,46.82388,29.48313,5.638,central_km,5.959,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749436,Гиска,,улица Ленина,77,46.78436,29.44666,46.82388,29.48313,5.62,central_km,5.941,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749437,Гиска,,улица Ленина,90а,46.78491,29.44641,46.82388,29.48313,5.571,central_km,5.891,-0.32,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749438,Гиска,,улица Ленина,92,46.78431,29.44607,46.82388,29.48313,5.642,central_km,5.963,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749439,Гиска,,улица Мира,82,46.78503,29.44757,46.82388,29.48313,5.559,central_km,5.88,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749440,Гиска,,улица Мира,80,46.78523,29.4481,46.82388,29.48313,5.559,central_km,5.88,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749441,Гиска,,улица Мира,93,46.78498,29.44848,46.82388,29.48313,5.577,central_km,5.897,-0.32,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749442,Гиска,,улица Мира,95,46.78472,29.44777,46.82388,29.48313,5.576,central_km,5.896,-0.32,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749444,Гиска,,улица Ленина,101,46.78455,29.44714,46.82388,29.48313,5.643,central_km,5.963,-0.32,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749445,Гиска,,Госпитальная улица,55,46.7869,29.45445,46.82388,29.48313,6.142,central_km,6.463,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749446,Гиска,,улица Мира,30а,46.78759,29.45519,46.82388,29.48313,6.175,central_km,6.496,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749447,Гиска,,Госпитальная улица,53,46.78711,29.45501,46.82388,29.48313,6.134,central_km,6.454,-0.32,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749451,Гиска,,улица 60 лет Октября,2,46.78447,29.44893,46.82388,29.48313,5.697,central_km,5.924,-0.227,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749452,Гиска,,улица 60 лет Октября,1,46.78408,29.44908,46.82388,29.48313,5.687,central_km,6.008,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749453,Гиска,,улица 60 лет Октября,28,46.78641,29.45432,46.82388,29.48313,6.255,central_km,6.576,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749454,Гиска,,улица 60 лет Октября,39,46.78606,29.45462,46.82388,29.48313,6.248,central_km,6.569,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
