canonical_address_id,address,territory,latitude,longitude,route_km,route_geometry_source,polyline_length_km,route_length_difference_km,route_length_difference_m,route_length_difference_percent,route_validation_status,boundary_source,boundary_verification_status,outside_city_km,base_city_fee,external_surcharge,final_fee,calculation_status,status_reason,geographic_zone_analytics_only
w353818413,улица Суворова 83,Гиска,46.79294,29.47694,3.718,,,,,,,,,,17,,,ROUTE_GEOMETRY_UNAVAILABLE,no central-origin route polyline in repo,2
w353818412,улица Суворова 85,Гиска,46.79284,29.47702,3.73,,,,,,,,,,17,,,ROUTE_GEOMETRY_UNAVAILABLE,no central-origin route polyline in repo,2
w353818414,улица Суворова 87,Гиска,46.79272,29.47697,3.743,,,,,,,,,,17,,,ROUTE_GEOMETRY_UNAVAILABLE,no central-origin route polyline in repo,2
n2341956745,улица Ленина 313,Гиска,46.78846,29.40535,9.125,,,,,,,,,,39,,,ROUTE_GEOMETRY_UNAVAILABLE,no central-origin route polyline in repo,4
n2341956746,улица Ленина 296,Гиска,46.78939,29.40243,9.37,,,,,,,,,,40,,,ROUTE_GEOMETRY_UNAVAILABLE,no central-origin route polyline in repo,4
n2341956747,улица Ленина 329,Гиска,46.78922,29.40238,9.371,,,,,,,,,,40,,,ROUTE_GEOMETRY_UNAVAILABLE,no central-origin route polyline in repo,4
w353044310,Главная улица 24,Протягайловка,46.81594,29.45069,4.484,,,,,,,,,,20,,,ROUTE_GEOMETRY_UNAVAILABLE,no central-origin route polyline in repo,3
n2337985528,Главная улица 2а,Протягайловка,46.81659,29.4511,4.555,,,,,,,,,,21,,,ROUTE_GEOMETRY_UNAVAILABLE,no central-origin route polyline in repo,3
w320344002,переулок Куйбышева 1,Протягайловка,46.81849,29.45515,4.736,,,,,,,,,,21,,,ROUTE_GEOMETRY_UNAVAILABLE,no central-origin route polyline in repo,3
n2337908048,улица Николая Белана 129,Протягайловка,46.84231,29.43849,9.033,,,,,,,,,,39,,,ROUTE_GEOMETRY_UNAVAILABLE,no central-origin route polyline in repo,4
w316845604,Садовая улица 32а,Протягайловка,46.84279,29.43724,9.064,,,,,,,,,,39,,,ROUTE_GEOMETRY_UNAVAILABLE,no central-origin route polyline in repo,4
w316846224,Садовая улица 43,Протягайловка,46.84163,29.43558,9.121,,,,,,,,,,39,,,ROUTE_GEOMETRY_UNAVAILABLE,no central-origin route polyline in repo,4
