address_id,territory,street,house_number,lat,lon,source_object_type,normalized_object_type,deliverable_address_status,exclusion_reason,manual_review_required
n2321749440,Гиска,улица Мира,80,46.78523,29.4481,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749441,Гиска,улица Мира,93,46.78498,29.44848,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749442,Гиска,улица Мира,95,46.78472,29.44777,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749444,Гиска,улица Ленина,101,46.78455,29.44714,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749445,Гиска,Госпитальная улица,55,46.7869,29.45445,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749446,Гиска,улица Мира,30а,46.78759,29.45519,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749447,Гиска,Госпитальная улица,53,46.78711,29.45501,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749451,Гиска,улица 60 лет Октября,2,46.78447,29.44893,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749452,Гиска,улица 60 лет Октября,1,46.78408,29.44908,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749453,Гиска,улица 60 лет Октября,28,46.78641,29.45432,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749454,Гиска,улица 60 лет Октября,39,46.78606,29.45462,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749456,Гиска,улица 60 лет Октября,3,46.78454,29.44855,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749458,Гиска,улица 60 лет Октября,4,46.78419,29.44805,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749459,Гиска,улица Бориса Главана,5,46.78396,29.4487,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749460,Гиска,улица Бориса Главана,6,46.78389,29.44792,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749461,Гиска,улица Бориса Главана,22,46.78341,29.44656,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749462,Гиска,улица Бориса Главана,7,46.78356,29.44818,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749463,Гиска,улица Бориса Главана,27,46.78277,29.44638,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749464,Гиска,улица Бориса Главана,22а,46.78254,29.44565,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749465,Гиска,Госпитальная улица,24,46.78208,29.44589,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
