territory,city_rate,outside_rate,minimum_fare,address_count,median_route_km,p90_route_km,taxi_lower_rub,taxi_upper_rub,driver_take_lower_rub,driver_take_upper_rub,taxi_reference_bracket_rub,direct_feasible_lower_rub,direct_feasible_upper_rub,status
Гиска,6.0,12.0,15.0,399,5.878,8.249,35.27,70.54,30.27,65.54,35.27..70.54,,,RANGE_ONLY_NOT_TARIFF
Гиска,6.0,12.0,18.0,399,5.878,8.249,35.27,70.54,30.27,65.54,35.27..70.54,,,RANGE_ONLY_NOT_TARIFF
Гиска,6.0,12.0,20.0,399,5.878,8.249,35.27,70.54,30.27,65.54,35.27..70.54,,,RANGE_ONLY_NOT_TARIFF
Гиска,6.0,12.0,25.0,399,5.878,8.249,35.27,70.54,30.27,65.54,35.27..70.54,,,RANGE_ONLY_NOT_TARIFF
Гиска,7.0,8.0,15.0,399,5.878,8.249,41.15,47.02,36.15,42.02,41.15..47.02,,,RANGE_ONLY_NOT_TARIFF
Гиска,7.0,8.0,18.0,399,5.878,8.249,41.15,47.02,36.15,42.02,41.15..47.02,,,RANGE_ONLY_NOT_TARIFF
Гиска,7.0,8.0,20.0,399,5.878,8.249,41.15,47.02,36.15,42.02,41.15..47.02,,,RANGE_ONLY_NOT_TARIFF
Гиска,7.0,8.0,25.0,399,5.878,8.249,41.15,47.02,36.15,42.02,41.15..47.02,,,RANGE_ONLY_NOT_TARIFF
Гиска,7.0,9.0,15.0,399,5.878,8.249,41.15,52.9,36.15,47.9,41.15..52.9,,,RANGE_ONLY_NOT_TARIFF
Гиска,7.0,9.0,18.0,399,5.878,8.249,41.15,52.9,36.15,47.9,41.15..52.9,,,RANGE_ONLY_NOT_TARIFF
Гиска,7.0,9.0,20.0,399,5.878,8.249,41.15,52.9,36.15,47.9,41.15..52.9,,,RANGE_ONLY_NOT_TARIFF
Гиска,7.0,9.0,25.0,399,5.878,8.249,41.15,52.9,36.15,47.9,41.15..52.9,,,RANGE_ONLY_NOT_TARIFF
Гиска,7.0,10.0,15.0,399,5.878,8.249,41.15,58.78,36.15,53.78,41.15..58.78,,,RANGE_ONLY_NOT_TARIFF
Гиска,7.0,10.0,18.0,399,5.878,8.249,41.15,58.78,36.15,53.78,41.15..58.78,,,RANGE_ONLY_NOT_TARIFF
Гиска,7.0,10.0,20.0,399,5.878,8.249,41.15,58.78,36.15,53.78,41.15..58.78,,,RANGE_ONLY_NOT_TARIFF
Гиска,7.0,10.0,25.0,399,5.878,8.249,41.15,58.78,36.15,53.78,41.15..58.78,,,RANGE_ONLY_NOT_TARIFF
Гиска,7.0,11.0,15.0,399,5.878,8.249,41.15,64.66,36.15,59.66,41.15..64.66,,,RANGE_ONLY_NOT_TARIFF
Гиска,7.0,11.0,18.0,399,5.878,8.249,41.15,64.66,36.15,59.66,41.15..64.66,,,RANGE_ONLY_NOT_TARIFF
Гиска,7.0,11.0,20.0,399,5.878,8.249,41.15,64.66,36.15,59.66,41.15..64.66,,,RANGE_ONLY_NOT_TARIFF
Гиска,7.0,11.0,25.0,399,5.878,8.249,41.15,64.66,36.15,59.66,41.15..64.66,,,RANGE_ONLY_NOT_TARIFF
Гиска,7.0,12.0,15.0,399,5.878,8.249,41.15,70.54,36.15,65.54,41.15..70.54,,,RANGE_ONLY_NOT_TARIFF
Гиска,7.0,12.0,18.0,399,5.878,8.249,41.15,70.54,36.15,65.54,41.15..70.54,,,RANGE_ONLY_NOT_TARIFF
Гиска,7.0,12.0,20.0,399,5.878,8.249,41.15,70.54,36.15,65.54,41.15..70.54,,,RANGE_ONLY_NOT_TARIFF
Гиска,7.0,12.0,25.0,399,5.878,8.249,41.15,70.54,36.15,65.54,41.15..70.54,,,RANGE_ONLY_NOT_TARIFF
Парканы,5.0,8.0,15.0,3446,5.177,6.454,25.88,41.42,20.88,36.42,25.88..41.42,,,RANGE_ONLY_NOT_TARIFF
Парканы,5.0,8.0,18.0,3446,5.177,6.454,25.88,41.42,20.88,36.42,25.88..41.42,,,RANGE_ONLY_NOT_TARIFF
Парканы,5.0,8.0,20.0,3446,5.177,6.454,25.88,41.42,20.88,36.42,25.88..41.42,,,RANGE_ONLY_NOT_TARIFF
Парканы,5.0,8.0,25.0,3446,5.177,6.454,25.88,41.42,20.88,36.42,25.88..41.42,,,RANGE_ONLY_NOT_TARIFF
Парканы,5.0,9.0,15.0,3446,5.177,6.454,25.88,46.59,20.88,41.59,25.88..46.59,,,RANGE_ONLY_NOT_TARIFF
Парканы,5.0,9.0,18.0,3446,5.177,6.454,25.88,46.59,20.88,41.59,25.88..46.59,,,RANGE_ONLY_NOT_TARIFF
Парканы,5.0,9.0,20.0,3446,5.177,6.454,25.88,46.59,20.88,41.59,25.88..46.59,,,RANGE_ONLY_NOT_TARIFF
Парканы,5.0,9.0,25.0,3446,5.177,6.454,25.88,46.59,20.88,41.59,25.88..46.59,,,RANGE_ONLY_NOT_TARIFF
Парканы,5.0,10.0,15.0,3446,5.177,6.454,25.88,51.77,20.88,46.77,25.88..51.77,,,RANGE_ONLY_NOT_TARIFF
Парканы,5.0,10.0,18.0,3446,5.177,6.454,25.88,51.77,20.88,46.77,25.88..51.77,,,RANGE_ONLY_NOT_TARIFF
Парканы,5.0,10.0,20.0,3446,5.177,6.454,25.88,51.77,20.88,46.77,25.88..51.77,,,RANGE_ONLY_NOT_TARIFF
Парканы,5.0,10.0,25.0,3446,5.177,6.454,25.88,51.77,20.88,46.77,25.88..51.77,,,RANGE_ONLY_NOT_TARIFF
Парканы,5.0,11.0,15.0,3446,5.177,6.454,25.88,56.95,20.88,51.95,25.88..56.95,,,RANGE_ONLY_NOT_TARIFF
Парканы,5.0,11.0,18.0,3446,5.177,6.454,25.88,56.95,20.88,51.95,25.88..56.95,,,RANGE_ONLY_NOT_TARIFF
Парканы,5.0,11.0,20.0,3446,5.177,6.454,25.88,56.95,20.88,51.95,25.88..56.95,,,RANGE_ONLY_NOT_TARIFF
Парканы,5.0,11.0,25.0,3446,5.177,6.454,25.88,56.95,20.88,51.95,25.88..56.95,,,RANGE_ONLY_NOT_TARIFF
Парканы,5.0,12.0,15.0,3446,5.177,6.454,25.88,62.12,20.88,57.12,25.88..62.12,,,RANGE_ONLY_NOT_TARIFF
Парканы,5.0,12.0,18.0,3446,5.177,6.454,25.88,62.12,20.88,57.12,25.88..62.12,,,RANGE_ONLY_NOT_TARIFF
