uid,address,territory,status,canonical_route_km,route_km,route_km_duration_opt,straight_km,crosses_checkpoint,external_km,base_price,external_surcharge,reference_price,internal_zone,routing_status,old_k4_zone_id
n2321749439,"Гиска, улица Мира, 82",Гиска,routed,5.559,5.5594,5.5594,5.098,False,0.0,24.238,0.0,24.238,2,routed,4
n2321749440,"Гиска, улица Мира, 80",Гиска,routed,5.559,5.559,5.559,5.058,False,0.0,24.236,0.0,24.236,2,routed,4
n2321749441,"Гиска, улица Мира, 93",Гиска,routed,5.577,5.5763,5.5763,5.066,False,0.0,24.305,0.0,24.305,2,routed,4
n2321749442,"Гиска, улица Мира, 95",Гиска,routed,5.576,5.5758,5.5758,5.119,False,0.0,24.303,0.0,24.303,2,routed,4
n2321749444,"Гиска, улица Ленина, 101",Гиска,routed,5.643,5.6427,5.6427,5.16,False,0.0,24.571,0.0,24.571,2,routed,4
n2321749445,"Гиска, Госпитальная улица, 55",Гиска,routed,6.142,6.142,6.142,4.655,False,0.0,26.568,0.0,26.568,2,routed,4
n2321749446,"Гиска, улица Мира, 30а",Гиска,routed,6.175,6.1753,6.1753,4.561,False,0.0,26.701,0.0,26.701,2,routed,4
n2321749447,"Гиска, Госпитальная улица, 53",Гиска,routed,6.134,6.134,6.134,4.615,False,0.0,26.536,0.0,26.536,2,routed,4
n2321749451,"Гиска, улица 60 лет Октября, 2",Гиска,routed,5.697,5.6964,5.6964,5.097,False,0.0,24.786,0.0,24.786,2,routed,4
n2321749452,"Гиска, улица 60 лет Октября, 1",Гиска,routed,5.687,5.6868,5.6868,5.129,False,0.0,24.747,0.0,24.747,2,routed,4
n2321749453,"Гиска, улица 60 лет Октября, 28",Гиска,routed,6.255,6.2552,6.2552,4.708,False,0.0,27.021,0.0,27.021,2,routed,4
n2321749454,"Гиска, улица 60 лет Октября, 39",Гиска,routed,6.248,6.248,6.248,4.732,False,0.0,26.992,0.0,26.992,2,routed,4
n2321749456,"Гиска, улица 60 лет Октября, 3",Гиска,routed,5.618,5.6183,5.6183,5.105,False,0.0,24.473,0.0,24.473,2,routed,4
n2321749458,"Гиска, улица 60 лет Октября, 4",Гиска,routed,5.638,5.6382,5.6382,5.158,False,0.0,24.553,0.0,24.553,2,routed,4
