abs_diff_km,address,alt_provider_length_km,attempt_number,canonical_address_id,canonical_route_km,dest_lat,dest_lon,geometry_sha256,had_prior_polyline,http_result,mode,origin_key,origin_lat,origin_lon,pct_diff,profile,provider,raw_response_path,raw_sha256,request_params,request_timestamp_utc,request_url,retry_count,route_id,territory,validation_status
0.0002,улица Суворова 81,3.6862,1,w353817271,3.686,46.79323,29.47704,409c65942c685255e0c7f7196f248e28635d48a3ff90bbab71c60f6eebfe9e87,True,Ok,cache_replay,central_bender_origin,46.82388,29.48313,0.01,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/w353817271.osrm.json,ed87101bcaa386932d0b44e0ecc0872fc21d5193d035ff6769dcc5272289ad29,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:27Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.477040,46.793230?overview=full&geometries=geojson",0,route_w353817271,Гиска,ALT_PROVIDER_COMPARISON_ONLY
0.0007,улица Суворова 83а,3.7073,1,w353817272,3.708,46.79304,29.47697,df84a2b26a1d64fbf9cea7113a059b2daf44da221bc6457190867dfc65feb1e7,True,Ok,cache_replay,central_bender_origin,46.82388,29.48313,-0.02,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/w353817272.osrm.json,8c64684d30b3ca381f7376780b05fbd164a91e736df7082f80c1bf6fa010c1f5,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:28Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.476970,46.793040?overview=full&geometries=geojson",0,route_w353817272,Гиска,ALT_PROVIDER_COMPARISON_ONLY
0.001,улица Ленина 4,3.231,1,n2457586661,3.23,46.83409,29.50969,60ce1ffba9b78dd023e6ebd7a6535510ffccfbb8f8618e2d1356419fa0dc45af,False,Ok,cache_replay,central_bender_origin,46.82388,29.48313,0.03,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/n2457586661.osrm.json,4e9dc861da36931d58e5d98a2d0f6c8408ed53290910e762c1466f19780751c9,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:28Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.509690,46.834090?overview=full&geometries=geojson",0,route_n2457586661,Парканы,ALT_PROVIDER_COMPARISON_ONLY
0.0009,улица Ленина 10,3.2479,1,n2457586638,3.247,46.83399,29.5101,df2a42e1d6250dfc22ffe1707f42e71617979916058bff5053ed439a0292c1ce,False,Ok,cache_replay,central_bender_origin,46.82388,29.48313,0.03,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/n2457586638.osrm.json,6e8b755663840a34b596392fd368c85b1faec92d18f9a0b472fb00d141ebfbd5,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:28Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.510100,46.833990?overview=full&geometries=geojson",0,route_n2457586638,Парканы,ALT_PROVIDER_COMPARISON_ONLY
0.0002,улица Ленина 11,3.2668,1,n2457586639,3.267,46.83382,29.51013,b9e31677c245876138098fcad9c89f4329f64bd6162164dcd4e7673c9c165b0f,False,Ok,cache_replay,central_bender_origin,46.82388,29.48313,-0.01,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/n2457586639.osrm.json,98e52fd0221b5e4d3739bd2f3a5d5fda1028c98713ae18ff6c41a73c73be988e,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:29Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.510130,46.833820?overview=full&geometries=geojson",0,route_n2457586639,Парканы,ALT_PROVIDER_COMPARISON_ONLY
0.0003,улица Ленина 6,3.2743,1,n2457586662,3.274,46.83369,29.50967,2c7400c595f7fef69a4d760e0f0d9c95398773d35fab454889d67956a47114e3,False,Ok,cache_replay,central_bender_origin,46.82388,29.48313,0.01,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/n2457586662.osrm.json,eae9b719d02a06c6712debe2c8b43da073e097d2cebde153089307be8e51f408,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:29Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.509670,46.833690?overview=full&geometries=geojson",0,route_n2457586662,Парканы,ALT_PROVIDER_COMPARISON_ONLY
0.2071,Садовая улица 43,8.9139,1,w316846224,9.121,46.84163,29.43558,4dd51e14f5071e615aab71fa2b4edb1d04376bc7e176f49ea69012d76471aa0a,False,Ok,cache_replay,central_bender_origin,46.82388,29.48313,-2.27,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/w316846224.osrm.json,904c23affed82acc9cb47986a94d6cc4c745a977b788fa7e97807969a911273e,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:29Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.435580,46.841630?overview=full&geometries=geojson",0,route_w316846224,Протягайловка,ALT_PROVIDER_COMPARISON_ONLY
0.0002,улица Ленина 313,9.1248,1,n2341956745,9.125,46.78846,29.40535,28c05596027964d6bb5ac67b1705d50a83e372686ea6d160935bc9949f2813ec,False,Ok,cache_replay,central_bender_origin,46.82388,29.48313,-0.0,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/n2341956745.osrm.json,7f2343ca15322fd01f2b3bfccea1dbaaa7a990adea8817c8ed0198f6f8731161,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:30Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.405350,46.788460?overview=full&geometries=geojson",0,route_n2341956745,Гиска,ALT_PROVIDER_COMPARISON_ONLY
0.0001,улица Ленина 296,9.3699,1,n2341956746,9.37,46.78939,29.40243,37ff825f131989eefc483054c4cfef5da61036fe7ccea438e21749bc1381c66b,False,Ok,cache_replay,central_bender_origin,46.82388,29.48313,-0.0,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/n2341956746.osrm.json,2159be9c3e1a93b4c2178163e87e2c19f4c7972156c263bbe3b8a5393b44571c,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:30Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.402430,46.789390?overview=full&geometries=geojson",0,route_n2341956746,Гиска,ALT_PROVIDER_COMPARISON_ONLY
0.0002,улица Ленина 329,9.3712,1,n2341956747,9.371,46.78922,29.40238,c2cfbba29b9df69043316ebf56adf53df56aa4924cd6c8c1f0d69f015db8bbd9,False,Ok,cache_replay,central_bender_origin,46.82388,29.48313,0.0,driving (full-planet OSM car) — NOT canonical car.lua,OSRM demo router.project-osrm.org (ALTERNATIVE_PROVIDER),data/interim/route-pilot/raw/n2341956747.osrm.json,bbee361a0dfd197bd546862ce002a26c201723a7e804beac620fb46328b50c72,"{""overview"": ""full"", ""geometries"": ""geojson"", ""profile"": ""driving""}",2026-08-01T21:42:30Z,"https://router.project-osrm.org/route/v1/driving/29.483130,46.823880;29.402380,46.789220?overview=full&geometries=geojson",0,route_n2341956747,Гиска,ALT_PROVIDER_COMPARISON_ONLY
